DATUM;1(DA1);2(TAFBA)
2020-09-07 00:00:00;1;0
2020-09-07 00:15:00;3;0
2020-09-07 00:30:00;1;0
2020-09-07 00:45:00;1;0
2020-09-07 01:00:00;1;0
2020-09-07 01:15:00;3;0
2020-09-07 01:30:00;1;0
2020-09-07 01:45:00;0;0
2020-09-07 02:00:00;0;0
2020-09-07 02:15:00;1;0
2020-09-07 02:30:00;1;0
2020-09-07 02:45:00;0;0
2020-09-07 03:00:00;1;0
2020-09-07 03:15:00;1;0
2020-09-07 03:30:00;1;0
2020-09-07 03:45:00;0;0
2020-09-07 04:00:00;0;0
2020-09-07 04:15:00;0;0
2020-09-07 04:30:00;0;0
2020-09-07 04:45:00;1;0
2020-09-07 05:00:00;1;0
2020-09-07 05:15:00;7;0
2020-09-07 05:30:00;3;0
2020-09-07 05:45:00;11;0
2020-09-07 06:00:00;16;0
2020-09-07 06:15:00;15;0
2020-09-07 06:30:00;22;0
2020-09-07 06:45:00;27;0
2020-09-07 07:00:00;21;0
2020-09-07 07:15:00;35;0
2020-09-07 07:30:00;49;0
2020-09-07 07:45:00;69;0
2020-09-07 08:00:00;41;0
2020-09-07 08:15:00;48;0
2020-09-07 08:30:00;40;0
2020-09-07 08:45:00;56;0
2020-09-07 09:00:00;43;0
2020-09-07 09:15:00;37;0
2020-09-07 09:30:00;32;0
2020-09-07 09:45:00;44;0
2020-09-07 10:00:00;42;0
2020-09-07 10:15:00;47;0
2020-09-07 10:30:00;52;0
2020-09-07 10:45:00;48;0
2020-09-07 11:00:00;42;0
2020-09-07 11:15:00;40;0
2020-09-07 11:30:00;44;0
2020-09-07 11:45:00;35;0
2020-09-07 12:00:00;25;0
2020-09-07 12:15:00;32;0
2020-09-07 12:30:00;40;0
2020-09-07 12:45:00;42;0
2020-09-07 13:00:00;30;0
2020-09-07 13:15:00;35;0
2020-09-07 13:30:00;34;0
2020-09-07 13:45:00;48;0
2020-09-07 14:00:00;37;0
2020-09-07 14:15:00;34;0
2020-09-07 14:30:00;46;0
2020-09-07 14:45:00;44;0
2020-09-07 15:00:00;45;0
2020-09-07 15:15:00;34;0
2020-09-07 15:30:00;45;0
2020-09-07 15:45:00;50;0
2020-09-07 16:00:00;39;0
2020-09-07 16:15:00;49;0
2020-09-07 16:30:00;46;0
2020-09-07 16:45:00;42;0
2020-09-07 17:00:00;39;0
2020-09-07 17:15:00;43;0
2020-09-07 17:30:00;37;0
2020-09-07 17:45:00;41;0
2020-09-07 18:00:00;31;0
2020-09-07 18:15:00;29;0
2020-09-07 18:30:00;22;0
2020-09-07 18:45:00;23;0
2020-09-07 19:00:00;17;0
2020-09-07 19:15:00;21;0
2020-09-07 19:30:00;13;0
2020-09-07 19:45:00;22;0
2020-09-07 20:00:00;17;0
2020-09-07 20:15:00;9;0
2020-09-07 20:30:00;13;0
2020-09-07 20:45:00;8;0
2020-09-07 21:00:00;12;0
2020-09-07 21:15:00;14;0
2020-09-07 21:30:00;8;0
2020-09-07 21:45:00;8;0
2020-09-07 22:00:00;11;0
2020-09-07 22:15:00;7;0
2020-09-07 22:30:00;5;0
2020-09-07 22:45:00;3;0
2020-09-07 23:00:00;3;0
2020-09-07 23:15:00;1;0
2020-09-07 23:30:00;2;0
2020-09-07 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
