DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DC5);10(DD1);11(TAFGAC)
2020-08-29 00:00:00;9;12;1;0;19;10;0;0;14;0;0
2020-08-29 00:15:00;15;14;1;0;20;17;0;0;20;0;0
2020-08-29 00:30:00;16;21;1;0;16;14;3;0;19;0;0
2020-08-29 00:45:00;8;6;1;0;13;7;1;0;8;1;0
2020-08-29 01:00:00;8;18;1;0;13;12;0;0;10;0;0
2020-08-29 01:15:00;11;10;1;0;15;10;0;0;11;0;0
2020-08-29 01:30:00;12;12;0;0;13;9;0;0;12;0;0
2020-08-29 01:45:00;6;5;0;0;5;4;0;0;4;0;0
2020-08-29 02:00:00;15;7;0;0;11;13;3;0;9;0;0
2020-08-29 02:15:00;4;3;0;0;6;3;0;0;5;0;0
2020-08-29 02:30:00;12;10;1;0;7;3;1;0;5;0;0
2020-08-29 02:45:00;4;7;0;0;8;6;0;0;7;0;0
2020-08-29 03:00:00;5;8;0;0;7;6;2;0;7;0;0
2020-08-29 03:15:00;7;4;1;1;13;7;0;0;8;0;0
2020-08-29 03:30:00;10;9;0;0;6;6;0;0;6;0;0
2020-08-29 03:45:00;2;1;0;0;4;5;0;0;6;0;0
2020-08-29 04:00:00;11;9;0;0;4;3;0;0;6;0;0
2020-08-29 04:15:00;8;8;0;0;10;4;1;0;7;0;0
2020-08-29 04:30:00;2;7;1;1;8;7;0;0;6;0;0
2020-08-29 04:45:00;3;6;0;1;5;5;0;0;8;0;0
2020-08-29 05:00:00;9;11;0;0;4;0;0;0;3;0;0
2020-08-29 05:15:00;16;14;0;0;10;4;0;0;9;0;0
2020-08-29 05:30:00;24;21;0;0;14;18;1;0;20;0;0
2020-08-29 05:45:00;5;11;0;1;14;13;0;0;14;0;0
2020-08-29 06:00:00;9;11;3;2;11;9;0;0;10;0;0
2020-08-29 06:15:00;16;15;0;1;16;6;1;0;14;0;0
2020-08-29 06:30:00;22;30;1;0;21;8;0;0;11;0;0
2020-08-29 06:45:00;12;13;0;0;19;4;0;0;6;1;0
2020-08-29 07:00:00;18;18;2;1;28;16;0;0;19;0;0
2020-08-29 07:15:00;25;20;5;1;22;12;1;0;15;1;1
2020-08-29 07:30:00;21;27;1;0;27;12;1;0;14;0;0
2020-08-29 07:45:00;45;25;2;0;46;28;3;0;31;0;0
2020-08-29 08:00:00;26;33;3;2;23;18;2;0;16;0;0
2020-08-29 08:15:00;41;33;2;0;31;26;2;0;28;1;0
2020-08-29 08:30:00;44;47;7;0;28;18;0;0;21;1;1
2020-08-29 08:45:00;49;51;5;0;33;28;3;0;33;0;1
