DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(TAFGA);8(TAFBA);9(TAFBB);10(TAFGC);11(TAFBC);12(TAFBDRES)
2020-06-22 00:00:00;1;2;0;3;2;0;0;0;0;0;0;0
2020-06-22 00:15:00;3;2;0;4;1;0;0;0;0;0;0;0
2020-06-22 00:30:00;0;1;0;2;3;1;0;0;0;0;0;0
2020-06-22 00:45:00;3;1;0;1;1;0;0;0;0;0;0;0
2020-06-22 01:00:00;0;2;0;2;1;0;0;0;0;0;0;0
2020-06-22 01:15:00;1;2;0;1;1;1;0;0;0;0;0;0
2020-06-22 01:30:00;2;1;0;0;1;1;0;0;0;0;0;0
2020-06-22 01:45:00;0;0;0;2;1;0;0;0;0;0;0;0
2020-06-22 02:00:00;1;4;0;1;2;0;0;0;0;0;0;0
2020-06-22 02:15:00;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-22 02:30:00;0;0;0;0;1;0;0;0;0;0;0;0
2020-06-22 03:00:00;1;1;0;0;0;0;0;0;0;0;0;0
2020-06-22 03:15:00;1;1;0;1;0;0;0;0;0;0;0;0
2020-06-22 03:30:00;1;0;0;0;1;0;0;0;0;0;0;0
2020-06-22 03:45:00;1;3;0;0;1;0;0;0;0;0;0;0
2020-06-22 04:00:00;0;1;1;1;1;0;0;0;0;0;0;0
2020-06-22 04:15:00;1;3;0;0;0;0;0;0;0;0;0;0
2020-06-22 04:30:00;0;1;0;2;2;0;0;0;0;0;0;0
2020-06-22 05:00:00;3;6;0;2;4;0;0;0;0;0;0;0
2020-06-22 05:15:00;0;0;0;5;3;0;0;0;0;0;0;0
2020-06-22 05:30:00;3;1;0;11;7;1;0;0;0;0;0;0
2020-06-22 05:45:00;2;3;1;21;13;1;0;0;0;0;0;0
2020-06-22 06:00:00;2;4;0;23;8;2;0;0;0;0;0;0
2020-06-22 06:15:00;2;6;1;26;18;3;0;0;0;0;0;0
2020-06-22 06:30:00;3;11;1;42;23;0;0;0;0;0;0;0
2020-06-22 06:45:00;11;19;0;57;38;5;0;0;0;0;0;0
2020-06-22 07:00:00;11;13;0;46;40;2;0;0;0;0;0;0
2020-06-22 07:15:00;8;15;2;45;21;4;0;0;0;1;2;0
2020-06-22 07:30:00;17;13;2;51;33;3;1;0;0;0;0;0
2020-06-22 07:45:00;23;13;2;59;38;9;1;0;0;2;0;0
2020-06-22 08:00:00;14;16;1;51;27;5;0;0;0;0;0;0
2020-06-22 08:15:00;24;17;3;75;41;2;2;0;0;0;0;0
2020-06-22 08:30:00;20;21;4;53;28;7;2;0;0;1;0;0
2020-06-22 08:45:00;14;17;3;57;22;9;1;0;0;2;0;0
2020-06-22 09:00:00;16;22;2;56;34;7;0;0;0;0;0;0
2020-06-22 09:15:00;21;27;1;65;25;8;0;0;0;3;0;0
2020-06-22 09:30:00;34;32;2;69;41;10;0;0;0;2;0;0
2020-06-22 09:45:00;26;25;4;56;45;9;0;0;0;7;0;0
2020-06-22 10:00:00;32;27;0;84;38;7;5;0;0;3;0;0
2020-06-22 10:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-22 10:30:00;45;48;0;90;44;9;0;0;0;5;0;0
2020-06-22 10:45:00;56;54;3;71;31;10;3;0;0;0;0;0
2020-06-22 11:00:00;54;49;5;80;28;8;11;0;0;4;0;0
2020-06-22 11:15:00;59;57;5;59;31;16;1;0;0;7;16;0
2020-06-22 11:30:00;52;42;5;74;43;10;7;0;0;2;0;0
2020-06-22 11:45:00;39;67;6;68;41;6;9;0;0;7;0;0
2020-06-22 12:00:00;36;57;7;85;40;14;1;0;0;6;0;0
2020-06-22 12:15:00;54;69;8;64;29;17;8;2;0;3;3;0
2020-06-22 12:30:00;49;38;9;67;41;23;6;4;0;9;2;0
2020-06-22 12:45:00;50;47;6;73;44;8;3;0;8;6;0;0
2020-06-22 13:00:00;54;49;6;66;31;3;6;29;0;3;1;0
2020-06-22 13:15:00;44;40;7;65;36;20;2;0;0;3;0;0
2020-06-22 13:45:00;37;42;3;67;38;13;8;0;14;5;0;0
2020-06-22 14:00:00;48;39;11;67;41;11;4;1;0;8;0;0
2020-06-22 14:15:00;46;45;5;81;48;21;0;0;0;1;0;0
2020-06-22 14:30:00;64;49;3;56;27;13;2;0;0;3;0;0
2020-06-22 14:45:00;50;54;4;68;37;17;5;1;0;6;0;0
2020-06-22 15:00:00;62;50;6;64;45;13;4;0;0;8;0;0
2020-06-22 15:15:00;59;46;2;65;37;7;1;0;0;6;0;0
2020-06-22 15:30:00;56;40;9;69;49;7;3;0;0;11;3;0
2020-06-22 15:45:00;46;78;7;70;36;10;3;0;0;2;5;0
2020-06-22 16:00:00;2;115;14;71;43;7;0;0;0;5;1;0
2020-06-22 16:15:00;15;108;17;66;37;8;6;4;0;2;0;0
2020-06-22 16:30:00;64;66;26;79;41;19;2;8;0;3;0;0
2020-06-22 16:45:00;60;66;8;89;34;11;4;0;3;4;0;0
2020-06-22 17:00:00;59;70;18;72;36;5;6;2;0;7;3;0
2020-06-22 17:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-22 17:30:00;57;87;19;80;41;7;0;0;3;3;15;0
2020-06-22 17:45:00;60;69;9;78;29;13;1;22;0;5;0;0
2020-06-22 18:00:00;62;62;14;55;24;15;0;0;0;3;8;0
2020-06-22 18:15:00;58;56;11;58;35;8;4;0;0;3;0;0
2020-06-22 18:30:00;61;51;11;58;31;6;0;0;0;3;0;0
2020-06-22 18:45:00;61;50;5;54;24;13;1;0;0;7;2;0
2020-06-22 19:00:00;55;47;4;28;17;10;1;0;0;1;0;0
2020-06-22 19:15:00;49;36;5;38;17;5;0;0;0;4;12;0
2020-06-22 19:30:00;30;28;3;21;14;3;0;0;0;0;0;0
2020-06-22 19:45:00;27;33;4;22;10;8;0;0;0;2;0;0
2020-06-22 20:00:00;17;19;7;9;5;8;0;0;0;0;0;0
2020-06-22 20:15:00;18;13;1;7;6;2;0;0;0;0;0;0
2020-06-22 20:30:00;11;1;0;7;7;1;0;0;0;0;0;0
2020-06-22 20:45:00;5;2;0;7;5;2;0;0;0;0;0;0
2020-06-22 21:00:00;6;6;0;5;4;0;0;0;0;0;0;0
2020-06-22 21:15:00;4;2;1;5;0;0;0;0;0;0;0;0
2020-06-22 21:30:00;5;8;0;8;8;2;0;0;0;0;0;0
2020-06-22 21:45:00;4;1;0;3;5;1;0;0;0;0;0;0
2020-06-22 22:00:00;4;5;0;5;6;0;0;0;0;0;0;0
2020-06-22 22:15:00;3;5;1;7;6;0;0;0;0;0;0;0
2020-06-22 22:30:00;4;3;0;7;5;0;0;0;0;0;0;0
2020-06-22 22:45:00;0;1;0;0;3;1;0;0;0;0;0;0
2020-06-22 23:00:00;0;4;1;7;2;0;0;0;0;0;0;0
2020-06-22 23:15:00;3;3;0;1;3;0;0;0;0;0;0;0
2020-06-22 23:30:00;0;1;0;1;0;0;0;0;0;0;0;0
2020-06-22 23:45:00;1;1;0;2;1;1;0;0;0;0;0;0
