DATUM;1(DA1);2(DA2);3(DB1A);4(DB1B);5(DC1);6(DC2);7(DD2A);8(DD2B);9(DD1);10(DE1);11(DE2);12(DE3);13(DF1);14(DF2);15(DF3);16(TAFG1);17(TAFG2)
2020-07-24 00:00:00;6;6;0;0;9;5;1;1;0;0;6;6;5;13;7;0;0
2020-07-24 00:15:00;15;4;0;0;13;8;1;1;0;0;13;5;9;21;9;0;0
2020-07-24 00:30:00;13;7;0;0;9;4;5;5;3;0;6;7;6;13;5;0;0
2020-07-24 00:45:00;11;1;0;0;5;1;1;1;1;0;11;1;1;5;1;0;0
2020-07-24 01:00:00;11;5;0;0;9;1;2;2;1;0;9;3;1;9;1;0;0
2020-07-24 01:15:00;4;3;0;0;7;1;0;0;0;0;3;4;1;9;1;0;0
2020-07-24 01:30:00;5;0;0;0;4;2;0;0;0;0;5;0;2;6;2;0;0
2020-07-24 01:45:00;10;2;0;0;5;1;2;2;0;1;7;2;1;6;1;0;0
2020-07-24 02:00:00;7;4;0;0;4;3;2;2;2;0;6;4;3;7;4;0;0
2020-07-24 02:15:00;10;1;0;0;4;0;2;2;0;0;10;1;0;4;0;0;0
2020-07-24 02:30:00;13;2;0;0;5;1;2;2;0;1;12;2;1;6;1;0;0
2020-07-24 02:45:00;7;1;0;0;9;5;1;1;0;0;6;1;5;14;5;0;0
2020-07-24 03:00:00;12;3;0;0;8;2;4;4;1;0;10;4;2;10;3;0;0
2020-07-24 03:15:00;7;6;1;2;7;3;2;2;0;0;6;5;3;9;3;0;0
2020-07-24 03:30:00;12;1;1;0;3;2;0;0;0;0;12;1;2;5;2;0;0
2020-07-24 03:45:00;8;3;0;0;12;1;1;1;0;1;7;4;1;13;1;0;0
2020-07-24 04:00:00;13;1;0;0;11;1;0;0;0;0;11;1;1;13;1;0;0
2020-07-24 04:15:00;14;3;0;0;9;4;1;1;0;0;12;3;3;12;4;0;0
2020-07-24 04:30:00;16;6;0;0;20;3;5;5;4;0;17;5;3;18;3;0;0
2020-07-24 04:45:00;28;6;0;1;26;4;2;2;2;1;24;5;6;26;4;0;0
2020-07-24 05:00:00;30;11;2;1;37;12;6;6;6;1;27;10;11;51;11;0;0
2020-07-24 05:15:00;32;18;2;0;38;9;2;2;2;1;32;18;8;43;8;0;0
2020-07-24 05:30:00;53;24;2;0;61;21;4;4;3;1;50;25;18;74;20;0;0
2020-07-24 05:45:00;66;40;1;1;52;18;2;2;2;7;62;41;18;61;18;0;0
2020-07-24 06:00:00;82;53;5;1;44;30;1;2;0;2;75;54;28;73;27;0;0
2020-07-24 06:15:00;84;68;2;0;79;48;3;4;3;0;74;70;45;114;43;0;0
