DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(DF1);7(DF2);8(DF3)
2020-04-27 00:00:00;3;5;1;2;3;2;0;2
2020-04-27 00:15:00;1;5;4;3;1;5;0;8
2020-04-27 00:30:00;6;3;2;0;3;1;0;4
2020-04-27 00:45:00;1;1;2;3;2;1;0;2
2020-04-27 01:00:00;3;3;1;0;0;2;0;0
2020-04-27 01:15:00;2;3;0;2;1;0;0;1
2020-04-27 01:30:00;0;2;1;1;1;0;0;1
2020-04-27 01:45:00;1;0;0;1;1;0;0;0
2020-04-27 02:00:00;1;1;1;0;0;1;0;1
2020-04-27 02:15:00;0;0;0;2;0;0;0;2
2020-04-27 02:30:00;1;0;0;1;0;0;0;1
2020-04-27 02:45:00;3;3;1;0;1;1;0;0
2020-04-27 03:00:00;3;0;0;1;1;0;0;1
2020-04-27 03:15:00;5;4;1;2;1;0;0;0
2020-04-27 03:30:00;0;2;1;0;0;1;0;0
2020-04-27 03:45:00;1;0;0;1;1;0;0;0
2020-04-27 04:00:00;2;1;0;0;1;1;0;0
2020-04-27 04:15:00;1;0;0;3;0;0;0;1
2020-04-27 04:30:00;1;3;1;2;1;1;0;2
2020-04-27 04:45:00;4;4;3;3;2;2;0;2
2020-04-27 05:00:00;4;12;9;7;4;2;0;4
2020-04-27 05:15:00;14;16;29;7;4;10;0;8
2020-04-27 05:30:00;30;29;42;10;11;11;0;6
2020-04-27 05:45:00;33;35;51;9;8;14;0;7
2020-04-27 06:00:00;25;19;30;9;11;9;0;14
2020-04-27 06:15:00;29;28;64;12;14;11;0;15
2020-04-27 06:30:00;45;50;95;16;22;22;0;18
2020-04-27 06:45:00;54;44;56;16;15;12;0;31
2020-04-27 07:00:00;52;42;58;21;21;25;0;30
2020-04-27 07:15:00;68;47;53;28;42;21;0;43
2020-04-27 07:30:00;65;59;56;19;58;33;0;54
2020-04-27 07:45:00;50;38;62;22;63;35;0;48
2020-04-27 08:00:00;44;42;47;16;16;27;0;26
2020-04-27 08:15:00;47;49;32;26;17;27;0;36
2020-04-27 08:30:00;46;39;22;18;31;20;0;40
2020-04-27 08:45:00;46;32;23;19;25;18;0;34
2020-04-27 09:00:00;47;36;18;19;30;20;0;24
2020-04-27 09:15:00;49;38;25;19;18;24;0;35
2020-04-27 09:30:00;46;30;27;20;23;23;0;28
2020-04-27 09:45:00;57;38;24;27;23;21;0;40
2020-04-27 10:00:00;42;41;19;21;18;23;0;36
2020-04-27 10:15:00;58;33;30;19;114;21;0;31
2020-04-27 10:30:00;47;42;24;27;64;22;0;31
2020-04-27 10:45:00;54;32;23;28;20;29;0;34
2020-04-27 11:00:00;52;38;13;32;26;18;0;35
2020-04-27 11:15:00;60;43;26;12;22;37;0;39
2020-04-27 11:30:00;44;42;28;24;52;24;0;41
2020-04-27 11:45:00;49;37;22;24;32;25;0;38
2020-04-27 12:00:00;43;36;29;24;36;36;0;46
2020-04-27 12:15:00;47;45;20;26;19;31;0;33
2020-04-27 12:30:00;42;38;28;31;47;25;0;43
2020-04-27 12:45:00;52;29;30;34;33;42;0;46
2020-04-27 13:00:00;44;48;40;26;58;30;0;51
2020-04-27 13:15:00;36;36;22;16;23;40;0;38
2020-04-27 13:30:00;58;51;32;29;24;19;0;33
2020-04-27 13:45:00;46;42;31;28;32;37;0;40
2020-04-27 14:00:00;50;46;34;33;35;29;0;37
2020-04-27 14:15:00;47;47;31;56;29;29;0;43
2020-04-27 14:30:00;45;45;22;45;86;31;0;44
2020-04-27 14:45:00;66;41;25;41;29;27;0;27
2020-04-27 15:00:00;58;50;27;40;31;34;0;41
2020-04-27 15:15:00;61;45;16;65;26;30;0;35
2020-04-27 15:30:00;61;47;28;32;23;25;0;40
2020-04-27 15:45:00;59;39;23;41;31;36;0;58
2020-04-27 16:00:00;58;56;20;50;20;44;0;56
2020-04-27 16:15:00;70;45;17;51;29;32;0;52
2020-04-27 16:30:00;54;42;17;39;33;32;0;42
2020-04-27 16:45:00;47;41;18;37;28;24;0;44
2020-04-27 17:00:00;42;37;16;43;22;30;0;40
2020-04-27 17:15:00;43;43;23;38;32;30;0;50
2020-04-27 17:30:00;42;38;21;38;31;40;0;49
2020-04-27 17:45:00;35;33;11;37;29;26;0;39
2020-04-27 18:00:00;34;26;20;28;19;25;0;37
2020-04-27 18:15:00;46;29;9;25;20;25;0;37
2020-04-27 18:30:00;26;32;9;20;23;22;0;21
2020-04-27 18:45:00;35;28;10;23;22;22;0;31
2020-04-27 19:00:00;38;28;19;15;7;27;0;19
2020-04-27 19:15:00;25;23;13;15;18;20;0;21
2020-04-27 19:30:00;35;17;16;23;17;15;0;18
2020-04-27 19:45:00;26;15;6;21;76;13;0;19
2020-04-27 20:00:00;16;15;7;15;15;10;0;21
2020-04-27 20:15:00;24;7;8;18;12;10;0;11
2020-04-27 20:30:00;18;16;8;9;8;13;0;14
2020-04-27 20:45:00;15;6;9;8;11;10;0;7
2020-04-27 21:00:00;19;7;12;13;21;15;0;13
2020-04-27 21:15:00;11;7;13;3;3;7;0;7
2020-04-27 21:30:00;10;7;6;10;7;7;0;6
2020-04-27 21:45:00;9;14;10;8;9;10;0;7
2020-04-27 22:00:00;6;7;3;12;6;7;0;11
2020-04-27 22:15:00;5;8;2;8;7;4;0;4
2020-04-27 22:30:00;6;6;2;4;4;5;0;3
2020-04-27 22:45:00;9;3;4;11;5;3;0;2
2020-04-27 23:00:00;3;3;2;4;1;6;0;3
2020-04-27 23:15:00;2;5;3;7;3;7;0;5
2020-04-27 23:30:00;3;5;1;3;0;4;0;2
2020-04-27 23:45:00;2;4;1;6;4;1;0;1
