DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DFR)
2020-01-17 00:00:00;0;4;3;3;0;2;0;2;0;0;0;0;0
2020-01-17 00:15:00;0;4;1;2;0;3;0;1;0;0;0;0;0
2020-01-17 00:30:00;0;0;1;1;2;6;2;3;0;0;0;0;0
2020-01-17 00:45:00;1;4;2;2;2;0;1;0;0;0;0;0;0
2020-01-17 01:00:00;0;2;1;1;2;4;1;0;0;0;0;0;0
2020-01-17 01:15:00;0;3;5;5;5;0;4;4;0;0;0;0;0
2020-01-17 01:30:00;1;2;3;3;2;2;2;1;0;0;0;0;0
2020-01-17 01:45:00;1;3;3;3;0;4;0;2;0;0;0;0;0
2020-01-17 02:00:00;1;0;1;1;1;2;1;0;0;0;0;0;0
2020-01-17 02:15:00;1;1;3;3;3;2;3;0;0;0;0;0;0
2020-01-17 02:30:00;0;1;1;2;0;3;0;0;0;0;0;0;0
2020-01-17 02:45:00;1;2;3;3;3;0;3;3;0;0;0;0;0
2020-01-17 03:00:00;1;1;2;1;5;3;5;2;0;0;0;0;0
2020-01-17 03:15:00;0;1;3;3;1;1;0;2;0;0;0;0;0
2020-01-17 03:30:00;0;1;2;2;3;1;4;0;0;0;0;0;0
2020-01-17 03:45:00;0;2;4;4;4;3;3;1;0;0;0;0;0
2020-01-17 04:00:00;0;0;2;2;5;4;1;3;0;0;0;0;0
2020-01-17 04:15:00;2;4;2;3;4;4;4;7;0;0;0;0;0
2020-01-17 04:30:00;1;11;9;9;1;0;1;7;0;0;0;0;0
2020-01-17 04:45:00;2;23;18;18;6;4;4;12;0;0;0;0;0
2020-01-17 05:00:00;1;19;56;56;5;9;6;31;0;0;0;0;0
2020-01-17 05:15:00;19;65;98;102;16;5;15;80;0;0;0;0;0
2020-01-17 05:30:00;11;92;124;122;18;26;19;73;0;0;0;0;0
2020-01-17 05:45:00;10;110;70;69;29;91;31;60;0;0;0;0;0
2020-01-17 06:00:00;8;71;34;35;24;96;19;100;0;0;0;0;0
2020-01-17 06:15:00;12;79;34;34;15;26;15;91;0;0;0;0;0
2020-01-17 06:30:00;4;105;57;58;25;22;26;95;0;0;0;0;0
2020-01-17 06:45:00;10;69;55;54;25;22;27;107;0;0;0;0;0
2020-01-17 07:00:00;5;74;63;65;33;24;30;130;0;0;0;0;0
2020-01-17 07:15:00;10;83;58;57;17;21;19;95;0;0;0;0;0
2020-01-17 07:30:00;5;106;41;41;34;28;33;118;0;0;0;0;0
2020-01-17 07:45:00;6;86;47;52;36;31;35;104;0;0;0;0;0
2020-01-17 08:00:00;10;58;40;41;29;39;26;90;0;0;0;0;0
2020-01-17 08:15:00;4;82;31;34;21;27;23;99;0;0;0;0;0
2020-01-17 08:30:00;8;73;19;21;20;34;19;79;0;0;0;0;0
2020-01-17 08:45:00;8;37;29;30;21;22;21;66;0;0;0;0;0
2020-01-17 09:00:00;5;38;29;29;17;21;17;62;0;0;0;0;0
2020-01-17 09:15:00;5;49;22;23;19;28;17;57;0;0;0;0;0
2020-01-17 09:30:00;1;46;26;28;12;21;12;67;0;0;0;0;0
2020-01-17 09:45:00;6;44;18;18;21;26;19;57;0;0;0;0;0
2020-01-17 10:00:00;8;38;23;25;12;29;12;60;0;0;0;0;0
2020-01-17 10:15:00;3;49;32;28;12;19;11;55;0;0;0;0;0
2020-01-17 10:30:00;3;45;18;22;12;26;11;43;0;0;0;0;0
