DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2a);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC)
2020-11-06 20:45:00;41;34;38;54;0;0;0;0;1;0;0;0
2020-11-06 21:00:00;32;25;34;41;0;0;0;0;0;0;0;0
2020-11-06 21:15:00;36;33;41;58;0;0;0;0;0;0;0;0
2020-11-06 21:30:00;32;21;30;46;0;0;0;0;0;0;0;0
2020-11-06 21:45:00;22;18;17;26;0;0;0;0;0;0;0;0
2020-11-06 22:00:00;26;21;30;33;0;0;0;0;0;0;0;0
2020-11-06 22:15:00;35;25;31;26;0;0;0;0;0;0;0;0
2020-11-06 22:30:00;24;16;27;22;0;0;0;0;0;0;0;0
2020-11-06 22:45:00;16;10;19;20;0;0;0;0;0;0;0;0
2020-11-06 23:00:00;24;11;18;19;0;0;0;0;0;0;0;0
2020-11-06 23:15:00;21;13;12;6;0;0;0;0;0;0;0;0
2020-11-06 23:30:00;14;11;22;25;0;0;0;0;0;0;0;0
2020-11-06 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
