DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(DF1);10(DF2);11(D11RES);12(D12RES);13(D13RES);14(D14RES)
2020-02-29 00:00:00;10;17;18;6;12;13;4;1;6;10;0;0;0;0
2020-02-29 00:15:00;7;9;28;11;19;12;7;3;6;15;0;0;0;0
2020-02-29 00:30:00;10;8;19;6;16;8;5;1;5;10;0;0;0;0
2020-02-29 00:45:00;6;5;15;4;8;6;8;2;4;8;0;0;0;0
2020-02-29 01:00:00;6;6;16;2;9;6;6;2;4;1;0;0;0;0
2020-02-29 01:15:00;7;4;20;4;13;11;8;2;4;3;0;0;0;0
2020-02-29 01:30:00;2;5;9;1;11;14;3;1;2;2;0;0;0;0
2020-02-29 01:45:00;7;6;13;4;14;10;3;2;6;4;0;0;0;0
2020-02-29 02:00:00;2;1;13;3;9;7;3;2;2;5;0;0;0;0
2020-02-29 02:15:00;2;4;12;1;9;8;4;1;2;0;0;0;0;0
2020-02-29 02:30:00;0;1;8;2;3;10;4;0;3;2;0;0;0;0
2020-02-29 02:45:00;1;0;7;2;2;3;4;1;0;3;0;0;0;0
2020-02-29 03:00:00;3;2;11;0;7;3;1;0;3;3;0;0;0;0
2020-02-29 03:15:00;2;5;6;2;3;7;4;1;2;3;0;0;0;0
2020-02-29 03:30:00;2;2;9;2;5;5;2;0;4;3;0;0;0;0
2020-02-29 03:45:00;5;1;5;0;5;7;0;0;1;3;0;0;0;0
2020-02-29 04:00:00;6;4;9;0;9;4;3;2;1;2;0;0;0;0
2020-02-29 04:15:00;1;5;7;0;4;2;0;0;0;4;0;0;0;0
2020-02-29 04:30:00;0;2;8;4;6;2;3;1;1;3;0;0;0;0
2020-02-29 04:45:00;2;4;16;0;6;7;4;0;4;3;0;0;0;0
2020-02-29 05:00:00;4;5;10;1;5;3;2;1;6;10;0;0;0;0
2020-02-29 05:15:00;7;7;11;1;9;7;9;3;5;8;0;0;0;0
2020-02-29 05:30:00;13;9;21;2;6;9;7;2;16;17;0;0;0;0
2020-02-29 05:45:00;12;9;19;2;13;12;7;1;21;26;0;0;0;0
2020-02-29 06:00:00;3;9;9;2;13;12;4;1;34;44;0;0;0;0
2020-02-29 06:15:00;8;10;8;5;8;15;5;3;16;22;0;0;0;0
2020-02-29 06:30:00;13;4;19;4;18;8;9;2;14;17;0;0;0;0
2020-02-29 06:45:00;9;9;18;4;13;9;6;0;8;12;0;0;0;0
2020-02-29 07:00:00;14;10;20;7;10;10;10;3;9;11;0;0;0;0
2020-02-29 07:15:00;16;16;23;11;23;18;6;3;9;18;0;0;0;0
2020-02-29 07:30:00;11;12;27;10;20;19;12;4;12;9;0;0;0;0
2020-02-29 07:45:00;18;18;33;10;17;28;14;4;10;13;0;0;0;0
2020-02-29 08:00:00;12;12;33;7;28;25;6;7;14;18;0;0;0;0
2020-02-29 08:15:00;17;17;53;15;25;24;11;4;25;18;0;0;0;0
2020-02-29 08:30:00;27;35;59;28;31;32;18;5;25;15;0;0;0;0
2020-02-29 08:45:00;39;24;52;21;35;36;25;13;18;23;0;0;0;0
2020-02-29 09:00:00;26;21;72;39;50;37;25;6;28;32;0;0;0;0
2020-02-29 09:15:00;31;36;72;27;45;43;29;7;28;32;0;0;0;0
2020-02-29 09:30:00;40;29;91;42;48;44;30;10;22;35;0;0;0;0
2020-02-29 09:45:00;51;42;107;38;58;46;30;14;31;38;0;0;0;0
2020-02-29 10:00:00;49;40;99;39;61;52;23;8;22;35;0;0;0;0
2020-02-29 10:15:00;44;41;97;55;60;50;33;15;32;43;0;0;0;0
2020-02-29 10:30:00;39;28;111;65;66;55;28;11;35;34;0;0;0;0
2020-02-29 10:45:00;42;35;103;48;76;65;36;20;32;41;0;0;0;0
