DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(TAFGB);7(TAFBB);8(TAFBC);9(SKC)
2020-06-18 00:00:00;16;4;19;0;0;0;0;0;0
2020-06-18 00:15:00;12;5;17;0;0;0;0;0;0
2020-06-18 00:30:00;9;5;10;2;2;0;0;0;0
2020-06-18 00:45:00;8;6;10;1;1;0;0;0;0
2020-06-18 01:00:00;3;1;7;0;0;0;0;0;0
2020-06-18 01:15:00;4;4;8;0;0;0;0;0;0
2020-06-18 01:30:00;3;2;9;0;0;0;0;0;0
2020-06-18 01:45:00;5;3;3;0;0;0;0;0;0
2020-06-18 02:00:00;2;1;2;0;0;0;0;0;0
2020-06-18 02:15:00;2;3;8;0;0;0;0;0;0
2020-06-18 02:30:00;7;5;2;0;0;0;0;0;0
2020-06-18 02:45:00;3;3;3;0;0;0;0;0;0
2020-06-18 03:00:00;3;1;6;0;0;0;0;0;0
2020-06-18 03:15:00;5;3;4;0;0;0;0;0;0
2020-06-18 03:30:00;4;6;6;0;0;0;0;0;0
2020-06-18 03:45:00;7;3;8;0;0;0;0;0;0
2020-06-18 04:00:00;5;5;9;0;0;0;0;0;0
2020-06-18 04:15:00;13;7;16;0;0;0;0;0;0
2020-06-18 04:30:00;9;5;9;0;0;0;0;0;0
2020-06-18 05:00:00;36;7;37;0;0;0;0;0;0
2020-06-18 05:15:00;54;18;81;0;0;0;0;0;0
2020-06-18 05:30:00;47;15;90;0;0;0;0;0;0
2020-06-18 05:45:00;70;14;102;1;2;0;0;0;0
2020-06-18 06:00:00;82;24;94;1;1;0;0;0;0
2020-06-18 06:15:00;101;39;126;1;1;0;0;0;0
2020-06-18 06:30:00;99;46;159;1;1;0;0;0;0
2020-06-18 06:45:00;76;43;179;1;2;3;0;0;0
2020-06-18 07:00:00;85;37;178;1;1;1;0;0;0
2020-06-18 07:15:00;91;58;171;5;5;0;0;0;0
2020-06-18 07:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-18 07:45:00;125;86;186;1;0;3;0;0;0
2020-06-18 08:00:00;94;63;160;2;2;1;0;0;0
2020-06-18 08:15:00;98;58;170;2;2;1;0;0;0
2020-06-18 08:30:00;85;50;168;1;1;4;0;0;0
2020-06-18 08:45:00;106;48;203;1;1;0;0;0;0
2020-06-18 09:00:00;93;39;172;2;2;1;0;0;0
2020-06-18 09:15:00;112;45;154;3;4;3;0;0;0
2020-06-18 09:30:00;102;48;170;2;2;0;0;0;0
2020-06-18 09:45:00;116;59;203;3;3;1;0;0;0
2020-06-18 10:00:00;123;62;167;1;1;1;0;0;0
2020-06-18 10:15:00;117;72;178;1;2;0;0;0;0
2020-06-18 10:30:00;121;72;204;2;1;0;0;0;0
2020-06-18 10:45:00;142;68;178;2;2;3;0;0;0
2020-06-18 11:00:00;129;62;198;2;2;2;0;0;0
2020-06-18 11:15:00;123;62;168;1;1;2;0;0;0
2020-06-18 11:30:00;133;54;181;1;1;2;0;0;0
2020-06-18 11:45:00;147;79;183;1;1;2;0;0;0
2020-06-18 12:00:00;132;77;186;2;2;0;0;0;0
2020-06-18 12:15:00;148;67;194;0;0;0;0;0;0
2020-06-18 12:30:00;150;79;170;0;2;2;0;0;0
2020-06-18 12:45:00;147;72;199;2;2;0;0;0;0
2020-06-18 13:00:00;161;84;182;2;2;0;0;0;0
2020-06-18 13:15:00;158;67;185;2;2;1;0;0;0
2020-06-18 13:30:00;161;59;190;3;3;1;0;0;0
2020-06-18 13:45:00;169;78;187;1;1;1;0;0;0
