DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2)
2020-01-10 00:00:00;0;14;1;1;0;0;7;9;0;0
2020-01-10 00:15:00;0;18;1;0;0;2;14;8;0;0
2020-01-10 00:30:00;0;12;1;2;1;1;14;9;1;1
2020-01-10 00:45:00;0;10;0;0;0;2;13;3;1;0
2020-01-10 01:00:00;0;10;0;2;0;0;8;4;0;0
2020-01-10 01:15:00;0;2;0;1;1;1;14;7;1;0
2020-01-10 01:30:00;0;10;1;0;1;1;9;2;0;0
2020-01-10 01:45:00;0;7;1;1;2;0;5;5;1;1
2020-01-10 02:00:00;0;10;0;1;1;2;4;4;0;0
2020-01-10 02:15:00;0;6;1;0;0;2;3;3;0;0
2020-01-10 02:30:00;0;3;0;0;0;1;10;3;0;0
2020-01-10 02:45:00;0;7;0;0;0;1;5;4;1;0
2020-01-10 03:00:00;0;6;0;0;1;2;8;3;0;0
2020-01-10 03:15:00;0;8;0;0;0;0;5;1;0;0
2020-01-10 03:30:00;0;3;0;0;0;0;8;1;0;0
2020-01-10 03:45:00;0;8;0;0;1;0;6;2;0;0
2020-01-10 04:00:00;0;4;0;0;0;2;6;3;0;0
2020-01-10 04:15:00;0;9;1;1;1;2;11;6;0;0
2020-01-10 04:30:00;0;11;0;0;1;7;17;6;0;0
2020-01-10 04:45:00;0;17;1;0;0;22;29;8;5;4
2020-01-10 05:00:00;0;36;0;0;1;42;35;19;2;3
2020-01-10 05:15:00;0;50;0;1;1;111;59;74;6;7
2020-01-10 05:30:00;0;62;0;4;6;136;62;96;12;12
2020-01-10 05:45:00;0;56;7;19;18;160;48;97;16;27
2020-01-10 06:00:00;0;68;30;41;34;164;40;109;14;20
2020-01-10 06:15:00;0;84;3;11;10;228;63;134;28;38
2020-01-10 06:30:00;0;88;3;6;3;232;78;147;54;72
2020-01-10 06:45:00;0;91;2;7;9;215;78;157;31;43
2020-01-10 07:00:00;0;90;5;7;6;226;74;153;29;40
2020-01-10 07:15:00;0;84;15;19;12;220;89;194;23;30
2020-01-10 07:30:00;0;103;9;15;9;247;101;210;12;24
2020-01-10 07:45:00;0;135;5;18;5;254;95;171;23;32
2020-01-10 08:00:00;0;118;8;8;6;221;90;161;21;32
2020-01-10 08:15:00;0;113;4;12;14;188;79;153;18;17
2020-01-10 08:30:00;0;101;8;12;14;147;78;153;14;16
2020-01-10 08:45:00;0;117;4;10;11;125;88;146;8;12
2020-01-10 09:00:00;0;85;9;11;17;61;70;107;13;4
2020-01-10 09:15:00;0;91;5;16;13;64;89;119;11;7
2020-01-10 09:30:00;0;97;13;11;10;63;81;116;10;7
2020-01-10 09:45:00;0;117;6;21;9;53;79;113;6;5
2020-01-10 10:00:00;0;104;6;18;18;52;90;120;8;3
2020-01-10 10:15:00;0;112;10;16;19;50;76;106;5;5
2020-01-10 10:30:00;0;100;9;12;14;43;88;112;6;4
2020-01-10 10:45:00;0;129;11;18;22;46;88;123;7;7
2020-01-10 11:00:00;0;144;15;16;27;44;86;123;14;6
2020-01-10 11:15:00;0;118;10;10;25;53;80;121;10;3
2020-01-10 11:30:00;0;136;28;14;31;59;87;109;16;11
2020-01-10 11:45:00;0;155;17;24;30;69;111;141;10;8
2020-01-10 12:00:00;0;143;31;57;62;59;107;139;10;8
2020-01-10 12:15:00;0;165;25;41;50;54;88;112;9;5
2020-01-10 12:30:00;0;181;29;54;64;56;100;140;8;6
2020-01-10 12:45:00;0;150;24;41;58;40;100;134;15;4
2020-01-10 13:00:00;0;162;35;58;57;56;107;161;11;6
2020-01-10 13:15:00;0;184;38;67;69;53;107;173;13;6
2020-01-10 13:30:00;0;160;29;55;64;69;108;153;13;6
2020-01-10 13:45:00;0;164;27;60;59;68;93;138;13;7
