DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(DF1);10(DF2);11(D11RES);12(D12RES);13(D13RES);14(D14RES)
2019-09-18 00:00:00;6;3;10;2;6;3;4;2;3;3;0;0;0;0
2019-09-18 00:15:00;1;7;8;4;6;3;3;0;1;2;0;0;0;0
2019-09-18 00:30:00;4;0;10;0;3;7;1;0;4;2;0;0;0;0
2019-09-18 00:45:00;3;3;8;2;8;3;2;0;4;0;0;0;0;0
2019-09-18 01:00:00;2;3;9;3;4;0;2;1;4;3;0;0;0;0
2019-09-18 01:15:00;3;2;5;2;3;2;4;1;5;1;0;0;0;0
2019-09-18 01:30:00;5;3;2;1;3;4;2;0;2;0;0;0;0;0
2019-09-18 01:45:00;0;0;0;0;6;2;1;1;1;3;0;0;0;0
2019-09-18 02:00:00;2;1;3;0;2;2;2;0;3;3;0;0;0;0
2019-09-18 02:15:00;2;3;6;1;4;3;1;0;1;1;0;0;0;0
2019-09-18 02:30:00;1;2;4;0;2;4;1;1;0;1;0;0;0;0
2019-09-18 02:45:00;0;3;4;0;4;2;1;0;0;2;0;0;0;0
2019-09-18 03:00:00;1;3;5;0;5;4;2;1;1;4;0;0;0;0
2019-09-18 03:15:00;0;1;4;0;2;2;0;0;1;1;0;0;0;0
2019-09-18 03:30:00;1;2;6;0;4;2;1;0;0;2;0;0;0;0
2019-09-18 03:45:00;5;1;4;0;6;4;0;0;1;3;0;0;0;0
2019-09-18 04:00:00;4;0;8;0;2;1;0;0;2;2;0;0;0;0
2019-09-18 04:15:00;7;3;3;1;3;4;2;0;1;2;0;0;0;0
2019-09-18 04:30:00;7;10;13;2;8;6;2;1;3;4;0;0;0;0
2019-09-18 04:45:00;16;22;12;2;10;10;4;1;6;9;0;0;0;0
2019-09-18 05:00:00;42;49;21;3;15;10;2;0;10;9;0;0;0;0
2019-09-18 05:15:00;92;94;39;18;16;12;11;3;7;11;0;0;0;0
2019-09-18 05:30:00;87;70;47;28;16;19;12;4;15;23;0;0;0;0
2019-09-18 05:45:00;81;53;47;31;26;24;20;11;40;55;0;0;0;0
2019-09-18 06:00:00;78;54;43;28;21;29;23;4;43;57;0;0;0;0
2019-09-18 06:15:00;81;62;55;46;41;33;20;5;40;56;0;0;0;0
2019-09-18 06:30:00;140;86;81;67;58;48;26;9;37;41;0;0;0;0
2019-09-18 06:45:00;113;73;87;73;54;44;33;19;28;30;0;0;0;0
2019-09-18 07:00:00;143;86;93;77;57;65;40;22;30;31;0;0;0;0
2019-09-18 07:15:00;128;76;74;66;66;59;50;29;43;38;0;0;0;0
2019-09-18 07:30:00;134;90;89;80;58;58;69;31;49;50;0;0;0;0
2019-09-18 07:45:00;159;93;90;69;72;67;52;31;62;62;0;0;0;0
2019-09-18 08:00:00;127;85;80;64;45;60;47;23;43;36;0;0;0;0
2019-09-18 08:15:00;136;88;84;67;65;65;35;16;37;50;0;0;0;0
2019-09-18 08:30:00;91;65;83;54;56;76;38;16;48;49;0;0;0;0
2019-09-18 08:45:00;79;48;78;64;49;57;39;22;36;45;0;0;0;0
2019-09-18 09:00:00;64;42;82;44;66;47;19;9;34;41;0;0;0;0
2019-09-18 09:15:00;59;38;80;58;47;50;32;16;44;41;0;0;0;0
