DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(DA4);11(DA5);12(DC4);13(DC5);14(DA6);15(DC6);16(TA1FBA);17(TA2FBA);18(TA1FBB);19(TA2FBB);20(TA1FBC);21(TA2FBC);22(TA1FBD);23(TA2FBD)
2019-12-20 00:00:00;13;11;1;3;19;10;1;1;4;1;0;0;0;15;22;0;0;0;0;0;0;0;0
2019-12-20 00:15:00;17;18;2;2;40;21;2;0;4;1;1;2;2;20;45;0;0;0;0;0;0;0;0
2019-12-20 00:30:00;31;23;2;1;26;16;3;0;3;2;3;2;2;36;33;0;0;0;0;0;0;0;0
2019-12-20 00:45:00;16;12;3;3;10;12;1;6;1;0;0;1;1;18;16;0;0;0;0;0;0;0;0
2019-12-20 01:00:00;10;7;1;0;19;15;1;1;4;0;0;1;0;13;25;0;0;0;0;0;0;0;0
2019-12-20 01:15:00;13;14;1;3;19;10;4;3;2;1;1;0;0;17;25;0;0;0;0;0;0;0;0
2019-12-20 01:30:00;10;12;1;1;7;6;0;3;3;2;2;0;0;14;8;0;0;0;0;0;0;0;0
2019-12-20 01:45:00;8;9;1;0;16;10;1;2;2;0;0;0;0;12;23;0;0;0;0;0;0;0;0
2019-12-20 02:00:00;4;7;1;3;10;6;2;2;1;1;1;0;0;8;13;0;0;0;0;0;0;0;0
2019-12-20 02:15:00;6;11;1;1;7;8;3;3;3;0;0;0;0;11;11;0;0;0;0;0;0;0;0
2019-12-20 02:30:00;3;5;0;1;5;6;1;1;2;1;0;0;0;5;8;0;0;0;0;0;0;0;0
2019-12-20 02:45:00;6;8;0;0;7;5;3;1;1;1;1;1;1;8;8;0;0;0;0;0;0;0;0
2019-12-20 03:00:00;11;8;0;0;16;8;0;0;2;1;0;1;1;11;18;0;0;0;0;0;0;0;0
2019-12-20 03:15:00;6;4;1;1;9;4;2;0;0;0;0;0;0;7;11;0;0;0;0;0;0;0;0
2019-12-20 03:30:00;13;5;0;2;9;6;1;3;2;1;1;0;0;13;12;0;0;0;0;0;0;0;0
2019-12-20 03:45:00;6;6;0;2;7;9;1;2;0;1;1;0;0;8;12;0;0;0;0;0;0;0;0
2019-12-20 04:00:00;5;7;3;2;9;6;0;1;4;1;1;1;1;6;11;0;0;0;0;0;0;0;0
2019-12-20 04:15:00;10;11;0;0;9;11;2;1;1;0;0;0;0;15;14;0;0;0;0;0;0;0;0
2019-12-20 04:30:00;8;3;0;4;16;7;1;5;5;0;0;0;0;9;19;0;0;0;0;0;0;0;0
2019-12-20 04:45:00;18;5;0;2;16;13;1;1;3;1;0;1;2;20;19;0;0;0;0;0;0;0;0
2019-12-20 05:00:00;25;20;0;0;17;9;2;4;1;1;2;1;1;31;20;0;0;0;0;0;0;0;0
2019-12-20 05:15:00;39;39;1;6;25;20;3;8;4;3;2;0;0;52;35;0;0;0;0;0;0;0;0
2019-12-20 05:30:00;64;55;1;6;25;23;13;8;5;7;5;3;3;79;37;0;0;0;0;0;0;0;0
2019-12-20 05:45:00;57;70;0;12;46;35;5;14;7;7;6;6;6;82;62;0;0;0;0;0;0;0;0
2019-12-20 06:00:00;54;72;3;6;36;39;3;12;4;3;3;12;11;79;58;0;0;0;0;0;0;0;0
2019-12-20 06:15:00;77;80;2;12;43;31;7;15;12;10;15;5;5;96;57;0;0;0;0;0;0;0;0
2019-12-20 06:30:00;99;115;2;17;67;72;9;30;16;9;14;16;14;118;95;0;0;0;0;0;0;0;0
2019-12-20 06:45:00;95;117;5;20;54;62;9;21;12;12;11;8;10;112;89;0;0;0;0;0;0;0;0
