DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DBL3);6(DC1)
2020-06-05 00:00:00;11;4;6;6;0;0
2020-06-05 00:15:00;15;7;11;8;2;2
2020-06-05 00:30:00;14;4;6;11;2;0
2020-06-05 00:45:00;7;2;1;3;0;0
2020-06-05 01:00:00;14;2;5;4;1;0
2020-06-05 01:15:00;7;3;3;7;0;0
2020-06-05 01:30:00;9;1;3;10;1;0
2020-06-05 01:45:00;10;1;1;6;0;1
2020-06-05 02:00:00;3;0;2;6;1;1
2020-06-05 02:15:00;7;0;2;4;0;2
2020-06-05 02:30:00;6;1;3;3;0;0
2020-06-05 02:45:00;11;3;4;6;1;1
2020-06-05 03:00:00;3;0;5;6;1;1
2020-06-05 03:15:00;10;0;3;4;0;2
2020-06-05 03:30:00;7;1;1;3;1;1
2020-06-05 03:45:00;4;1;1;2;0;0
2020-06-05 04:00:00;9;3;3;1;0;0
2020-06-05 04:15:00;16;5;7;12;2;3
2020-06-05 04:30:00;18;5;5;13;1;9
2020-06-05 04:45:00;33;17;5;13;0;5
2020-06-05 05:00:00;68;55;12;26;2;12
2020-06-05 05:15:00;73;70;14;31;2;12
2020-06-05 05:30:00;78;80;20;41;3;12
2020-06-05 05:45:00;74;61;38;71;3;8
2020-06-05 06:00:00;66;46;35;97;4;12
2020-06-05 06:15:00;85;83;35;93;6;8
2020-06-05 06:30:00;116;90;27;68;1;14
2020-06-05 06:45:00;94;95;38;76;6;17
2020-06-05 07:00:00;109;72;51;77;1;20
2020-06-05 07:15:00;102;114;53;89;14;22
2020-06-05 07:30:00;111;102;58;94;12;24
2020-06-05 07:45:00;121;106;61;112;8;39
2020-06-05 08:00:00;103;84;73;71;6;21
2020-06-05 08:15:00;107;94;60;87;16;24
2020-06-05 08:30:00;104;89;54;93;12;31
2020-06-05 08:45:00;118;96;61;97;10;33
2020-06-05 09:00:00;102;78;45;79;12;30
2020-06-05 09:15:00;118;76;72;106;11;31
2020-06-05 09:30:00;118;91;74;111;16;35
2020-06-05 09:45:00;134;109;69;113;16;40
2020-06-05 10:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-05 10:15:00;134;89;72;130;14;32
2020-06-05 10:30:00;137;107;79;117;15;56
2020-06-05 10:45:00;150;109;83;137;14;35
2020-06-05 11:00:00;133;102;89;121;14;30
2020-06-05 11:15:00;154;111;78;143;14;40
2020-06-05 11:45:00;133;128;85;151;17;34
2020-06-05 12:00:00;124;116;111;147;28;51
2020-06-05 12:15:00;143;135;118;156;20;49
2020-06-05 12:30:00;131;119;82;160;18;45
2020-06-05 12:45:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-05 13:00:00;141;125;78;137;13;44
2020-06-05 13:15:00;161;146;101;179;15;45
2020-06-05 13:30:00;157;133;88;176;14;50
2020-06-05 13:45:00;157;133;91;172;17;40
2020-06-05 14:00:00;132;116;116;181;20;54
2020-06-05 14:15:00;167;144;132;236;19;40
2020-06-05 14:30:00;153;139;131;223;25;54
2020-06-05 14:45:00;145;119;165;216;23;61
2020-06-05 15:00:00;151;110;123;195;20;48
2020-06-05 15:15:00;151;122;122;193;19;42
2020-06-05 15:30:00;141;111;124;182;20;43
2020-06-05 15:45:00;148;125;101;197;16;48
2020-06-05 16:00:00;132;111;97;153;17;27
2020-06-05 16:15:00;127;124;94;174;19;46
2020-06-05 16:30:00;159;132;86;150;17;50
2020-06-05 16:45:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-05 17:00:00;147;120;87;146;18;38
2020-06-05 17:15:00;151;145;117;160;23;51
2020-06-05 17:30:00;152;117;82;145;22;47
2020-06-05 17:45:00;145;99;81;146;15;50
2020-06-05 18:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-05 18:15:00;139;113;63;128;20;46
2020-06-05 18:30:00;123;86;69;101;14;48
2020-06-05 18:45:00;113;85;59;85;13;45
2020-06-05 19:00:00;105;74;61;76;12;34
2020-06-05 19:15:00;112;85;62;101;15;35
2020-06-05 19:30:00;96;85;52;99;19;42
2020-06-05 19:45:00;93;68;46;67;4;31
2020-06-05 20:00:00;74;52;51;67;5;17
2020-06-05 20:15:00;79;45;63;62;5;10
2020-06-05 20:30:00;76;45;37;78;10;36
2020-06-05 20:45:00;61;32;30;58;6;15
2020-06-05 21:00:00;79;81;33;68;3;14
2020-06-05 21:15:00;82;60;31;44;2;9
2020-06-05 21:30:00;74;45;36;44;6;15
2020-06-05 21:45:00;52;37;60;86;6;10
2020-06-05 22:00:00;50;28;43;92;3;8
2020-06-05 22:15:00;59;23;42;67;3;10
2020-06-05 22:30:00;48;26;38;61;2;8
2020-06-05 22:45:00;39;18;15;44;4;7
2020-06-05 23:00:00;54;21;16;32;4;8
2020-06-05 23:15:00;37;19;30;27;4;11
2020-06-05 23:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-05 23:45:00;37;13;10;34;4;7
