DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(DD2);8(DE1);9(TAFGB);10(TAFBA);11(TAFBB);12(TAFBC);13(TAFBD)
2019-08-06 18:15:00;71;95;67;96;85;30;0;2;7;0;0;1;0
2019-08-06 18:30:00;51;66;56;95;70;19;0;1;0;0;0;1;2
2019-08-06 18:45:00;51;74;48;99;97;16;0;2;21;5;2;2;0
2019-08-06 19:00:00;47;47;45;79;68;22;0;0;9;0;0;3;0
2019-08-06 19:15:00;51;57;44;82;59;10;0;0;1;0;0;0;0
2019-08-06 19:30:00;23;53;48;73;66;17;0;2;0;0;0;0;2
2019-08-06 19:45:00;30;40;34;69;45;20;0;0;2;0;0;4;0
2019-08-06 20:00:00;34;47;27;71;53;13;0;0;0;0;0;0;1
2019-08-06 20:15:00;26;41;44;58;53;12;0;1;17;0;1;0;0
2019-08-06 20:30:00;18;31;41;71;52;14;0;0;1;0;0;0;0
2019-08-06 20:45:00;18;35;34;62;44;6;0;0;2;1;0;0;0
2019-08-06 21:00:00;20;33;25;67;55;10;0;0;28;0;0;0;0
2019-08-06 21:15:00;17;33;28;74;68;8;0;0;0;0;0;0;5
2019-08-06 21:30:00;22;49;25;72;54;3;0;0;0;0;0;8;0
2019-08-06 21:45:00;28;51;22;53;31;11;0;1;0;0;0;0;0
2019-08-06 22:00:00;37;67;24;55;41;9;0;0;0;0;0;0;0
2019-08-06 22:15:00;24;39;25;39;28;9;0;0;6;0;0;0;0
2019-08-06 22:30:00;19;22;22;30;25;8;0;0;0;0;0;0;0
2019-08-06 22:45:00;16;26;15;35;30;5;0;0;3;0;0;0;0
2019-08-06 23:00:00;12;15;18;39;25;6;0;0;0;0;0;0;0
2019-08-06 23:15:00;8;11;13;21;13;6;0;0;0;0;0;0;0
2019-08-06 23:30:00;1;9;11;21;13;2;0;0;0;0;0;0;0
