DATUM;1(DA1);2(DA2);3(DA3);4(DBR1);5(DBR2);6(DB1);7(DC1);8(DC2)
2019-09-22 00:00:00;13;19;20;1;4;5;20;7
2019-09-22 00:15:00;18;27;27;3;6;13;32;13
2019-09-22 00:30:00;13;16;15;1;6;10;24;8
2019-09-22 00:45:00;15;14;12;4;5;4;19;11
2019-09-22 01:00:00;24;17;20;2;3;4;17;11
2019-09-22 01:15:00;12;21;22;5;3;11;21;11
2019-09-22 01:30:00;7;11;11;1;5;3;10;7
2019-09-22 01:45:00;8;18;18;3;6;11;17;6
2019-09-22 02:00:00;11;10;9;1;1;8;5;8
2019-09-22 02:15:00;8;13;14;2;10;4;7;11
2019-09-22 02:30:00;8;8;8;1;4;3;6;6
2019-09-22 02:45:00;3;11;11;1;3;5;10;7
2019-09-22 03:00:00;6;11;11;1;6;10;9;4
2019-09-22 03:15:00;8;10;10;2;1;5;10;5
2019-09-22 03:30:00;7;9;9;2;6;2;9;3
2019-09-22 03:45:00;6;12;11;0;0;6;3;4
2019-09-22 04:00:00;2;9;9;1;4;5;4;4
2019-09-22 04:15:00;3;8;8;0;3;2;3;1
2019-09-22 04:30:00;2;7;7;1;5;3;5;5
2019-09-22 04:45:00;5;12;11;2;3;6;8;1
2019-09-22 05:00:00;1;7;8;6;5;3;4;3
2019-09-22 05:15:00;8;10;10;1;5;3;6;3
2019-09-22 05:30:00;7;8;9;3;2;1;8;1
2019-09-22 05:45:00;11;16;18;3;4;3;16;4
2019-09-22 06:00:00;5;11;10;0;3;5;6;5
2019-09-22 06:15:00;5;7;9;0;1;5;13;4
2019-09-22 06:30:00;10;8;8;0;2;0;6;0
2019-09-22 06:45:00;8;11;12;3;1;4;20;6
2019-09-22 07:00:00;8;7;7;2;3;3;11;6
2019-09-22 07:15:00;9;15;15;2;5;6;12;4
2019-09-22 07:30:00;13;9;11;4;9;6;12;7
2019-09-22 07:45:00;15;18;18;2;4;9;19;5
2019-09-22 08:00:00;7;17;17;3;7;8;15;4
2019-09-22 08:15:00;11;23;23;7;8;13;16;3
2019-09-22 08:30:00;9;14;14;9;15;4;24;9
2019-09-22 08:45:00;29;30;31;7;10;9;36;19
2019-09-22 09:00:00;26;29;31;7;13;10;22;27
2019-09-22 09:15:00;25;22;22;7;9;11;34;17
2019-09-22 09:30:00;27;29;25;10;11;9;30;26
2019-09-22 09:45:00;27;28;31;15;19;20;28;17
2019-09-22 10:00:00;33;46;48;16;16;15;44;21
2019-09-22 10:15:00;45;49;49;11;12;9;48;18
2019-09-22 10:30:00;41;41;40;15;11;10;46;23
2019-09-22 10:45:00;49;48;46;11;22;11;49;30
2019-09-22 11:00:00;45;42;40;11;11;13;50;36
2019-09-22 11:15:00;48;49;50;14;20;9;46;38
2019-09-22 11:30:00;57;44;43;10;11;14;42;24
2019-09-22 11:45:00;60;55;52;11;19;11;46;36
2019-09-22 12:00:00;49;59;59;15;20;11;54;34
2019-09-22 12:15:00;57;50;48;20;20;15;47;25
2019-09-22 12:30:00;51;52;50;19;20;9;62;33
2019-09-22 12:45:00;55;46;48;6;16;18;67;41
2019-09-22 13:00:00;46;60;54;12;16;15;48;32
2019-09-22 13:15:00;53;37;36;11;14;19;55;28
2019-09-22 13:30:00;64;64;61;15;18;11;65;42
2019-09-22 13:45:00;53;50;52;18;20;14;55;37
2019-09-22 14:00:00;67;40;38;12;23;14;63;35
2019-09-22 14:15:00;58;55;52;13;17;11;65;42
2019-09-22 14:30:00;56;47;47;17;20;9;60;36
2019-09-22 14:45:00;60;41;39;10;14;16;72;46
2019-09-22 15:00:00;47;41;42;8;13;13;57;32
2019-09-22 15:15:00;52;47;47;11;15;14;56;36
2019-09-22 15:30:00;63;44;45;11;18;10;45;29
2019-09-22 15:45:00;34;51;49;17;14;10;49;27
2019-09-22 16:00:00;45;57;53;14;18;15;53;42
2019-09-22 16:15:00;54;52;51;15;16;19;66;44
2019-09-22 16:30:00;49;45;44;10;20;14;52;37
2019-09-22 16:45:00;30;22;24;11;15;9;26;18
2019-09-22 17:00:00;27;14;17;9;15;10;27;22
2019-09-22 17:15:00;8;7;6;2;2;1;4;4
2019-09-22 17:30:00;
2019-09-22 17:45:00;
2019-09-22 18:00:00;
2019-09-22 18:15:00;
2019-09-22 18:30:00;
2019-09-22 18:45:00;
2019-09-22 19:00:00;
2019-09-22 19:15:00;
2019-09-22 19:30:00;
2019-09-22 19:45:00;
2019-09-22 20:00:00;
2019-09-22 20:15:00;
2019-09-22 20:30:00;
2019-09-22 20:45:00;
2019-09-22 21:00:00;
2019-09-22 21:15:00;
2019-09-22 21:30:00;
2019-09-22 21:45:00;
2019-09-22 22:00:00;
2019-09-22 22:15:00;
2019-09-22 22:30:00;
2019-09-22 22:45:00;
2019-09-22 23:00:00;
2019-09-22 23:15:00;
2019-09-22 23:30:00;
2019-09-22 23:45:00;
