DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(TAFGA);8(TAFBA);9(TAFBB);10(TAFGC);11(TAFBC);12(TAFBDRES)
2020-06-27 00:00:00;6;5;0;1;3;1;0;0;0;0;0;0
2020-06-27 00:15:00;0;1;0;4;5;0;0;0;0;0;0;0
2020-06-27 00:30:00;0;1;0;2;1;0;0;0;0;0;0;0
2020-06-27 00:45:00;3;4;0;2;4;1;0;0;0;0;0;0
2020-06-27 01:00:00;3;1;0;3;2;0;0;0;0;0;0;0
2020-06-27 01:15:00;1;2;0;3;2;0;0;0;0;0;0;0
2020-06-27 01:30:00;4;3;0;1;3;0;0;0;0;0;0;0
2020-06-27 01:45:00;0;2;0;2;8;0;0;0;0;0;0;0
2020-06-27 02:00:00;2;2;0;0;142;1;0;0;0;0;0;0
2020-06-27 02:15:00;0;2;0;0;125;1;0;0;0;0;0;0
2020-06-27 02:30:00;1;1;0;0;119;0;0;0;0;0;0;0
2020-06-27 02:45:00;0;1;0;0;117;0;0;0;0;0;0;0
2020-06-27 03:00:00;2;0;2;3;51;0;0;0;0;0;0;0
2020-06-27 03:15:00;1;1;0;0;278;0;0;0;0;0;0;0
2020-06-27 03:30:00;4;2;0;0;52;0;0;0;0;0;0;0
2020-06-27 03:45:00;2;1;0;0;108;0;0;0;0;0;0;0
2020-06-27 04:00:00;3;3;0;2;215;0;0;0;0;0;0;0
2020-06-27 04:15:00;0;0;0;0;310;0;0;0;0;0;0;0
2020-06-27 04:30:00;0;2;0;1;28;0;0;0;0;0;0;0
2020-06-27 04:45:00;1;1;0;0;69;0;0;0;0;0;0;0
2020-06-27 05:00:00;1;0;1;3;220;0;0;0;0;0;0;0
2020-06-27 05:15:00;0;0;0;2;160;1;0;0;0;0;0;0
2020-06-27 05:30:00;1;0;0;8;85;0;0;0;0;0;0;0
2020-06-27 05:45:00;3;2;0;6;16;1;0;0;0;0;0;0
2020-06-27 06:00:00;1;2;0;6;374;0;0;0;0;0;0;0
2020-06-27 06:15:00;1;1;0;3;47;0;0;0;0;0;0;0
2020-06-27 06:30:00;0;0;0;12;81;1;0;0;0;0;0;0
2020-06-27 06:45:00;1;7;0;9;25;0;0;0;0;0;0;0
2020-06-27 07:00:00;2;4;0;7;86;1;0;0;0;0;0;0
2020-06-27 07:15:00;2;3;0;12;260;3;0;0;0;0;0;0
2020-06-27 07:30:00;3;8;0;4;147;1;2;0;0;0;0;0
2020-06-27 07:45:00;6;11;0;15;17;1;0;0;0;0;0;0
2020-06-27 08:00:00;5;8;0;18;7;3;0;0;0;0;0;0
2020-06-27 08:15:00;6;6;0;26;17;2;0;0;0;0;0;0
2020-06-27 08:30:00;14;19;1;32;37;2;0;0;0;0;0;0
2020-06-27 08:45:00;14;20;0;40;22;6;0;0;0;0;0;0
