DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(TA1);8(TA2)
2019-12-06 00:00:00;1;3;0;0;5;5;0;0
2019-12-06 00:15:00;6;3;0;0;6;4;0;0
2019-12-06 00:30:00;3;3;0;0;6;1;0;0
2019-12-06 00:45:00;3;4;0;0;2;2;0;0
2019-12-06 01:00:00;2;1;0;0;1;7;0;0
2019-12-06 01:15:00;2;3;0;0;5;3;0;0
2019-12-06 01:30:00;3;2;0;0;4;3;0;0
2019-12-06 01:45:00;7;2;0;0;1;1;0;0
2019-12-06 02:00:00;3;4;0;0;1;4;0;0
2019-12-06 02:15:00;2;1;0;0;3;4;0;0
2019-12-06 02:30:00;2;2;0;0;2;6;0;0
2019-12-06 02:45:00;0;3;0;0;0;1;0;0
2019-12-06 03:00:00;3;4;2;0;0;3;0;0
2019-12-06 03:15:00;1;3;0;0;4;4;0;0
2019-12-06 03:30:00;4;3;0;0;7;6;0;0
2019-12-06 03:45:00;2;3;0;0;2;4;0;0
2019-12-06 04:00:00;4;6;0;0;1;3;0;0
2019-12-06 04:15:00;3;2;0;0;3;3;0;0
2019-12-06 04:30:00;3;5;0;0;8;11;0;0
2019-12-06 04:45:00;9;10;0;0;23;28;0;0
2019-12-06 05:00:00;11;22;0;0;35;50;20;0
2019-12-06 05:15:00;20;49;9;0;88;132;16;3
2019-12-06 05:30:00;40;50;6;0;102;109;12;8
2019-12-06 05:45:00;122;163;3;0;85;82;8;20
2019-12-06 06:00:00;76;133;3;0;61;39;11;11
2019-12-06 06:15:00;51;88;2;0;68;50;16;6
2019-12-06 06:30:00;44;101;2;0;72;62;40;1
2019-12-06 06:45:00;47;105;1;0;70;69;13;3
2019-12-06 07:00:00;54;92;2;0;64;65;23;0
2019-12-06 07:15:00;63;101;8;0;55;73;16;6
2019-12-06 07:30:00;70;105;5;0;81;69;14;1
2019-12-06 07:45:00;54;86;9;0;70;66;18;1
2019-12-06 08:00:00;52;103;9;0;73;58;13;3
2019-12-06 08:15:00;59;86;10;0;59;62;7;0
2019-12-06 08:30:00;51;80;5;0;41;32;13;4
2019-12-06 08:45:00;46;64;13;0;49;45;2;3
2019-12-06 09:00:00;42;58;13;0;44;33;5;5
2019-12-06 09:15:00;42;58;19;0;41;36;2;5
2019-12-06 09:30:00;42;72;15;0;31;27;6;1
2019-12-06 09:45:00;48;65;14;0;38;34;8;1
2019-12-06 10:00:00;35;53;17;0;41;27;0;5
2019-12-06 10:15:00;44;53;8;0;42;32;4;1
2019-12-06 10:30:00;38;65;15;0;57;27;1;8
2019-12-06 10:45:00;51;53;18;0;45;40;9;6
2019-12-06 11:00:00;37;54;14;0;40;32;14;9
2019-12-06 11:15:00;46;51;14;0;34;38;3;6
2019-12-06 11:30:00;56;70;9;0;39;29;9;5
2019-12-06 11:45:00;56;66;13;0;45;34;0;7
2019-12-06 12:00:00;75;82;11;0;50;54;2;19
2019-12-06 12:15:00;77;83;15;0;57;53;7;9
2019-12-06 12:30:00;78;105;10;0;56;38;11;15
2019-12-06 12:45:00;78;85;9;0;64;70;6;23
2019-12-06 13:00:00;59;76;9;0;74;78;20;5
2019-12-06 13:15:00;61;79;12;0;96;121;12;17
2019-12-06 13:30:00;72;89;12;0;109;120;6;9
2019-12-06 13:45:00;85;90;17;0;111;109;12;26
2019-12-06 14:00:00;101;121;14;0;101;107;6;38
2019-12-06 14:15:00;157;186;12;0;69;64;3;22
2019-12-06 14:30:00;145;145;10;0;71;60;0;23
2019-12-06 14:45:00;111;140;7;0;85;67;7;15
2019-12-06 15:00:00;82;100;9;0;74;45;2;18
2019-12-06 15:15:00;91;111;9;0;94;78;0;21
2019-12-06 15:30:00;85;92;13;0;73;55;0;13
2019-12-06 15:45:00;67;104;10;0;65;49;1;7
2019-12-06 16:00:00;68;80;7;0;57;43;0;18
2019-12-06 16:15:00;63;84;7;0;57;37;1;17
2019-12-06 16:30:00;63;79;14;0;53;36;3;13
2019-12-06 16:45:00;57;93;5;0;45;30;0;6
2019-12-06 17:00:00;44;80;8;0;44;35;0;9
2019-12-06 17:15:00;71;66;7;0;38;39;3;8
2019-12-06 17:30:00;56;76;2;0;38;27;0;2
2019-12-06 17:45:00;49;70;8;0;42;23;4;2
2019-12-06 18:00:00;50;54;3;0;29;20;5;28
2019-12-06 18:15:00;41;64;11;0;39;29;1;2
2019-12-06 18:30:00;45;57;4;0;40;28;0;5
2019-12-06 18:45:00;40;47;1;0;37;20;0;4
2019-12-06 19:00:00;30;45;2;0;35;19;0;4
2019-12-06 19:15:00;32;51;2;0;14;11;0;0
2019-12-06 19:30:00;31;27;4;0;30;22;0;4
2019-12-06 19:45:00;25;35;2;0;19;13;0;0
2019-12-06 20:00:00;19;30;2;0;21;16;0;3
2019-12-06 20:15:00;24;23;1;0;20;19;0;0
2019-12-06 20:30:00;22;15;1;0;20;22;3;2
2019-12-06 20:45:00;18;24;1;0;29;41;16;6
2019-12-06 21:00:00;16;41;3;0;50;69;21;3
2019-12-06 21:15:00;21;34;2;0;60;92;24;0
2019-12-06 21:30:00;39;42;9;0;46;71;16;9
2019-12-06 21:45:00;53;104;13;0;37;42;11;18
2019-12-06 22:00:00;78;143;8;0;43;26;1;13
2019-12-06 22:15:00;37;52;2;0;13;14;0;6
2019-12-06 22:30:00;17;19;2;0;13;20;0;0
2019-12-06 22:45:00;16;20;1;0;12;11;0;0
2019-12-06 23:00:00;10;15;0;0;23;13;0;0
2019-12-06 23:15:00;14;13;0;0;19;11;0;0
2019-12-06 23:30:00;8;9;0;0;14;14;0;0
2019-12-06 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
