DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFGA);12(TAFBA)
2020-11-14 00:00:00;8;5;2;1;1;9;9;4;7;1;0;0
2020-11-14 00:15:00;13;11;3;3;5;9;14;9;6;3;0;0
2020-11-14 00:30:00;4;6;0;3;4;13;11;3;4;1;0;0
2020-11-14 00:45:00;10;9;1;1;2;6;16;11;2;1;0;0
2020-11-14 01:00:00;8;1;1;1;3;7;8;5;3;0;0;0
2020-11-14 01:15:00;4;6;1;1;2;7;7;5;5;1;0;0
2020-11-14 01:30:00;4;3;2;1;4;4;4;1;4;2;0;0
2020-11-14 01:45:00;6;0;1;1;2;7;5;3;1;1;0;0
2020-11-14 02:00:00;4;4;0;0;0;7;12;6;2;3;0;0
2020-11-14 02:15:00;2;3;0;2;2;2;6;5;3;3;0;0
2020-11-14 02:30:00;3;4;3;1;3;3;1;0;2;0;0;0
2020-11-14 02:45:00;5;3;0;1;1;3;5;1;1;2;0;0
2020-11-14 03:00:00;2;6;0;0;0;2;1;1;2;4;0;0
2020-11-14 03:15:00;7;4;0;2;2;6;3;1;3;0;0;0
2020-11-14 03:30:00;0;2;2;0;0;1;2;3;0;1;0;0
2020-11-14 03:45:00;2;0;0;0;1;2;3;1;2;0;0;0
2020-11-14 04:00:00;7;4;0;1;1;3;0;1;3;1;0;0
2020-11-14 04:15:00;2;0;0;0;0;2;3;1;1;0;0;0
2020-11-14 04:30:00;3;4;0;0;0;1;5;5;2;3;0;0
2020-11-14 04:45:00;5;2;0;5;8;7;5;3;6;2;0;0
2020-11-14 05:00:00;6;8;1;1;1;9;8;2;7;1;0;0
2020-11-14 05:15:00;10;4;1;1;3;10;11;7;6;5;0;0
2020-11-14 05:30:00;14;9;0;2;4;20;22;14;18;0;0;0
2020-11-14 05:45:00;16;14;1;5;6;15;13;10;8;1;1;5
2020-11-14 06:00:00;21;12;1;1;2;11;27;25;15;8;1;0
2020-11-14 06:15:00;20;8;5;2;10;21;21;18;9;4;2;0
2020-11-14 06:30:00;21;11;1;8;14;21;24;14;21;4;0;4
2020-11-14 06:45:00;20;18;1;7;8;22;24;16;22;6;0;0
2020-11-14 07:00:00;20;16;3;1;5;15;23;15;16;2;1;0
2020-11-14 07:15:00;27;9;1;3;5;25;27;20;17;8;0;13
2020-11-14 07:30:00;29;11;2;5;9;35;46;34;35;7;0;0
2020-11-14 07:45:00;29;14;2;4;2;28;34;37;28;12;3;2
2020-11-14 08:00:00;24;6;2;4;4;18;27;21;21;8;0;0
2020-11-14 08:15:00;33;14;2;11;10;24;35;19;21;5;0;0
2020-11-14 08:30:00;36;19;2;4;7;44;47;38;45;9;2;0
2020-11-14 08:45:00;51;25;4;10;13;41;49;38;42;14;3;1
