DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DB4);7(DC1);8(DC2);9(TAFBA);10(TAFBB);11(TAFBC)
2020-08-03 00:00:00;2;3;0;6;2;4;1;3;0;0;0
2020-08-03 00:15:00;3;5;0;8;1;3;0;2;0;0;0
2020-08-03 00:30:00;3;1;0;4;0;4;0;1;0;0;0
2020-08-03 00:45:00;1;3;0;6;4;5;0;3;0;0;0
2020-08-03 01:00:00;0;0;0;3;3;3;0;1;0;0;0
2020-08-03 01:15:00;1;2;0;2;0;0;0;0;0;0;0
2020-08-03 01:30:00;1;2;0;0;0;0;0;0;0;0;0
2020-08-03 01:45:00;3;0;0;1;0;0;0;0;0;0;0
2020-08-03 02:00:00;0;0;0;2;0;2;0;0;0;0;0
2020-08-03 02:15:00;0;2;0;1;0;1;0;0;0;0;0
2020-08-03 02:30:00;1;1;0;1;1;1;0;1;0;0;0
2020-08-03 02:45:00;0;1;0;1;0;1;0;0;0;0;0
2020-08-03 03:00:00;1;1;0;0;0;0;0;1;0;0;0
2020-08-03 03:15:00;0;1;0;1;0;1;0;1;0;0;0
2020-08-03 03:30:00;1;0;0;0;0;0;0;0;0;0;0
2020-08-03 03:45:00;0;0;0;3;0;2;0;0;0;0;0
2020-08-03 04:00:00;0;0;0;0;0;2;0;0;0;0;0
2020-08-03 04:15:00;1;4;0;1;0;0;0;0;0;0;0
2020-08-03 04:30:00;2;0;0;1;0;1;0;2;0;0;0
2020-08-03 04:45:00;3;2;0;3;2;3;0;1;0;0;0
2020-08-03 05:00:00;4;2;0;1;0;0;0;3;0;0;0
2020-08-03 05:15:00;7;4;0;3;0;3;1;5;0;0;0
2020-08-03 05:30:00;8;7;0;9;2;4;1;4;0;0;0
2020-08-03 05:45:00;15;19;0;24;5;15;1;7;0;0;0
2020-08-03 06:00:00;15;21;0;18;7;13;0;5;0;0;0
2020-08-03 06:15:00;28;24;0;27;7;17;0;11;0;0;0
2020-08-03 06:30:00;35;30;0;37;12;30;3;16;0;0;0
2020-08-03 06:45:00;47;36;0;27;6;19;2;19;0;0;0
2020-08-03 07:00:00;43;48;0;31;10;38;3;18;0;0;0
2020-08-03 07:15:00;68;71;0;38;13;33;1;29;0;0;1
2020-08-03 07:30:00;72;60;0;51;15;38;4;24;1;0;0
2020-08-03 07:45:00;73;70;0;62;20;59;7;21;2;0;0
2020-08-03 08:00:00;65;60;0;49;9;41;3;17;0;0;0
2020-08-03 08:15:00;69;56;0;57;15;38;4;25;0;0;0
2020-08-03 08:30:00;54;44;0;37;10;29;5;8;0;0;0
2020-08-03 08:45:00;44;60;0;52;11;43;1;16;0;0;1
2020-08-03 09:00:00;46;39;0;39;10;25;2;12;1;0;0
2020-08-03 09:15:00;50;47;0;58;7;42;5;13;1;0;0
2020-08-03 09:30:00;42;37;0;65;13;47;1;10;0;0;0
2020-08-03 09:45:00;50;63;0;61;16;65;2;10;0;0;0
2020-08-03 10:00:00;42;40;0;59;14;49;2;7;3;1;1
2020-08-03 10:15:00;33;29;0;60;15;51;5;10;0;0;3
2020-08-03 10:30:00;50;49;0;60;20;56;6;13;0;0;0
2020-08-03 10:45:00;49;47;0;72;19;65;2;7;0;0;0
2020-08-03 11:00:00;37;46;0;78;13;69;1;6;0;0;0
2020-08-03 11:15:00;48;39;0;66;13;54;8;16;5;0;0
2020-08-03 11:30:00;46;38;0;69;16;64;1;14;0;0;0
2020-08-03 11:45:00;35;41;0;67;5;57;4;12;0;0;0
2020-08-03 12:00:00;32;32;0;56;12;54;3;14;2;0;0
2020-08-03 12:15:00;46;32;0;60;6;38;4;15;0;0;0
2020-08-03 12:30:00;39;45;0;61;9;54;5;12;0;0;0
2020-08-03 12:45:00;26;42;0;73;12;50;2;13;1;0;0
2020-08-03 13:00:00;34;39;0;55;10;42;4;19;0;0;0
2020-08-03 13:15:00;40;37;0;64;10;52;11;18;0;0;1
2020-08-03 13:30:00;44;42;0;80;15;65;3;13;0;0;0
2020-08-03 13:45:00;56;48;0;56;5;42;5;12;0;0;0
2020-08-03 14:00:00;46;36;0;71;15;55;6;14;0;0;1
2020-08-03 14:15:00;46;44;0;79;13;68;9;17;0;0;0
2020-08-03 14:30:00;45;46;0;87;22;68;6;14;0;10;1
2020-08-03 14:45:00;37;44;0;74;9;68;7;17;4;0;1
2020-08-03 15:00:00;46;31;0;67;18;62;6;10;0;0;0
2020-08-03 15:15:00;39;47;0;77;9;60;7;15;13;0;0
2020-08-03 15:30:00;43;54;0;94;19;85;7;15;0;0;0
2020-08-03 15:45:00;35;66;0;77;8;57;5;12;0;0;0
2020-08-03 16:00:00;34;52;0;114;12;92;6;18;0;5;1
2020-08-03 16:15:00;41;44;0;139;17;117;10;20;0;0;0
2020-08-03 16:30:00;40;39;0;155;26;118;12;25;0;0;0
2020-08-03 16:45:00;36;45;0;109;17;80;9;28;0;0;0
2020-08-03 17:00:00;39;37;0;117;21;86;9;29;1;25;0
2020-08-03 17:15:00;35;35;0;103;16;81;7;24;3;0;0
2020-08-03 17:30:00;45;45;0;108;13;77;15;24;0;0;0
2020-08-03 17:45:00;46;46;0;85;13;70;4;19;0;0;0
2020-08-03 18:00:00;36;46;0;88;21;79;8;16;0;0;0
