DATUM;1(DA1);2(DA2);3(DB1);4(DD1);5(DD2);6(DE1);7(DC1);8(DC2);9(DF2);10(DF1)
2020-04-07 00:00:00;6;3;1;3;3;0;3;3;4;3
2020-04-07 00:15:00;1;2;0;4;4;1;4;3;2;1
2020-04-07 00:30:00;3;5;0;6;4;0;4;6;5;1
2020-04-07 00:45:00;6;0;0;4;3;1;3;4;1;5
2020-04-07 01:00:00;1;3;0;2;2;1;2;1;3;2
2020-04-07 01:15:00;2;3;1;5;0;0;0;4;4;1
2020-04-07 01:30:00;2;0;0;2;5;0;5;3;0;1
2020-04-07 01:45:00;2;4;0;4;2;0;2;3;4;1
2020-04-07 02:00:00;2;0;0;1;2;1;2;1;0;1
2020-04-07 02:15:00;0;2;0;1;1;0;1;1;1;0
2020-04-07 02:30:00;4;4;0;1;2;2;2;0;3;4
2020-04-07 02:45:00;0;4;2;1;2;0;2;1;4;0
2020-04-07 03:00:00;4;3;0;1;2;0;2;1;4;4
2020-04-07 03:15:00;2;1;1;0;1;0;1;0;2;1
2020-04-07 03:30:00;0;1;0;1;4;0;4;1;1;0
2020-04-07 03:45:00;2;2;0;1;1;0;1;2;2;2
2020-04-07 04:00:00;1;2;0;2;2;1;2;1;3;1
2020-04-07 04:15:00;5;2;2;2;3;0;2;2;2;4
2020-04-07 04:30:00;2;2;1;1;4;0;4;1;4;2
2020-04-07 04:45:00;4;3;1;2;7;1;7;3;4;4
2020-04-07 05:00:00;12;8;0;4;8;2;9;4;7;12
2020-04-07 05:15:00;15;12;1;12;18;3;18;10;12;15
2020-04-07 05:30:00;26;16;1;22;35;10;36;21;17;26
2020-04-07 05:45:00;27;18;0;34;50;10;52;38;13;26
2020-04-07 06:00:00;26;16;1;21;28;8;29;27;17;26
2020-04-07 06:15:00;34;16;2;44;52;12;53;47;19;26
2020-04-07 06:30:00;24;26;4;54;72;23;72;64;23;26
2020-04-07 06:45:00;46;35;4;72;65;11;60;71;41;38
2020-04-07 07:00:00;39;28;3;59;73;14;73;62;32;34
2020-04-07 07:15:00;38;24;9;58;66;33;72;57;25;30
2020-04-07 07:30:00;30;16;4;65;75;17;83;64;15;29
2020-04-07 07:45:00;40;48;8;64;74;17;76;59;38;30
2020-04-07 08:00:00;30;18;5;40;49;15;56;41;19;28
2020-04-07 08:15:00;42;20;5;34;57;9;60;35;20;35
