DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(DC3);10(DD1);11(DE1)
2020-06-28 00:00:00;12;11;4;2;1;4;23;9;1;1;0
2020-06-28 00:15:00;28;17;3;4;0;4;22;9;0;4;0
2020-06-28 00:30:00;19;17;5;2;1;3;21;13;0;2;0
2020-06-28 00:45:00;19;9;3;5;1;5;14;6;0;3;0
2020-06-28 01:00:00;16;7;1;3;1;5;14;5;0;2;0
2020-06-28 01:15:00;18;6;1;3;1;4;13;2;0;2;0
2020-06-28 01:30:00;11;5;4;1;0;1;18;10;0;5;0
2020-06-28 01:45:00;18;3;3;5;0;4;11;11;1;2;1
2020-06-28 02:00:00;13;6;2;1;0;1;12;5;0;2;0
2020-06-28 02:15:00;16;5;2;1;0;2;16;2;0;2;1
2020-06-28 02:30:00;12;4;1;6;1;6;12;0;0;2;0
2020-06-28 02:45:00;12;4;1;1;0;0;11;7;0;3;0
2020-06-28 03:00:00;3;5;2;1;1;1;7;2;0;1;0
2020-06-28 03:15:00;8;5;1;1;0;1;5;1;0;0;0
2020-06-28 03:30:00;7;4;2;1;1;2;10;3;0;1;0
2020-06-28 03:45:00;6;1;1;0;0;0;4;1;0;1;0
2020-06-28 04:00:00;4;4;2;1;1;1;2;2;0;2;0
2020-06-28 04:15:00;5;1;1;2;0;0;7;2;0;2;0
2020-06-28 04:30:00;5;4;0;0;0;0;2;2;0;0;0
2020-06-28 04:45:00;5;7;1;0;1;1;1;1;0;1;0
2020-06-28 05:00:00;4;2;0;2;1;4;8;1;0;1;0
2020-06-28 05:15:00;4;5;1;1;0;2;8;4;0;0;0
2020-06-28 05:30:00;4;3;1;1;0;1;10;7;0;1;0
2020-06-28 05:45:00;4;4;0;2;1;5;10;2;0;2;0
2020-06-28 06:00:00;9;5;2;1;0;1;13;1;0;0;0
2020-06-28 06:15:00;3;7;2;8;0;8;10;4;0;1;1
2020-06-28 06:30:00;10;10;3;1;1;1;6;3;0;0;0
2020-06-28 06:45:00;10;7;2;1;0;1;6;2;0;1;0
2020-06-28 07:00:00;11;10;4;3;0;3;11;4;0;2;0
2020-06-28 07:15:00;5;10;4;1;1;3;14;0;0;0;0
2020-06-28 07:30:00;8;12;4;1;0;2;10;6;0;1;0
2020-06-28 07:45:00;18;11;6;3;0;3;19;1;0;1;0
2020-06-28 08:00:00;11;16;3;1;0;1;17;5;0;1;0
2020-06-28 08:15:00;16;7;1;6;0;6;12;3;0;3;0
2020-06-28 08:30:00;31;10;4;7;1;7;23;7;0;1;0
2020-06-28 08:45:00;21;16;7;4;0;5;26;7;0;3;0
2020-06-28 09:00:00;20;12;10;11;0;10;19;9;0;4;0
2020-06-28 09:15:00;27;21;12;7;1;9;34;7;0;0;0
2020-06-28 09:30:00;37;24;10;7;1;7;34;14;0;2;0
2020-06-28 09:45:00;31;20;15;6;2;10;35;12;1;5;0
2020-06-28 10:00:00;40;28;11;8;2;8;44;15;0;6;0
2020-06-28 10:15:00;38;25;9;11;1;15;42;10;0;3;0
2020-06-28 10:30:00;35;27;13;9;1;11;56;27;0;3;0
2020-06-28 10:45:00;58;29;21;13;2;16;48;15;0;6;0
2020-06-28 11:00:00;52;31;12;11;3;13;44;15;0;4;0
2020-06-28 11:15:00;54;33;11;13;2;16;49;13;0;4;0
2020-06-28 11:30:00;67;28;10;10;1;9;46;18;0;5;0
2020-06-28 11:45:00;63;25;20;12;0;13;53;24;0;5;0
2020-06-28 12:00:00;63;29;15;9;1;13;59;26;1;2;0
2020-06-28 12:15:00;62;24;14;12;5;16;46;21;2;5;0
2020-06-28 12:30:00;48;36;16;17;5;23;47;17;0;6;0
2020-06-28 12:45:00;58;40;14;9;0;10;54;16;0;8;0
2020-06-28 13:00:00;60;31;17;14;0;15;46;21;2;6;0
2020-06-28 13:15:00;58;28;14;5;1;7;54;20;0;4;0
2020-06-28 13:30:00;58;30;13;13;1;17;70;34;2;6;0
2020-06-28 13:45:00;59;35;15;9;0;9;67;26;1;8;0
2020-06-28 14:00:00;69;29;18;14;2;19;70;35;0;4;0
2020-06-28 14:15:00;64;30;18;14;2;18;63;30;0;8;0
2020-06-28 14:30:00;68;32;17;11;3;14;59;27;1;8;0
2020-06-28 14:45:00;69;24;19;17;3;20;63;30;0;9;0
2020-06-28 15:00:00;72;29;17;8;5;14;57;31;0;9;0
2020-06-28 15:15:00;56;24;18;11;3;14;52;22;0;5;1
2020-06-28 15:30:00;69;27;11;18;1;19;58;35;0;20;0
2020-06-28 15:45:00;74;25;20;23;6;32;68;28;0;13;0
2020-06-28 16:00:00;59;26;13;15;2;17;57;25;0;6;0
2020-06-28 16:15:00;66;33;21;15;7;24;72;27;0;5;0
2020-06-28 16:30:00;74;33;18;19;4;22;78;38;1;9;0
2020-06-28 16:45:00;49;21;15;18;5;20;55;26;0;9;1
2020-06-28 17:00:00;82;29;17;19;6;29;71;33;0;12;1
2020-06-28 17:15:00;59;31;17;13;4;17;72;27;0;8;0
2020-06-28 17:30:00;59;27;14;17;4;22;66;36;0;5;0
2020-06-28 17:45:00;73;36;19;12;8;19;68;28;1;11;0
2020-06-28 18:00:00;74;27;19;22;3;26;76;40;0;7;0
2020-06-28 18:15:00;64;27;15;22;4;24;52;31;0;14;0
2020-06-28 18:30:00;49;23;15;24;6;29;68;28;0;7;0
2020-06-28 18:45:00;47;33;19;18;9;25;62;28;0;7;0
2020-06-28 19:00:00;58;15;7;21;6;27;64;17;1;8;0
2020-06-28 19:15:00;69;27;20;18;1;20;68;34;1;5;0
2020-06-28 19:30:00;63;22;14;21;5;28;56;22;0;9;1
2020-06-28 19:45:00;48;26;14;22;7;31;58;33;1;5;0
2020-06-28 20:00:00;50;28;12;16;4;23;54;32;1;13;0
2020-06-28 20:15:00;31;22;16;11;5;17;44;23;0;7;0
2020-06-28 20:30:00;53;19;11;13;1;14;56;35;0;6;0
2020-06-28 20:45:00;42;20;9;13;2;18;56;23;1;11;0
2020-06-28 21:00:00;56;16;9;13;3;18;57;26;0;5;1
2020-06-28 21:15:00;24;11;5;14;2;16;46;14;0;6;0
2020-06-28 21:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-28 21:45:00;30;19;9;11;2;16;41;19;1;2;0
2020-06-28 22:00:00;30;11;9;6;1;8;27;9;0;2;0
2020-06-28 22:15:00;26;9;4;10;2;11;32;8;1;3;1
2020-06-28 22:30:00;33;16;4;5;1;7;33;10;0;4;0
2020-06-28 22:45:00;22;13;3;7;1;8;23;7;0;3;0
2020-06-28 23:00:00;17;3;2;12;2;12;23;10;0;2;0
2020-06-28 23:15:00;13;8;4;5;1;3;20;7;0;1;0
2020-06-28 23:30:00;8;8;3;3;0;4;14;8;0;1;0
2020-06-28 23:45:00;15;7;6;2;0;2;10;2;1;4;0
