DATUM;1(DA1);2(DB1);3(DC1);4(DC2);5(DRES1);6(DRES2);7(TAFGA);8(TAFBA)
2020-12-24 00:00:00;3;0;1;1;0;0;0;0
2020-12-24 00:15:00;2;1;0;0;0;0;0;0
2020-12-24 00:30:00;2;3;0;2;0;0;0;0
2020-12-24 00:45:00;2;4;2;0;0;0;0;0
2020-12-24 01:00:00;3;6;1;0;0;0;0;0
2020-12-24 01:15:00;0;0;0;0;0;0;0;0
2020-12-24 01:30:00;2;3;1;1;0;0;0;0
2020-12-24 01:45:00;1;0;0;0;0;0;0;0
2020-12-24 02:00:00;1;2;1;0;0;0;0;0
2020-12-24 02:15:00;0;0;1;1;0;0;0;0
2020-12-24 02:30:00;0;2;1;1;0;0;0;0
2020-12-24 02:45:00;2;1;2;2;0;0;0;0
2020-12-24 03:00:00;2;1;2;1;0;0;0;0
2020-12-24 03:15:00;1;0;0;1;0;0;0;0
2020-12-24 03:30:00;0;0;0;1;0;0;0;0
2020-12-24 03:45:00;0;0;0;0;0;0;0;0
2020-12-24 04:00:00;3;0;0;0;0;0;0;0
2020-12-24 04:15:00;2;1;0;0;0;0;0;0
2020-12-24 04:30:00;1;1;0;0;0;0;0;0
2020-12-24 04:45:00;2;3;1;2;0;0;0;0
2020-12-24 05:00:00;1;1;0;0;0;0;0;0
2020-12-24 05:15:00;5;7;0;0;0;0;0;0
2020-12-24 05:30:00;3;3;1;0;0;0;0;0
2020-12-24 05:45:00;0;10;2;2;0;0;0;0
2020-12-24 06:00:00;5;6;2;2;0;0;0;0
2020-12-24 06:15:00;9;9;1;2;0;0;1;0
2020-12-24 06:30:00;10;5;1;1;0;0;0;0
2020-12-24 06:45:00;9;8;0;0;0;0;0;0
2020-12-24 07:00:00;11;11;0;0;0;0;0;0
2020-12-24 07:15:00;18;10;1;0;0;0;0;0
2020-12-24 07:30:00;9;12;2;0;0;0;0;0
2020-12-24 07:45:00;13;14;1;1;0;0;0;0
2020-12-24 08:00:00;23;13;1;0;0;0;0;0
2020-12-24 08:15:00;23;19;1;1;0;0;0;0
2020-12-24 08:30:00;33;20;0;0;0;0;0;0
2020-12-24 08:45:00;15;22;0;0;0;0;0;0
2020-12-24 09:00:00;30;31;3;1;0;0;0;0
2020-12-24 09:15:00;37;23;1;0;0;0;0;0
2020-12-24 09:30:00;52;31;1;1;0;0;0;0
2020-12-24 09:45:00;32;26;0;1;0;0;0;0
2020-12-24 10:00:00;57;46;1;1;0;0;0;0
2020-12-24 10:15:00;36;41;1;0;0;0;1;0
2020-12-24 10:30:00;56;34;2;4;0;0;0;0
2020-12-24 10:45:00;35;37;3;1;0;0;0;0
2020-12-24 11:00:00;58;40;1;2;0;0;0;0
2020-12-24 11:15:00;53;49;1;2;0;0;1;0
2020-12-24 11:30:00;36;27;1;0;0;0;0;0
2020-12-24 11:45:00;50;42;0;0;0;0;2;0
2020-12-24 12:00:00;64;39;1;1;0;0;0;0
2020-12-24 12:15:00;47;49;2;3;0;0;0;0
2020-12-24 12:30:00;47;36;3;0;0;0;0;0
2020-12-24 12:45:00;53;48;0;0;0;0;0;0
2020-12-24 13:00:00;44;38;3;1;0;0;0;0
2020-12-24 13:15:00;32;43;1;1;0;0;0;0
2020-12-24 13:30:00;55;48;2;3;0;0;0;0
2020-12-24 13:45:00;36;38;2;1;0;0;0;0
2020-12-24 14:00:00;43;42;3;1;0;0;0;0
2020-12-24 14:15:00;33;37;1;0;0;0;0;0
2020-12-24 14:30:00;41;39;0;2;0;0;0;0
2020-12-24 14:45:00;26;37;0;1;0;0;0;0
2020-12-24 15:00:00;37;24;3;3;0;0;0;0
2020-12-24 15:15:00;28;33;2;1;0;0;0;0
2020-12-24 15:30:00;44;39;2;1;0;0;0;0
2020-12-24 15:45:00;24;20;2;1;0;0;0;0
2020-12-24 16:00:00;36;20;4;2;0;0;0;0
2020-12-24 16:15:00;33;32;1;0;0;0;0;0
2020-12-24 16:30:00;28;22;1;0;0;0;0;0
2020-12-24 16:45:00;22;33;0;0;0;0;0;0
2020-12-24 17:00:00;24;18;1;1;0;0;0;0
2020-12-24 17:15:00;16;20;3;1;0;0;0;0
2020-12-24 17:30:00;16;15;0;0;0;0;0;0
2020-12-24 17:45:00;6;19;0;0;0;0;0;0
2020-12-24 18:00:00;22;14;3;3;0;0;0;0
2020-12-24 18:15:00;7;14;4;2;0;0;0;0
