DATUM;1(DA1);2(DA2);3(DB1);4(DD1);5(DD2);6(DE1);7(DC1);8(DC2);9(DF2);10(DF1)
2020-01-24 00:00:00;6;3;0;4;6;1;6;3;4;5
2020-01-24 00:15:00;8;8;2;5;6;0;6;3;10;6
2020-01-24 00:30:00;7;4;0;6;7;1;7;3;4;6
2020-01-24 00:45:00;8;2;0;3;7;0;7;3;3;6
2020-01-24 01:00:00;6;6;0;6;4;1;4;5;7;4
2020-01-24 01:15:00;4;3;0;5;5;1;5;4;4;4
2020-01-24 01:30:00;5;5;0;4;2;1;2;3;6;4
2020-01-24 01:45:00;1;1;0;3;3;2;3;3;1;1
2020-01-24 02:00:00;1;3;0;2;4;0;4;1;3;0
2020-01-24 02:15:00;4;2;1;1;4;1;4;0;1;2
2020-01-24 02:30:00;2;1;0;0;2;0;2;0;1;2
2020-01-24 02:45:00;2;3;2;2;4;0;4;1;2;1
2020-01-24 03:00:00;2;4;0;2;2;1;3;1;4;1
2020-01-24 03:15:00;3;4;1;1;4;1;3;2;3;1
2020-01-24 03:30:00;2;0;0;3;1;1;0;1;0;2
2020-01-24 03:45:00;6;1;0;4;3;0;3;2;3;3
2020-01-24 04:00:00;1;0;1;2;2;0;1;2;0;1
2020-01-24 04:15:00;8;7;1;9;10;1;9;7;8;7
2020-01-24 04:30:00;9;8;0;4;4;3;4;2;9;9
2020-01-24 04:45:00;6;1;0;11;13;3;14;10;1;4
2020-01-24 05:00:00;22;12;1;14;21;6;26;16;11;21
2020-01-24 05:15:00;20;13;2;42;59;6;58;41;15;19
2020-01-24 05:30:00;34;15;5;48;60;14;67;48;19;32
2020-01-24 05:45:00;50;38;5;62;74;15;76;62;40;36
2020-01-24 06:00:00;60;51;1;66;61;9;68;61;50;53
2020-01-24 06:15:00;57;41;8;83;96;17;98;82;50;50
2020-01-24 06:30:00;53;38;4;131;128;22;135;133;38;48
2020-01-24 06:45:00;36;44;2;137;114;20;117;128;43;35
2020-01-24 07:00:00;50;36;7;161;135;30;140;153;39;42
2020-01-24 07:15:00;50;39;10;197;153;30;158;196;38;45
2020-01-24 07:30:00;62;61;16;149;146;36;157;147;64;53
2020-01-24 07:45:00;80;71;18;102;129;48;147;109;72;71
2020-01-24 08:00:00;76;64;16;108;117;18;123;99;60;65
2020-01-24 08:15:00;67;44;12;103;88;20;101;99;47;60
2020-01-24 08:30:00;67;53;15;96;96;21;100;91;55;59
2020-01-24 08:45:00;68;48;14;79;74;20;79;79;51;50
2020-01-24 09:00:00;59;40;17;74;83;27;89;71;45;48
2020-01-24 09:15:00;64;49;10;80;70;23;79;74;50;56
2020-01-24 09:30:00;52;47;11;63;78;17;77;53;37;48
2020-01-24 09:45:00;64;58;13;68;78;20;92;63;51;50
2020-01-24 10:00:00;57;47;6;62;72;20;82;51;49;52
2020-01-24 10:15:00;55;58;27;60;79;13;83;53;61;50
2020-01-24 10:30:00;80;47;16;59;64;19;69;50;57;65
2020-01-24 10:45:00;71;67;14;59;68;23;80;54;71;66
2020-01-24 11:00:00;69;65;19;62;73;18;76;55;60;69
2020-01-24 11:15:00;73;70;17;59;87;20;101;56;74;65
2020-01-24 11:30:00;88;73;18;63;77;27;84;60;77;75
2020-01-24 11:45:00;80;75;19;77;88;17;96;74;79;67
2020-01-24 12:00:00;94;111;30;90;117;23;124;72;110;92
2020-01-24 12:15:00;106;93;22;85;111;36;126;87;90;99
2020-01-24 12:30:00;101;99;58;67;76;54;84;59;106;95
2020-01-24 12:45:00;106;103;20;73;82;22;87;60;110;96
2020-01-24 13:00:00;105;94;14;68;88;26;100;66;92;98
2020-01-24 13:15:00;149;142;17;82;117;24;127;76;156;134
2020-01-24 13:30:00;132;115;16;93;124;22;133;89;119;122
2020-01-24 13:45:00;109;96;18;76;92;26;108;74;96;91
2020-01-24 14:00:00;130;110;14;67;84;19;89;63;116;115
2020-01-24 14:15:00;113;112;22;80;84;25;88;60;112;95
2020-01-24 14:30:00;105;114;25;74;91;26;94;65;121;97
2020-01-24 14:45:00;121;113;24;68;87;22;88;69;125;105
2020-01-24 15:00:00;113;110;27;84;94;34;104;72;120;99
2020-01-24 15:15:00;117;116;24;80;110;24;116;60;116;101
2020-01-24 15:30:00;107;109;35;68;104;32;112;71;123;101
2020-01-24 15:45:00;103;95;23;74;101;29;114;65;109;99
2020-01-24 16:00:00;112;96;20;72;89;26;101;61;108;107
2020-01-24 16:15:00;95;92;21;88;105;25;105;76;90;79
2020-01-24 16:30:00;92;75;24;74;92;25;101;61;94;89
2020-01-24 16:45:00;91;96;31;87;93;26;100;65;100;74
2020-01-24 17:00:00;109;85;21;84;84;21;94;65;95;100
2020-01-24 17:15:00;101;81;21;87;100;22;101;73;86;91
2020-01-24 17:30:00;111;101;29;90;101;23;110;80;102;101
2020-01-24 17:45:00;74;70;13;83;92;24;96;91;68;69
2020-01-24 18:00:00;83;65;25;88;83;17;92;70;75;69
2020-01-24 18:15:00;79;67;21;74;92;14;96;64;67;65
2020-01-24 18:30:00;67;59;10;67;76;19;80;56;59;59
2020-01-24 18:45:00;66;45;16;74;76;18;82;63;47;50
2020-01-24 19:00:00;54;44;17;50;59;14;65;44;55;43
2020-01-24 19:15:00;52;44;9;54;57;13;59;49;41;48
2020-01-24 19:30:00;53;40;12;50;43;13;49;46;45;49
2020-01-24 19:45:00;45;34;13;48;52;12;58;42;38;34
2020-01-24 20:00:00;39;49;11;46;44;10;46;40;47;36
2020-01-24 20:15:00;49;43;6;46;40;15;42;35;52;40
2020-01-24 20:30:00;40;39;10;38;46;7;46;33;42;37
2020-01-24 20:45:00;31;22;1;25;40;7;43;26;23;25
2020-01-24 21:00:00;45;32;6;41;60;7;61;45;35;34
2020-01-24 21:15:00;37;25;2;42;62;3;59;35;27;36
2020-01-24 21:30:00;33;26;1;22;33;14;41;23;22;34
2020-01-24 21:45:00;38;25;1;26;30;4;28;26;27;29
2020-01-24 22:00:00;54;40;7;25;40;7;40;22;42;42
2020-01-24 22:15:00;43;38;1;30;34;8;33;25;37;37
2020-01-24 22:30:00;43;36;6;32;33;5;36;30;36;38
2020-01-24 22:45:00;26;9;1;14;22;5;23;11;11;20
2020-01-24 23:00:00;39;19;0;25;30;2;29;30;21;33
2020-01-24 23:15:00;20;19;1;11;16;6;18;7;19;19
2020-01-24 23:30:00;24;15;3;6;23;3;22;6;13;21
2020-01-24 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
