DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DD1);6(TAFBA);7(TAFBC);8(TAFBD)
2020-03-13 00:00:00;1;0;0;0;0;0;0;0
2020-03-13 00:15:00;1;1;1;1;0;0;0;0
2020-03-13 00:30:00;2;2;2;1;0;0;0;0
2020-03-13 00:45:00;1;2;1;0;0;0;0;0
2020-03-13 01:00:00;1;1;1;1;0;0;0;0
2020-03-13 01:15:00;1;0;0;0;0;0;0;0
2020-03-13 01:30:00;0;0;0;0;0;0;0;0
2020-03-13 01:45:00;0;0;0;0;0;0;0;0
2020-03-13 02:00:00;1;0;0;0;0;0;0;0
2020-03-13 02:15:00;0;0;0;0;0;0;0;0
2020-03-13 02:30:00;0;0;0;0;0;0;0;0
2020-03-13 02:45:00;0;0;0;0;0;0;0;0
2020-03-13 03:00:00;0;0;0;0;0;0;0;0
2020-03-13 03:15:00;0;0;0;0;0;0;0;0
2020-03-13 03:30:00;1;0;0;0;0;0;0;0
2020-03-13 03:45:00;0;1;1;1;0;0;0;0
2020-03-13 04:00:00;0;0;0;0;1;0;0;0
2020-03-13 04:15:00;0;0;0;0;0;0;0;0
2020-03-13 04:30:00;3;2;2;1;0;0;0;0
2020-03-13 04:45:00;6;2;1;0;0;0;0;0
2020-03-13 05:00:00;10;12;15;5;1;0;0;0
2020-03-13 05:15:00;14;29;29;10;1;0;0;0
2020-03-13 05:30:00;25;24;21;11;5;0;0;0
2020-03-13 05:45:00;28;43;46;6;11;0;0;0
2020-03-13 06:00:00;10;49;40;3;7;0;0;0
2020-03-13 06:15:00;9;57;61;6;5;0;0;0
2020-03-13 06:30:00;30;104;106;9;11;0;0;0
2020-03-13 06:45:00;35;96;94;5;8;0;0;0
2020-03-13 07:00:00;17;73;69;13;2;0;0;0
2020-03-13 07:15:00;22;68;65;14;4;0;0;0
2020-03-13 07:30:00;34;67;70;17;10;0;0;0
2020-03-13 07:45:00;20;91;83;13;14;0;0;0
2020-03-13 08:00:00;22;70;71;14;9;0;0;0
2020-03-13 08:15:00;23;70;62;13;13;0;0;0
2020-03-13 08:30:00;26;61;59;6;13;0;0;0
2020-03-13 08:45:00;17;31;26;9;8;0;0;0
2020-03-13 09:00:00;19;23;23;8;11;0;0;0
2020-03-13 09:15:00;13;25;22;7;6;0;0;0
2020-03-13 09:30:00;16;19;17;8;7;0;1;0
2020-03-13 09:45:00;15;17;20;6;9;0;0;0
2020-03-13 10:00:00;27;15;14;15;12;0;0;0
2020-03-13 10:15:00;17;13;13;6;4;0;0;0
2020-03-13 10:30:00;22;15;9;8;11;0;0;0
2020-03-13 10:45:00;24;15;15;3;10;1;0;0
2020-03-13 11:00:00;18;14;14;7;16;0;0;0
2020-03-13 11:15:00;27;31;31;7;7;0;0;0
2020-03-13 11:30:00;35;14;15;10;14;0;0;0
2020-03-13 11:45:00;26;34;34;13;18;0;1;1
2020-03-13 12:00:00;30;23;23;2;8;0;1;0
2020-03-13 12:15:00;18;285;34;5;7;0;0;0
2020-03-13 12:30:00;2;46;19;5;9;0;4;0
2020-03-13 12:45:00;4;30;15;3;18;2;0;0
2020-03-13 13:00:00;5;38;22;3;5;1;2;0
2020-03-13 13:15:00;0;33;23;12;6;0;0;0
2020-03-13 13:30:00;10;57;30;11;24;0;0;0
2020-03-13 13:45:00;9;68;48;8;17;0;0;0
2020-03-13 14:00:00;5;50;29;6;15;0;0;0
2020-03-13 14:15:00;5;77;25;4;32;0;0;0
2020-03-13 14:30:00;5;51;15;4;32;0;0;0
2020-03-13 14:45:00;5;29;24;5;11;0;0;0
2020-03-13 15:00:00;7;90;43;8;24;0;0;0
2020-03-13 15:15:00;9;160;31;6;17;0;4;1
2020-03-13 15:30:00;6;65;16;6;17;0;0;0
2020-03-13 15:45:00;1;59;14;7;9;0;0;0
2020-03-13 16:00:00;4;53;14;1;16;0;1;0
2020-03-13 16:15:00;2;44;10;3;11;0;0;0
2020-03-13 16:30:00;4;54;15;2;14;0;0;0
2020-03-13 16:45:00;1;36;12;2;10;0;0;0
2020-03-13 17:00:00;1;34;7;7;8;0;0;0
2020-03-13 17:15:00;1;32;12;3;11;0;0;0
2020-03-13 17:30:00;0;20;9;5;3;0;0;0
2020-03-13 17:45:00;2;16;6;4;7;0;0;0
2020-03-13 18:00:00;1;19;13;6;8;0;0;0
2020-03-13 18:15:00;0;19;3;0;4;0;0;0
2020-03-13 18:30:00;2;21;6;3;19;0;0;0
2020-03-13 18:45:00;3;19;12;1;3;0;0;0
2020-03-13 19:00:00;1;11;4;1;2;0;0;0
2020-03-13 19:15:00;0;7;6;0;1;0;0;0
2020-03-13 19:30:00;0;7;4;1;2;0;0;0
2020-03-13 19:45:00;0;11;7;2;2;0;0;0
2020-03-13 20:00:00;0;6;5;0;1;0;0;0
2020-03-13 20:15:00;0;10;6;1;0;0;0;0
2020-03-13 20:30:00;0;15;7;1;1;0;0;0
2020-03-13 20:45:00;0;6;4;0;0;0;0;0
2020-03-13 21:00:00;0;7;13;5;2;0;0;0
2020-03-13 21:15:00;2;30;9;4;1;0;0;0
2020-03-13 21:30:00;0;16;9;3;1;0;0;0
2020-03-13 21:45:00;1;25;7;1;8;0;0;0
2020-03-13 22:00:00;0;18;21;4;9;0;0;0
2020-03-13 22:15:00;0;13;7;1;1;0;0;0
2020-03-13 22:30:00;0;0;3;0;0;0;0;0
2020-03-13 22:45:00;1;8;1;0;5;0;0;0
2020-03-13 23:00:00;0;4;1;0;0;0;0;0
2020-03-13 23:15:00;0;1;1;0;0;0;0;0
2020-03-13 23:30:00;0;3;0;0;1;0;0;0
2020-03-13 23:45:00;0;1;1;2;0;0;0;0
