DATUM;1(DA1);2(DA2);3(DA3);4(DAL1);5(DB1);6(DB2);7(DB3);8(DBL1);9(DBL2);10(DC1);11(DCL1);12(DCL2);13(DD1);14(DD2);15(DD3);16(DDL1);17(DEG21);18(DEG22);19(DEG23);20(DEG24);21(DEG25);22(DEG26);23(DEG27);24(DEG28)
2020-09-08 00:00:00;1;3;2;2;1;6;5;1;2;0;2;1;4;9;9;2;0;0;21;0;0;0;0;0
2020-09-08 00:15:00;4;6;9;4;1;12;7;2;4;4;6;1;6;9;2;0;0;0;30;0;0;0;0;0
2020-09-08 00:30:00;2;0;2;0;0;4;4;2;5;2;4;3;4;7;7;1;0;0;30;0;0;0;0;0
2020-09-08 00:45:00;1;1;0;1;1;5;4;0;1;0;1;2;5;10;5;0;0;0;30;0;0;0;0;0
2020-09-08 01:00:00;0;0;1;3;1;3;2;4;2;1;4;1;0;2;3;1;0;0;34;0;0;0;0;0
2020-09-08 01:15:00;0;0;1;0;0;5;4;0;1;0;3;1;5;7;3;0;0;0;36;0;0;0;0;0
2020-09-08 01:30:00;0;0;1;1;0;4;6;4;2;3;6;3;5;15;8;0;0;0;39;0;0;0;0;0
2020-09-08 01:45:00;0;0;1;1;0;2;0;1;2;0;2;1;6;11;5;0;0;0;39;0;0;0;0;0
2020-09-08 02:00:00;0;0;0;0;0;1;4;1;5;3;3;2;2;7;6;0;0;0;39;0;0;0;0;0
2020-09-08 02:15:00;0;1;1;0;0;1;3;0;2;1;1;0;5;10;7;0;0;0;39;0;0;0;0;0
2020-09-08 02:30:00;0;0;0;1;1;5;1;3;1;0;2;0;2;5;4;0;0;0;39;0;0;0;0;0
2020-09-08 02:45:00;0;1;1;0;2;6;4;1;0;0;5;1;3;13;9;0;0;0;39;0;0;0;0;0
2020-09-08 03:00:00;0;0;2;0;1;5;1;5;4;1;3;0;2;7;7;0;0;0;36;0;0;0;0;0
2020-09-08 03:15:00;1;1;0;0;0;3;1;0;1;0;3;1;2;8;7;0;0;0;39;0;0;0;0;0
2020-09-08 03:30:00;0;0;1;2;0;3;2;2;4;0;3;0;4;10;8;0;0;0;39;0;0;0;0;0
2020-09-08 03:45:00;1;1;1;0;1;3;2;2;3;1;4;2;3;10;6;0;0;0;39;0;0;0;0;0
2020-09-08 04:00:00;0;1;1;2;1;7;0;1;1;1;2;1;6;12;5;0;0;0;39;0;0;0;0;0
2020-09-08 04:15:00;1;1;0;1;1;3;3;2;4;0;8;3;11;25;14;0;0;0;39;0;0;0;0;0
2020-09-08 04:30:00;0;0;1;1;1;4;5;3;2;1;7;2;15;31;16;0;0;0;39;0;0;0;0;0
2020-09-08 04:45:00;1;0;1;0;0;9;7;3;6;1;16;7;7;24;17;0;0;0;36;0;0;0;0;0
2020-09-08 05:00:00;2;2;0;0;2;18;15;4;8;4;34;29;31;52;36;0;0;0;28;0;0;0;0;0
2020-09-08 05:15:00;0;4;2;2;0;30;22;3;7;3;51;50;32;66;47;2;0;0;30;0;0;0;0;0
2020-09-08 05:30:00;2;3;8;7;1;29;24;17;16;13;49;52;35;69;51;2;0;0;30;0;0;0;0;0
2020-09-08 05:45:00;1;3;10;8;4;28;29;20;13;17;39;30;46;69;65;2;0;0;30;0;0;0;0;0
2020-09-08 06:00:00;3;8;21;11;10;27;26;20;17;17;38;28;86;114;68;10;0;0;30;0;0;0;0;0
2020-09-08 06:15:00;5;11;16;13;13;39;38;20;25;27;45;43;70;96;93;13;0;0;30;0;0;0;0;0
2020-09-08 06:30:00;10;11;15;8;11;54;52;25;29;36;68;78;57;83;88;9;0;0;30;0;0;0;0;0
2020-09-08 06:45:00;10;12;18;19;23;56;58;36;28;29;71;73;54;76;95;23;0;0;30;0;0;0;0;0
2020-09-08 07:00:00;2;14;22;14;43;78;64;32;28;50;73;71;67;81;75;22;0;0;30;0;0;0;0;0
2020-09-08 07:15:00;25;17;31;29;72;78;76;40;53;88;81;83;74;97;79;42;0;0;30;0;0;0;0;0
2020-09-08 07:30:00;25;35;41;41;53;64;70;53;53;90;79;78;60;70;83;51;0;0;30;0;0;0;0;0
2020-09-08 07:45:00;34;28;43;46;62;65;79;71;58;73;82;83;95;92;96;48;0;0;30;0;0;0;0;0
2020-09-08 08:00:00;16;20;36;28;46;74;79;41;35;57;66;70;73;81;86;29;0;0;30;0;0;0;0;0
2020-09-08 08:15:00;20;21;27;20;29;65;57;32;33;49;60;54;63;88;87;23;0;0;30;0;0;0;0;0
2020-09-08 08:30:00;20;16;32;31;18;63;67;47;40;42;58;44;69;87;88;15;0;0;30;0;0;0;0;0
2020-09-08 08:45:00;11;11;23;22;26;69;74;35;32;41;49;42;71;113;91;18;0;0;30;0;0;0;0;0
2020-09-08 09:00:00;11;11;26;15;23;46;45;27;28;45;55;54;73;79;78;15;0;0;30;0;0;0;0;0
2020-09-08 09:15:00;20;24;25;25;16;57;49;28;32;36;49;46;62;76;76;19;0;0;30;0;0;0;0;0
2020-09-08 09:30:00;11;19;29;17;12;47;43;35;40;46;64;53;75;68;80;23;0;0;30;0;0;0;0;0
2020-09-08 09:45:00;15;10;14;16;18;66;61;49;37;43;53;52;87;94;78;13;0;0;30;0;0;0;0;0
2020-09-08 10:00:00;18;14;36;16;22;54;51;38;37;33;53;45;70;83;72;17;0;0;30;0;0;0;0;0
2020-09-08 10:15:00;19;14;22;16;17;55;59;51;42;33;69;51;83;82;79;14;0;0;30;0;0;0;0;0
2020-09-08 10:30:00;23;22;28;17;20;52;54;37;38;39;60;43;95;92;80;10;0;1;30;0;0;0;0;0
2020-09-08 10:45:00;17;21;35;20;23;72;61;54;46;41;63;48;95;106;87;15;0;0;30;0;0;0;0;0
2020-09-08 11:00:00;14;19;28;21;19;74;66;47;48;30;66;61;88;94;90;17;0;0;30;0;0;0;0;0
2020-09-08 11:15:00;16;19;32;19;26;49;55;45;42;30;41;47;92;85;76;8;0;0;27;0;0;0;0;0
2020-09-08 11:30:00;19;18;24;28;13;72;72;51;36;34;56;57;101;83;96;24;0;0;26;1;0;0;0;0
2020-09-08 11:45:00;22;24;44;22;24;71;79;48;42;34;58;48;89;110;89;18;0;0;30;0;0;0;0;0
2020-09-08 12:00:00;27;20;27;24;21;70;77;48;39;33;58;55;81;74;76;17;0;0;29;0;0;0;0;0
2020-09-08 12:15:00;22;29;31;21;28;64;62;41;45;31;42;36;112;102;91;18;0;0;30;1;0;0;0;0
2020-09-08 12:30:00;22;15;26;20;29;68;69;40;42;39;49;49;100;78;82;17;0;0;30;0;0;0;0;0
2020-09-08 12:45:00;19;24;33;21;42;67;76;53;46;40;55;52;78;91;92;20;0;0;30;0;0;0;0;0
2020-09-08 13:00:00;48;25;45;53;23;70;71;43;43;43;73;61;105;115;87;22;0;0;30;0;0;0;0;0
2020-09-08 13:15:00;33;33;47;38;21;89;80;34;29;32;64;75;113;114;86;12;0;0;31;0;0;0;0;0
2020-09-08 13:30:00;19;20;43;20;14;71;69;50;45;38;58;52;99;86;81;15;0;0;29;0;0;0;0;0
2020-09-08 13:45:00;26;22;26;28;22;72;78;42;40;35;76;75;106;103;95;21;0;1;30;0;0;0;0;0
2020-09-08 14:00:00;22;22;39;30;31;58;77;49;42;32;51;41;100;108;102;24;0;0;30;0;0;0;0;0
2020-09-08 14:15:00;42;28;40;52;32;76;81;45;44;44;58;55;117;83;82;17;0;0;30;0;0;0;0;0
2020-09-08 14:30:00;28;43;44;43;21;66;77;57;53;40;63;64;122;90;79;20;0;0;30;0;0;0;0;0
2020-09-08 14:45:00;29;37;46;33;18;73;101;69;61;37;60;60;123;96;74;16;0;1;30;0;0;0;0;0
2020-09-08 15:00:00;15;30;38;30;21;76;103;61;49;42;53;50;111;112;79;17;0;0;30;0;0;0;0;0
2020-09-08 15:15:00;24;22;29;29;32;77;109;67;58;31;60;57;100;100;83;19;0;0;30;0;0;0;0;0
2020-09-08 15:30:00;34;35;47;27;32;76;91;58;43;31;57;43;101;101;96;24;0;0;30;0;0;0;0;0
2020-09-08 15:45:00;47;24;48;37;21;88;90;54;47;40;55;44;111;118;88;16;0;0;30;0;0;0;0;0
2020-09-08 16:00:00;38;33;62;48;24;94;99;43;51;28;63;57;118;104;96;15;0;0;30;0;0;0;0;0
2020-09-08 16:15:00;38;36;45;45;25;93;107;56;54;34;59;54;120;106;109;13;0;0;30;0;0;0;0;0
2020-09-08 16:30:00;35;46;50;46;24;96;115;61;58;37;56;43;113;94;97;18;0;0;30;0;0;0;0;0
2020-09-08 16:45:00;29;31;54;47;35;90;98;83;71;42;66;65;109;82;78;12;0;0;30;0;0;0;0;0
2020-09-08 17:00:00;41;34;46;35;31;99;105;70;62;44;58;58;124;105;102;19;0;0;30;0;0;0;0;0
2020-09-08 17:15:00;25;20;37;38;30;96;110;81;68;31;68;70;113;110;88;10;0;0;30;0;0;0;0;0
2020-09-08 17:30:00;27;36;62;46;35;97;102;62;63;27;66;59;122;79;72;14;0;0;30;0;0;0;0;0
2020-09-08 17:45:00;30;29;34;41;30;100;97;62;55;43;74;66;106;93;86;12;0;1;30;0;0;0;0;0
2020-09-08 18:00:00;29;23;38;35;27;97;94;45;50;31;66;55;115;86;90;19;0;0;30;0;0;0;0;0
2020-09-08 18:15:00;25;25;34;33;26;96;99;49;37;25;56;51;86;103;98;15;0;0;30;0;0;0;0;0
2020-09-08 18:30:00;20;19;34;31;21;86;88;37;38;26;67;52;96;87;75;13;0;0;30;0;0;0;0;0
2020-09-08 18:45:00;11;16;32;19;18;79;86;45;37;29;51;46;89;91;89;9;0;0;30;0;0;0;0;0
2020-09-08 19:00:00;20;18;27;17;14;63;62;37;37;27;52;37;89;102;93;12;0;0;30;0;0;0;0;0
2020-09-08 19:15:00;12;23;27;13;19;55;66;28;33;21;44;39;83;121;66;6;0;0;30;0;0;0;0;0
2020-09-08 19:30:00;13;16;25;28;7;51;53;31;31;17;52;33;63;70;70;7;0;1;30;0;0;0;0;0
2020-09-08 19:45:00;17;15;19;20;9;59;63;23;29;20;53;37;71;94;80;7;0;0;30;0;0;0;0;0
2020-09-08 20:00:00;8;18;21;18;14;42;65;25;28;20;47;35;62;88;74;8;0;0;30;0;0;0;0;0
2020-09-08 20:15:00;8;9;19;7;15;48;53;29;28;18;34;24;99;105;63;2;0;0;30;0;0;0;0;0
2020-09-08 20:30:00;13;19;25;17;12;38;52;17;28;17;35;24;52;78;49;9;0;0;30;0;0;0;0;0
2020-09-08 20:45:00;11;12;18;15;8;37;44;11;21;11;35;28;65;84;52;3;0;0;30;0;0;0;0;0
2020-09-08 21:00:00;13;13;25;12;8;33;38;22;27;10;41;34;50;81;75;4;0;0;30;0;0;0;0;0
2020-09-08 21:15:00;12;9;10;20;3;41;37;16;16;11;41;28;39;77;65;4;0;0;30;0;0;0;0;0
2020-09-08 21:30:00;7;5;13;22;7;19;36;18;15;8;31;20;41;61;43;5;0;0;30;0;0;0;0;0
2020-09-08 21:45:00;3;7;13;11;5;22;54;20;22;8;17;6;67;84;47;4;0;0;30;0;0;0;0;0
2020-09-08 22:00:00;8;4;12;2;4;27;35;23;25;14;18;11;74;88;56;2;0;0;30;0;0;0;0;0
2020-09-08 22:15:00;9;10;14;10;4;27;22;14;18;7;18;7;94;106;54;4;0;1;30;0;0;0;0;0
2020-09-08 22:30:00;7;9;7;7;2;21;25;10;11;7;16;11;35;56;29;4;0;0;30;0;0;0;0;0
2020-09-08 22:45:00;2;5;5;3;1;18;12;5;8;6;11;5;31;51;37;3;0;0;30;0;0;0;0;0
2020-09-08 23:00:00;2;6;5;2;1;19;10;10;10;4;10;7;30;43;19;0;0;0;30;0;0;0;0;0
2020-09-08 23:15:00;2;2;3;2;1;10;8;7;8;4;9;4;13;26;12;0;0;0;30;0;0;0;0;0
2020-09-08 23:30:00;3;4;6;2;2;17;9;3;3;2;8;1;9;17;12;0;0;0;30;0;0;0;0;0
