DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DC1);6(DD1);7(DD2);8(DD3);9(TAFGA);10(TAFGC);11(TAFBA);12(TAFBB);13(TAFBC);14(TAFBD)
2021-01-03 00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-03 00:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-03 00:30:00;2;2;3;2;1;1;0;1;0;0;0;0;0;0
2021-01-03 00:45:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-03 01:00:00;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2021-01-03 01:15:00;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2021-01-03 01:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-03 01:45:00;1;0;0;0;0;2;1;1;0;0;0;0;0;0
2021-01-03 02:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-03 02:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-03 02:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-03 02:45:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-03 03:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-03 03:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-03 03:30:00;1;0;0;0;1;2;1;1;0;0;0;0;0;0
2021-01-03 03:45:00;2;0;0;0;1;0;0;0;0;0;0;0;0;0
2021-01-03 04:00:00;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2021-01-03 04:15:00;1;0;0;0;1;1;1;4;0;0;0;0;0;0
2021-01-03 04:30:00;1;1;1;1;0;2;2;2;0;0;0;0;0;0
2021-01-03 04:45:00;2;1;0;0;4;1;1;1;0;0;0;0;0;0
2021-01-03 05:00:00;2;1;2;1;0;0;0;0;0;0;0;0;0;0
2021-01-03 05:15:00;0;0;0;0;2;4;2;2;0;0;0;0;0;0
2021-01-03 05:30:00;3;2;3;1;2;6;2;2;0;0;0;0;0;0
2021-01-03 05:45:00;2;2;2;2;5;3;2;2;0;0;0;0;0;0
2021-01-03 06:00:00;3;1;1;1;5;3;1;3;0;0;0;0;0;0
2021-01-03 06:15:00;8;2;2;1;1;2;1;2;0;0;0;0;0;0
2021-01-03 06:30:00;2;2;3;2;2;4;4;4;0;0;0;0;0;0
2021-01-03 06:45:00;3;1;0;0;2;1;1;1;0;0;0;0;0;0
2021-01-03 07:00:00;4;2;2;2;7;3;2;3;0;0;0;0;0;0
2021-01-03 07:15:00;6;1;2;1;7;6;4;4;0;0;0;0;0;0
2021-01-03 07:30:00;8;2;2;2;6;3;3;3;0;0;0;0;0;0
2021-01-03 07:45:00;3;0;0;0;2;6;3;4;0;0;0;0;0;0
2021-01-03 08:00:00;8;3;3;1;5;8;4;4;0;0;0;0;0;0
2021-01-03 08:15:00;10;3;2;2;6;6;4;4;0;0;0;0;0;0
2021-01-03 08:30:00;8;3;2;1;8;5;4;4;0;0;0;0;0;0
2021-01-03 08:45:00;11;5;4;3;12;6;4;6;0;0;0;0;0;0
2021-01-03 09:00:00;16;4;4;2;15;6;5;8;0;0;0;0;0;0
2021-01-03 09:15:00;17;2;2;2;18;12;14;11;0;0;0;0;0;0
2021-01-03 09:30:00;7;5;5;4;16;7;4;9;0;0;0;0;0;0
2021-01-03 09:45:00;18;5;3;3;20;15;11;14;0;0;0;0;0;0
2021-01-03 10:00:00;15;4;4;1;16;13;11;7;0;0;0;0;0;0
