DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(TAFGB);10(TAFBB)
2020-02-11 00:00:00;3;3;1;0;5;1;0;2;0;0
2020-02-11 00:15:00;1;3;4;1;3;1;1;1;0;0
2020-02-11 00:30:00;2;2;1;0;0;0;1;1;0;0
2020-02-11 00:45:00;6;6;0;1;1;0;0;2;0;0
2020-02-11 01:00:00;2;3;3;0;0;0;0;1;0;0
2020-02-11 01:15:00;2;2;5;2;0;0;0;0;0;0
2020-02-11 01:30:00;0;0;1;0;0;0;0;0;0;0
2020-02-11 01:45:00;1;5;0;2;2;0;0;2;0;0
2020-02-11 02:00:00;2;4;1;1;0;0;0;1;0;0
2020-02-11 02:15:00;4;2;1;0;0;0;0;1;0;0
2020-02-11 02:30:00;4;5;0;1;0;0;1;0;0;0
2020-02-11 02:45:00;3;3;1;1;0;0;2;1;0;0
2020-02-11 03:00:00;1;2;2;2;0;0;0;1;0;0
2020-02-11 03:15:00;3;3;2;1;0;0;0;1;0;0
2020-02-11 03:30:00;4;3;1;0;0;0;1;0;0;0
2020-02-11 03:45:00;4;4;2;2;0;0;1;0;0;0
2020-02-11 04:00:00;3;5;6;0;0;0;0;2;0;0
2020-02-11 04:15:00;9;5;3;2;0;0;1;0;0;0
2020-02-11 04:30:00;13;7;2;0;1;0;0;2;0;0
2020-02-11 04:45:00;29;14;25;3;0;0;2;4;0;0
2020-02-11 05:00:00;68;10;55;4;2;0;2;5;0;0
2020-02-11 05:15:00;117;14;159;8;2;1;3;3;0;0
2020-02-11 05:30:00;176;26;136;17;6;5;16;24;0;0
2020-02-11 05:45:00;109;28;91;16;26;0;103;66;0;0
2020-02-11 06:00:00;79;44;100;10;77;2;109;104;2;6
2020-02-11 06:15:00;67;38;99;11;19;0;41;28;0;0
2020-02-11 06:30:00;79;38;133;3;8;2;13;13;0;0
2020-02-11 06:45:00;95;33;130;9;2;5;9;6;0;0
2020-02-11 07:00:00;73;36;76;6;3;4;7;8;0;0
2020-02-11 07:15:00;69;39;104;7;1;2;9;8;1;0
2020-02-11 07:30:00;88;67;166;11;5;10;13;14;2;5
2020-02-11 07:45:00;75;51;176;14;8;10;18;5;0;3
2020-02-11 08:00:00;96;67;137;17;2;8;9;13;0;0
2020-02-11 08:15:00;70;41;103;7;4;3;18;11;0;0
2020-02-11 08:30:00;71;58;96;6;5;3;10;13;1;1
2020-02-11 08:45:00;61;57;128;9;5;2;7;7;0;0
2020-02-11 09:00:00;37;44;58;5;10;6;14;11;1;0
2020-02-11 09:15:00;29;37;62;7;4;4;10;8;0;0
2020-02-11 09:30:00;40;44;57;5;4;4;5;9;1;1
2020-02-11 09:45:00;35;39;54;5;6;5;12;7;3;0
2020-02-11 10:00:00;43;49;51;6;6;3;15;10;0;0
2020-02-11 10:15:00;41;42;52;2;3;7;20;11;2;0
2020-02-11 10:30:00;32;50;61;3;7;5;12;8;3;0
2020-02-11 10:45:00;39;52;61;5;10;4;18;9;0;4
2020-02-11 11:00:00;32;44;57;2;8;1;8;10;1;9
2020-02-11 11:15:00;33;42;67;4;8;2;16;8;0;0
2020-02-11 11:30:00;23;40;65;6;10;1;22;14;0;0
2020-02-11 11:45:00;44;57;71;6;10;4;14;18;1;10
2020-02-11 12:00:00;50;42;65;8;17;7;17;19;1;1
2020-02-11 12:15:00;35;45;74;5;8;3;17;14;1;2
2020-02-11 12:30:00;59;49;73;5;6;5;20;7;0;0
2020-02-11 12:45:00;50;46;80;5;10;3;22;22;0;0
2020-02-11 13:00:00;80;54;81;7;1;2;19;19;0;0
2020-02-11 13:15:00;102;53;113;15;5;0;23;12;3;0
2020-02-11 13:30:00;132;56;127;11;13;8;32;18;2;3
2020-02-11 13:45:00;90;62;112;13;15;5;30;20;0;0
2020-02-11 14:00:00;56;66;95;10;77;1;92;74;2;1
2020-02-11 14:15:00;24;71;65;7;59;6;181;84;1;8
2020-02-11 14:30:00;44;111;62;3;36;1;115;50;0;0
2020-02-11 14:45:00;35;77;71;9;15;4;45;32;2;0
2020-02-11 15:00:00;29;84;72;6;17;5;70;55;0;0
2020-02-11 15:15:00;41;106;61;7;14;6;66;41;1;3
2020-02-11 15:30:00;51;104;92;7;20;2;60;44;1;13
2020-02-11 15:45:00;36;73;75;10;11;3;54;27;0;2
2020-02-11 16:00:00;49;116;103;9;30;3;60;38;3;3
2020-02-11 16:15:00;26;81;82;8;24;5;59;28;7;2
2020-02-11 16:30:00;44;89;82;3;26;8;49;33;2;4
2020-02-11 16:45:00;36;79;79;5;13;1;37;20;2;3
2020-02-11 17:00:00;35;88;89;4;31;1;50;29;2;0
2020-02-11 17:15:00;27;74;67;6;12;6;40;23;4;3
2020-02-11 17:30:00;39;67;81;4;28;0;42;28;4;12
2020-02-11 17:45:00;39;64;68;1;20;3;29;20;5;6
2020-02-11 18:00:00;31;63;62;6;20;1;26;16;0;6
2020-02-11 18:15:00;28;54;51;3;10;1;18;22;0;0
2020-02-11 18:30:00;24;33;59;3;9;4;20;19;1;2
2020-02-11 18:45:00;16;51;56;3;7;2;17;12;2;0
2020-02-11 19:00:00;35;46;60;6;7;3;16;13;0;0
2020-02-11 19:15:00;26;30;35;6;8;5;13;4;4;8
2020-02-11 19:30:00;22;33;38;4;5;2;9;6;0;0
