DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DD1);10(DD2);11(TAFGC)
2020-05-03 00:00:00;3;0;0;0;0;3;0;3;0;0;0
2020-05-03 00:15:00;4;0;0;0;1;4;0;4;0;0;0
2020-05-03 00:30:00;2;0;0;0;0;3;0;3;0;0;0
2020-05-03 00:45:00;2;1;0;0;1;4;1;4;0;0;0
2020-05-03 01:00:00;3;3;3;0;0;3;1;3;0;0;0
2020-05-03 01:15:00;4;1;1;0;1;2;0;2;0;0;0
2020-05-03 01:30:00;5;1;2;0;0;6;3;6;0;0;0
2020-05-03 01:45:00;2;0;0;0;0;2;0;2;0;0;0
2020-05-03 02:00:00;3;0;0;0;1;1;0;1;0;0;0
2020-05-03 02:15:00;1;0;0;0;0;0;0;0;0;0;0
2020-05-03 02:30:00;0;0;0;0;0;0;0;0;0;0;0
2020-05-03 02:45:00;1;0;1;0;0;1;0;1;0;0;0
2020-05-03 03:00:00;1;0;0;0;0;0;0;0;0;0;31
2020-05-03 03:15:00;2;0;0;0;0;0;0;0;0;0;84
2020-05-03 03:30:00;0;1;1;0;0;0;1;0;0;0;83
2020-05-03 03:45:00;0;0;0;0;0;0;0;0;0;0;64
2020-05-03 04:00:00;0;0;0;0;0;0;0;0;0;0;76
2020-05-03 04:15:00;2;0;0;0;0;1;0;1;0;0;54
2020-05-03 04:30:00;0;0;0;0;0;0;0;0;0;0;65
2020-05-03 04:45:00;1;0;0;0;0;1;0;1;0;0;60
2020-05-03 05:00:00;3;0;0;0;0;2;0;2;0;0;78
2020-05-03 05:15:00;5;1;1;0;0;4;0;4;0;0;90
2020-05-03 05:30:00;4;0;0;0;0;3;0;3;0;0;10
2020-05-03 05:45:00;2;0;0;0;0;3;0;3;0;0;0
2020-05-03 06:00:00;7;0;0;0;1;5;0;5;0;0;0
2020-05-03 06:15:00;1;0;0;0;0;8;0;8;0;0;0
2020-05-03 06:30:00;2;0;0;0;1;7;0;8;0;0;0
2020-05-03 06:45:00;4;1;1;0;0;6;2;6;0;0;0
2020-05-03 07:00:00;5;1;1;0;0;10;1;10;0;0;0
2020-05-03 07:15:00;5;0;0;0;0;2;1;2;0;0;0
2020-05-03 07:30:00;5;0;0;0;1;9;0;9;0;0;0
2020-05-03 07:45:00;6;0;0;0;0;4;1;4;0;0;0
2020-05-03 08:00:00;4;0;0;0;1;4;0;4;0;0;0
2020-05-03 08:15:00;10;0;0;0;0;5;0;5;0;0;0
2020-05-03 08:30:00;6;0;0;0;1;13;0;13;0;0;0
2020-05-03 08:45:00;7;0;0;0;0;8;0;8;0;0;19
2020-05-03 09:00:00;8;1;2;0;0;11;3;11;0;0;22
2020-05-03 09:15:00;17;1;1;1;0;8;2;8;1;1;2
2020-05-03 09:30:00;14;0;0;0;0;18;2;18;0;0;0
2020-05-03 09:45:00;12;2;0;0;1;14;2;14;0;0;0
2020-05-03 10:00:00;15;1;1;0;0;12;3;12;0;0;0
2020-05-03 10:15:00;11;3;2;1;0;20;1;20;0;0;0
2020-05-03 10:30:00;20;1;1;0;0;20;2;20;1;2;0
2020-05-03 10:45:00;22;1;1;0;0;20;1;20;4;1;0
2020-05-03 11:00:00;20;0;0;0;0;21;1;21;2;4;1
2020-05-03 11:15:00;20;0;1;2;0;23;1;23;0;1;0
2020-05-03 11:30:00;17;0;0;3;1;24;1;24;1;0;0
2020-05-03 11:45:00;24;1;0;0;0;21;3;21;0;0;0
2020-05-03 12:00:00;22;2;1;0;0;24;6;24;0;0;0
2020-05-03 12:15:00;19;1;0;0;0;34;3;34;0;0;2
2020-05-03 12:30:00;32;2;2;0;0;23;3;23;0;0;1
2020-05-03 12:45:00;31;1;2;0;2;26;1;26;1;0;0
2020-05-03 13:00:00;18;0;0;0;0;28;1;29;0;0;0
2020-05-03 13:15:00;31;2;2;0;0;36;3;35;5;1;0
2020-05-03 13:30:00;26;3;2;0;0;36;0;36;3;3;0
