DATUM;1(DA1);2(DA2);3(DAL1);4(DB1);5(DB2);6(DC1);7(DC2);8(DCL1);9(DD1);10(DD2);11(DD3)
2020-05-18 00:00:00;10;7;1;3;1;11;6;2;1;4;1
2020-05-18 00:15:00;7;4;4;3;1;14;9;2;2;5;2
2020-05-18 00:30:00;14;8;3;4;3;7;3;0;0;0;0
2020-05-18 00:45:00;6;8;1;0;2;11;8;1;0;4;2
2020-05-18 01:00:00;9;2;1;1;0;7;9;3;0;2;2
2020-05-18 01:15:00;4;3;0;1;1;5;2;1;0;1;0
2020-05-18 01:30:00;6;5;0;2;1;5;2;0;1;2;1
2020-05-18 01:45:00;10;3;0;0;0;1;4;1;0;1;0
2020-05-18 02:00:00;3;4;0;1;0;2;4;0;1;1;0
2020-05-18 02:15:00;6;6;1;0;0;3;2;0;0;0;1
2020-05-18 02:30:00;5;1;0;0;0;3;1;0;3;3;0
2020-05-18 02:45:00;6;2;1;0;0;6;6;1;2;3;3
2020-05-18 03:00:00;3;4;1;1;1;2;2;1;0;0;0
2020-05-18 03:15:00;0;2;1;2;2;4;1;1;2;2;0
2020-05-18 03:30:00;3;3;0;2;0;3;2;0;0;0;0
2020-05-18 03:45:00;4;3;0;1;1;6;2;0;0;2;0
2020-05-18 04:00:00;3;5;1;2;1;6;3;1;0;0;0
2020-05-18 04:15:00;15;5;2;2;2;9;2;0;0;2;2
2020-05-18 04:30:00;11;8;2;1;3;12;7;1;2;1;0
2020-05-18 04:45:00;17;11;2;1;2;24;8;2;3;4;5
2020-05-18 05:00:00;24;21;5;7;4;71;41;3;2;7;4
2020-05-18 05:15:00;40;30;9;17;10;104;84;0;6;12;3
2020-05-18 05:30:00;45;42;9;18;13;109;102;4;4;18;9
2020-05-18 05:45:00;37;32;6;23;13;100;99;10;9;13;5
2020-05-18 06:00:00;48;57;13;18;16;68;59;5;9;17;7
2020-05-18 06:15:00;54;44;13;35;21;111;108;13;17;25;11
2020-05-18 06:30:00;52;52;17;30;21;91;103;7;12;22;8
2020-05-18 06:45:00;54;67;20;40;23;91;108;15;14;30;9
2020-05-18 07:00:00;48;57;16;62;24;93;121;10;12;19;5
2020-05-18 07:15:00;71;63;8;73;24;106;121;25;16;28;11
2020-05-18 07:30:00;56;61;25;62;22;111;122;17;22;29;9
2020-05-18 07:45:00;70;70;15;53;22;94;115;33;32;45;20
2020-05-18 08:00:00;59;58;14;48;23;96;102;17;9;29;16
2020-05-18 08:15:00;68;73;10;45;28;75;86;15;20;32;20
2020-05-18 08:30:00;77;61;12;44;24;96;97;29;17;32;12
2020-05-18 08:45:00;69;70;17;58;19;78;78;26;27;45;13
2020-05-18 09:00:00;64;54;15;58;24;70;83;18;24;38;16
2020-05-18 09:15:00;65;77;15;48;19;74;79;28;25;38;15
2020-05-18 09:30:00;75;71;14;58;23;70;82;21;18;38;18
2020-05-18 09:45:00;66;68;21;52;23;64;57;32;28;44;16
2020-05-18 10:00:00;68;77;25;62;26;65;73;22;26;58;30
2020-05-18 10:15:00;57;61;27;60;22;58;80;22;23;43;16
2020-05-18 10:30:00;59;70;24;52;20;76;78;23;32;61;28
2020-05-18 10:45:00;71;59;34;57;16;73;74;19;31;61;23
2020-05-18 11:00:00;74;81;29;57;21;66;76;22;35;70;28
2020-05-18 11:15:00;75;72;27;58;25;73;51;20;32;50;19
2020-05-18 11:30:00;78;86;26;52;16;65;60;23;33;54;26
2020-05-18 11:45:00;75;79;26;45;25;62;76;24;36;69;24
2020-05-18 12:00:00;74;79;26;35;17;51;67;23;29;42;19
2020-05-18 12:15:00;70;75;27;48;19;70;61;19;40;59;19
2020-05-18 12:30:00;79;95;29;35;19;75;55;18;33;53;20
2020-05-18 12:45:00;79;96;30;41;24;69;61;19;26;55;20
2020-05-18 13:00:00;85;92;27;47;19;82;82;28;29;54;30
2020-05-18 13:15:00;93;98;26;42;13;92;108;29;36;56;20
2020-05-18 13:30:00;111;120;34;47;23;119;114;21;27;49;21
2020-05-18 13:45:00;95;111;31;60;25;113;112;25;24;51;27
2020-05-18 14:00:00;111;138;26;61;21;102;93;18;28;58;30
2020-05-18 14:15:00;145;166;20;51;31;83;71;21;36;56;31
2020-05-18 14:30:00;121;148;27;39;25;82;65;19;32;49;13
2020-05-18 14:45:00;117;144;27;49;22;79;78;21;26;60;22
2020-05-18 15:00:00;97;123;31;63;27;73;73;16;35;57;19
2020-05-18 15:15:00;114;123;29;47;22;69;66;20;38;60;20
2020-05-18 15:30:00;117;117;25;68;22;84;69;17;29;56;22
2020-05-18 15:45:00;115;121;33;49;27;76;73;23;34;66;23
2020-05-18 16:00:00;121;134;26;49;17;69;65;24;32;75;29
2020-05-18 16:15:00;111;142;24;48;18;87;73;20;37;61;25
2020-05-18 16:30:00;108;121;32;57;29;78;86;25;34;64;27
2020-05-18 16:45:00;113;130;38;58;26;80;68;23;41;70;21
2020-05-18 17:00:00;132;155;34;61;29;83;82;33;46;70;26
2020-05-18 17:15:00;126;147;34;63;24;81;76;29;39;61;25
2020-05-18 17:30:00;110;126;28;50;20;85;69;21;35;65;16
2020-05-18 17:45:00;87;112;27;60;22;77;62;23;31;53;20
2020-05-18 18:00:00;94;105;29;39;15;77;82;30;28;48;23
2020-05-18 18:15:00;101;89;21;26;16;65;69;10;28;67;25
2020-05-18 18:30:00;81;88;29;36;15;58;52;14;21;35;14
2020-05-18 18:45:00;82;68;26;27;12;57;42;10;20;54;18
2020-05-18 19:00:00;79;65;29;34;11;64;47;17;21;37;11
2020-05-18 19:15:00;78;68;12;114;12;54;51;17;16;38;10
2020-05-18 19:30:00;48;39;23;43;11;53;29;12;19;52;13
2020-05-18 19:45:00;60;46;13;15;6;46;34;16;12;35;9
2020-05-18 20:00:00;57;52;22;29;9;41;29;11;15;35;13
2020-05-18 20:15:00;47;36;16;24;5;30;21;12;10;40;14
2020-05-18 20:30:00;44;29;14;18;4;40;25;10;8;37;16
2020-05-18 20:45:00;34;24;13;19;9;33;19;5;9;23;11
2020-05-18 21:00:00;33;32;12;36;9;66;66;7;6;24;11
2020-05-18 21:15:00;23;26;8;24;5;69;64;9;8;27;15
2020-05-18 21:30:00;31;35;9;16;5;58;38;9;7;25;7
2020-05-18 21:45:00;79;84;4;13;6;29;17;5;5;13;8
2020-05-18 22:00:00;104;90;14;18;5;27;22;2;6;16;2
2020-05-18 22:15:00;46;42;6;94;4;26;18;3;4;11;7
2020-05-18 22:30:00;26;25;12;11;5;17;9;2;3;10;1
2020-05-18 22:45:00;17;9;0;9;4;19;10;4;5;11;4
2020-05-18 23:00:00;20;14;8;4;4;14;12;3;4;9;1
2020-05-18 23:15:00;11;6;4;8;2;16;11;1;4;9;5
2020-05-18 23:30:00;17;5;2;3;2;21;9;2;3;8;1
2020-05-18 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
