DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2)
2020-10-13 00:00:00;6;3;1;0;0;6;16;8
2020-10-13 00:15:00;5;7;3;0;0;3;15;8
2020-10-13 00:30:00;5;8;2;1;1;4;9;8
2020-10-13 00:45:00;5;6;2;0;1;2;9;8
2020-10-13 01:00:00;7;11;2;1;0;3;12;6
2020-10-13 01:15:00;5;9;3;1;1;1;13;6
2020-10-13 01:30:00;5;6;0;1;2;6;10;8
2020-10-13 01:45:00;5;3;0;1;1;1;2;3
2020-10-13 02:00:00;6;4;0;1;1;2;9;5
2020-10-13 02:15:00;10;9;3;0;0;2;8;3
2020-10-13 02:30:00;10;3;1;0;0;0;4;2
2020-10-13 02:45:00;12;5;0;0;0;2;10;4
2020-10-13 03:00:00;4;4;0;1;1;4;11;6
2020-10-13 03:15:00;5;5;2;0;0;2;8;4
2020-10-13 03:30:00;10;6;1;1;1;1;8;1
2020-10-13 03:45:00;9;6;1;1;1;2;11;5
2020-10-13 04:00:00;6;6;0;1;2;2;8;3
2020-10-13 04:15:00;17;4;1;1;1;1;10;3
2020-10-13 04:30:00;15;13;4;4;3;7;17;11
2020-10-13 04:45:00;27;17;5;2;3;6;26;10
2020-10-13 05:00:00;24;15;7;2;2;9;29;12
2020-10-13 05:15:00;44;22;9;2;4;13;46;25
2020-10-13 05:30:00;47;44;21;4;5;17;55;35
2020-10-13 05:45:00;65;60;24;5;6;30;56;34
2020-10-13 06:00:00;68;53;25;2;2;39;62;41
2020-10-13 06:15:00;87;70;20;2;5;37;65;58
2020-10-13 06:30:00;108;128;35;7;6;51;106;68
2020-10-13 06:45:00;148;173;29;13;9;75;112;75
2020-10-13 07:00:00;110;140;29;14;17;98;140;91
2020-10-13 07:15:00;133;134;24;18;16;97;111;96
2020-10-13 07:30:00;138;160;47;21;25;103;131;96
2020-10-13 07:45:00;173;219;34;28;34;107;118;74
2020-10-13 08:00:00;141;186;38;16;18;67;125;81
2020-10-13 08:15:00;126;148;36;16;20;66;134;69
2020-10-13 08:30:00;121;145;27;16;26;76;105;69
2020-10-13 08:45:00;124;155;28;20;21;82;98;63
2020-10-13 09:00:00;111;116;34;11;20;59;122;70
2020-10-13 09:15:00;111;113;25;8;14;56;107;69
2020-10-13 09:30:00;93;95;25;13;18;58;105;73
2020-10-13 09:45:00;120;117;26;10;14;47;110;73
2020-10-13 10:00:00;111;130;31;10;11;48;117;86
2020-10-13 10:15:00;106;117;16;12;12;49;115;84
2020-10-13 10:30:00;118;112;21;10;8;56;132;90
2020-10-13 10:45:00;116;133;21;15;15;53;127;105
2020-10-13 11:00:00;121;118;25;18;15;63;147;96
2020-10-13 11:15:00;125;111;29;16;18;56;146;114
2020-10-13 11:30:00;150;140;31;7;12;45;140;108
2020-10-13 11:45:00;110;109;30;14;16;56;140;117
2020-10-13 12:00:00;107;111;28;13;11;52;129;100
2020-10-13 12:15:00;104;119;32;10;29;46;127;92
2020-10-13 12:30:00;109;110;23;7;16;39;156;98
2020-10-13 12:45:00;106;117;22;14;14;57;119;96
2020-10-13 13:00:00;108;99;48;13;10;52;121;118
2020-10-13 13:15:00;127;118;38;14;88;57;143;96
2020-10-13 13:30:00;135;114;43;12;138;49;138;103
2020-10-13 13:45:00;119;120;35;12;24;53;130;93
2020-10-13 14:00:00;135;151;44;7;10;51;131;104
2020-10-13 14:15:00;124;126;40;9;12;61;138;109
2020-10-13 14:30:00;131;148;35;12;12;63;134;98
