DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DB1);7(TARDCL)
2019-08-30 00:00:00;13;15;14;13;2;2;0
2019-08-30 00:15:00;11;15;8;6;0;0;0
2019-08-30 00:30:00;10;13;14;12;2;3;0
2019-08-30 00:45:00;5;14;11;7;0;2;0
2019-08-30 01:00:00;5;10;13;3;1;5;0
2019-08-30 01:15:00;5;7;13;6;0;2;0
2019-08-30 01:30:00;7;9;14;4;0;3;0
2019-08-30 01:45:00;9;8;7;7;0;1;0
2019-08-30 02:00:00;8;9;7;3;0;1;0
2019-08-30 02:15:00;9;3;3;7;0;0;0
2019-08-30 02:30:00;7;11;8;5;1;0;0
2019-08-30 02:45:00;7;9;8;8;1;2;0
2019-08-30 03:00:00;2;8;8;1;0;1;0
2019-08-30 03:15:00;6;6;5;3;0;0;0
2019-08-30 03:30:00;3;7;5;6;0;0;0
2019-08-30 03:45:00;4;5;11;2;1;2;0
2019-08-30 04:00:00;10;11;13;8;0;4;0
2019-08-30 04:15:00;18;20;13;8;1;0;0
2019-08-30 04:30:00;18;16;19;8;1;1;0
2019-08-30 04:45:00;16;20;39;6;3;4;0
2019-08-30 05:00:00;25;23;73;31;17;4;0
2019-08-30 05:15:00;31;34;126;78;7;12;1
2019-08-30 05:30:00;54;70;161;92;10;7;0
2019-08-30 05:45:00;71;98;151;107;85;22;0
2019-08-30 06:00:00;100;125;132;88;8;15;0
2019-08-30 06:15:00;67;99;195;111;9;24;0
2019-08-30 06:30:00;75;99;217;147;10;46;1
2019-08-30 06:45:00;68;104;231;176;18;35;3
2019-08-30 07:00:00;54;84;194;160;8;28;0
2019-08-30 07:15:00;63;96;198;141;19;35;0
2019-08-30 07:30:00;78;94;198;176;13;46;4
2019-08-30 07:45:00;82;115;228;154;27;35;0
2019-08-30 08:00:00;58;83;182;118;25;28;0
2019-08-30 08:15:00;65;103;175;117;14;40;0
2019-08-30 08:30:00;75;114;149;111;187;32;0
2019-08-30 08:45:00;74;96;160;133;33;25;0
2019-08-30 09:00:00;85;115;115;122;16;31;0
2019-08-30 09:15:00;64;100;121;96;17;8;0
2019-08-30 09:30:00;78;115;121;126;17;16;0
2019-08-30 09:45:00;89;139;122;120;37;19;1
2019-08-30 10:00:00;89;135;97;107;24;19;5
2019-08-30 10:15:00;84;110;108;114;32;23;0
2019-08-30 10:30:00;107;135;142;133;32;23;0
2019-08-30 10:45:00;91;146;115;100;18;20;1
2019-08-30 11:00:00;101;134;100;106;11;26;3
2019-08-30 11:15:00;100;165;109;120;14;21;0
2019-08-30 11:30:00;100;163;119;135;23;25;1
2019-08-30 11:45:00;106;154;138;118;24;31;1
2019-08-30 12:00:00;142;183;123;111;23;34;2
2019-08-30 12:15:00;143;191;115;110;26;29;0
2019-08-30 12:30:00;141;218;113;143;22;27;1
2019-08-30 12:45:00;112;160;124;124;145;29;4
2019-08-30 13:00:00;144;205;155;123;47;37;0
2019-08-30 13:15:00;137;199;174;139;36;26;3
2019-08-30 13:30:00;113;162;161;145;17;36;0
2019-08-30 13:45:00;114;193;150;133;13;40;0
2019-08-30 14:00:00;173;228;127;122;17;36;0
2019-08-30 14:15:00;171;241;102;106;24;31;1
2019-08-30 14:30:00;203;254;118;128;20;31;2
2019-08-30 14:45:00;164;235;106;128;24;29;0
2019-08-30 15:00:00;159;214;111;120;13;25;0
2019-08-30 15:15:00;163;219;106;116;20;21;0
2019-08-30 15:30:00;146;208;105;128;213;20;1
2019-08-30 15:45:00;151;225;105;116;20;22;3
2019-08-30 16:00:00;150;212;98;132;21;28;4
2019-08-30 16:15:00;124;188;101;111;18;26;8
2019-08-30 16:30:00;139;189;101;123;26;30;4
2019-08-30 16:45:00;115;172;109;120;21;18;0
2019-08-30 17:00:00;94;195;120;131;15;24;0
2019-08-30 17:15:00;122;166;99;120;10;25;0
2019-08-30 17:30:00;93;167;107;119;15;22;0
2019-08-30 17:45:00;98;162;103;111;20;18;1
2019-08-30 18:00:00;88;143;109;116;33;31;1
2019-08-30 18:15:00;85;118;87;88;10;23;1
2019-08-30 18:30:00;91;127;95;100;15;20;1
2019-08-30 18:45:00;86;124;97;113;17;22;2
2019-08-30 19:00:00;88;130;93;92;23;18;0
2019-08-30 19:15:00;67;100;81;99;15;16;0
2019-08-30 19:30:00;54;82;82;73;48;31;0
2019-08-30 19:45:00;58;94;85;79;17;14;1
2019-08-30 20:00:00;72;116;92;92;9;15;0
2019-08-30 20:15:00;70;85;63;82;4;8;0
2019-08-30 20:30:00;46;79;70;71;7;10;0
2019-08-30 20:45:00;54;70;80;64;12;8;0
2019-08-30 21:00:00;49;59;96;74;5;10;0
2019-08-30 21:15:00;51;72;133;78;5;9;0
2019-08-30 21:30:00;42;65;91;51;10;16;0
2019-08-30 21:45:00;75;90;63;43;7;8;0
2019-08-30 22:00:00;111;135;35;39;2;8;0
2019-08-30 22:15:00;63;75;55;53;3;7;0
2019-08-30 22:30:00;40;51;31;37;3;5;0
2019-08-30 22:45:00;35;49;41;36;4;3;0
2019-08-30 23:00:00;27;26;34;21;3;5;0
2019-08-30 23:15:00;25;32;30;27;4;6;0
2019-08-30 23:30:00;22;31;24;17;3;3;0
2019-08-30 23:45:00;30;30;24;31;3;5;0
