DATUM;
2020-10-18 00:00:00;
2020-10-18 00:15:00;
2020-10-18 00:30:00;
2020-10-18 00:45:00;
2020-10-18 21:30:00;17;12;19;8;2;12;10;0;0;0
2020-10-18 21:45:00;10;9;8;9;2;9;12;0;0;0
2020-10-18 22:00:00;14;4;2;10;9;10;6;0;0;0
2020-10-18 22:15:00;6;3;2;4;4;9;6;0;0;0
2020-10-18 22:30:00;7;3;5;5;5;7;4;0;0;0
2020-10-18 22:45:00;9;3;2;12;6;5;3;0;0;0
2020-10-18 23:00:00;2;4;2;6;2;3;3;0;0;0
2020-10-18 23:15:00;3;1;1;7;2;1;3;0;0;0
2020-10-18 23:30:00;3;1;0;4;1;4;1;0;0;0
2020-10-18 23:45:00;5;2;1;3;5;2;1;0;0;0
