DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(DF1);10(DF2);11(D11RES);12(D12RES);13(D13RES);14(D14RES)
2020-10-04 00:00:00;13;9;19;3;13;17;10;2;14;11;0;0;0;0
2020-10-04 00:15:00;10;14;28;6;11;14;5;5;11;6;0;0;0;0
2020-10-04 00:30:00;10;8;18;7;11;16;4;2;10;15;0;0;0;0
2020-10-04 00:45:00;15;9;21;4;9;13;5;2;5;8;0;0;0;0
2020-10-04 01:00:00;13;8;23;2;7;12;8;2;9;11;0;0;0;0
2020-10-04 01:15:00;7;4;20;4;8;13;4;5;2;10;0;0;0;0
2020-10-04 01:30:00;1;8;12;3;11;14;6;2;3;9;0;0;0;0
2020-10-04 01:45:00;9;7;15;1;3;8;5;3;4;4;0;0;0;0
2020-10-04 02:00:00;7;5;21;3;11;8;2;0;4;5;0;0;0;0
2020-10-04 02:15:00;8;8;11;3;2;8;5;0;6;3;0;0;0;0
2020-10-04 02:30:00;6;3;12;2;5;4;4;0;6;4;0;0;0;0
2020-10-04 02:45:00;6;5;9;0;3;2;5;0;5;1;0;0;0;0
2020-10-04 03:00:00;4;7;3;1;2;6;5;2;4;4;0;0;0;0
2020-10-04 03:15:00;1;3;10;2;4;8;3;1;2;3;0;0;0;0
2020-10-04 03:30:00;4;6;7;1;3;1;2;0;0;3;0;0;0;0
2020-10-04 03:45:00;4;1;4;0;2;4;1;0;3;3;0;0;0;0
2020-10-04 04:00:00;4;3;3;0;0;2;1;2;4;4;0;0;0;0
2020-10-04 04:15:00;4;7;4;0;4;2;2;0;2;2;0;0;0;0
2020-10-04 04:30:00;4;1;1;0;1;1;1;0;2;1;0;0;0;0
2020-10-04 04:45:00;1;4;6;1;2;3;2;1;4;3;0;0;0;0
2020-10-04 05:00:00;2;1;6;1;0;2;1;0;2;5;0;0;0;0
2020-10-04 05:15:00;7;7;10;0;3;3;5;0;5;3;0;0;0;0
2020-10-04 05:30:00;5;4;13;1;1;8;11;7;5;3;0;0;0;0
2020-10-04 05:45:00;6;10;12;1;1;1;1;0;5;2;0;0;0;0
2020-10-04 06:00:00;3;3;8;3;4;1;1;1;2;4;0;0;0;0
2020-10-04 06:15:00;2;4;9;0;6;3;7;0;5;4;0;0;0;0
2020-10-04 06:30:00;4;3;10;0;5;11;6;2;9;2;0;0;0;0
2020-10-04 06:45:00;2;7;7;0;6;7;8;1;6;3;0;0;0;0
2020-10-04 07:00:00;3;3;9;0;8;6;1;0;3;2;0;0;0;0
2020-10-04 07:15:00;5;7;19;2;3;5;3;2;5;5;0;0;0;0
2020-10-04 07:30:00;5;8;17;5;6;17;3;0;10;5;0;0;0;0
2020-10-04 07:45:00;12;7;19;3;7;14;4;2;6;8;0;0;0;0
2020-10-04 08:00:00;8;5;20;6;4;13;6;1;5;2;0;0;0;0
2020-10-04 08:15:00;10;6;21;5;12;14;7;4;5;4;0;0;0;0
2020-10-04 08:30:00;14;13;25;3;16;12;9;2;12;11;0;0;0;0
2020-10-04 08:45:00;14;14;33;8;17;17;8;4;15;17;0;0;0;0
2020-10-04 09:00:00;27;8;30;14;21;24;13;4;8;17;0;0;0;0
2020-10-04 09:15:00;25;16;32;18;25;18;18;5;26;19;0;0;0;0
2020-10-04 09:30:00;40;22;39;20;27;28;16;6;30;29;0;0;0;0
2020-10-04 09:45:00;35;22;47;17;34;34;11;4;27;21;0;0;0;0
2020-10-04 10:00:00;26;16;57;21;25;45;17;7;25;29;0;0;0;0
2020-10-04 10:15:00;41;22;53;20;32;49;21;11;26;30;0;0;0;0
2020-10-04 10:30:00;42;29;50;23;35;47;22;11;24;24;0;0;0;0
2020-10-04 10:45:00;52;36;44;25;38;54;21;3;46;33;0;0;0;0
2020-10-04 11:00:00;40;24;54;24;30;40;19;5;31;25;0;0;0;0
2020-10-04 11:15:00;46;18;68;28;41;51;24;13;38;35;0;0;0;0
2020-10-04 11:30:00;59;25;62;28;43;36;18;9;41;41;0;0;0;0
2020-10-04 11:45:00;53;36;62;30;35;57;35;13;44;37;0;0;0;0
2020-10-04 12:00:00;45;33;46;35;41;44;18;7;24;28;0;0;0;0
2020-10-04 12:15:00;49;33;53;20;31;47;24;11;39;40;0;0;0;0
2020-10-04 12:30:00;45;35;58;32;44;46;25;13;30;54;0;0;0;0
2020-10-04 12:45:00;50;33;58;32;41;50;24;12;31;38;0;0;0;0
2020-10-04 13:00:00;59;34;46;15;37;46;30;10;30;42;0;0;0;0
2020-10-04 13:15:00;68;27;52;31;52;53;30;11;35;38;0;0;0;0
2020-10-04 13:30:00;54;35;67;32;37;45;23;10;40;46;0;0;0;0
2020-10-04 13:45:00;55;32;70;29;48;71;28;16;40;42;0;0;0;0
2020-10-04 14:00:00;59;38;59;34;48;63;35;12;52;59;0;0;0;0
2020-10-04 14:15:00;54;46;65;24;51;49;25;9;51;60;0;0;0;0
2020-10-04 14:30:00;58;32;64;30;46;52;31;12;46;47;0;0;0;0
2020-10-04 14:45:00;74;39;69;36;46;57;31;8;47;43;0;0;0;0
2020-10-04 15:00:00;69;23;78;39;49;77;32;14;48;51;0;0;0;0
2020-10-04 15:15:00;61;29;67;30;28;52;30;11;40;51;0;0;0;0
2020-10-04 15:30:00;62;33;65;31;36;51;25;7;42;37;0;0;0;0
2020-10-04 15:45:00;47;34;65;26;35;44;24;6;46;53;0;0;0;0
2020-10-04 16:00:00;64;47;45;21;32;35;26;13;45;34;0;0;0;0
2020-10-04 16:15:00;72;41;69;37;24;34;22;6;50;41;0;0;0;0
2020-10-04 16:30:00;61;34;54;25;52;72;37;16;44;54;0;0;0;0
2020-10-04 16:45:00;73;41;58;28;52;61;26;5;44;44;0;0;0;0
2020-10-04 17:00:00;74;34;70;48;58;70;32;12;40;36;0;0;0;0
2020-10-04 17:15:00;76;40;69;37;40;51;31;16;32;43;0;0;0;0
2020-10-04 17:30:00;71;44;65;36;43;62;26;11;36;42;0;0;0;0
2020-10-04 17:45:00;80;40;69;43;53;60;32;14;40;50;0;0;0;0
2020-10-04 18:00:00;64;36;56;31;36;55;36;15;40;44;0;0;0;0
2020-10-04 18:15:00;59;29;71;33;38;66;22;14;31;42;0;0;0;0
2020-10-04 18:30:00;59;37;56;37;46;52;29;12;39;33;0;0;0;0
2020-10-04 18:45:00;48;37;62;40;38;51;34;15;34;46;0;0;0;0
2020-10-04 19:00:00;57;27;57;33;43;56;22;14;29;32;0;0;0;0
2020-10-04 19:15:00;43;26;66;30;37;37;27;9;22;35;0;0;0;0
2020-10-04 19:30:00;40;20;65;33;30;35;31;14;32;32;0;0;0;0
2020-10-04 19:45:00;30;19;52;21;36;34;20;7;20;26;0;0;0;0
2020-10-04 20:00:00;39;24;46;23;27;44;20;4;25;28;0;0;0;0
2020-10-04 20:15:00;41;25;52;27;37;31;22;9;22;25;0;0;0;0
2020-10-04 20:30:00;26;15;43;17;28;32;17;4;18;32;0;0;0;0
2020-10-04 20:45:00;23;19;41;13;24;22;15;5;13;15;0;0;0;0
2020-10-04 21:00:00;33;17;42;15;16;25;10;3;15;26;0;0;0;0
2020-10-04 21:15:00;28;14;35;15;17;21;11;0;8;12;0;0;0;0
2020-10-04 21:30:00;18;17;33;10;22;22;9;2;15;19;0;0;0;0
2020-10-04 21:45:00;16;10;25;6;19;27;15;4;8;14;0;0;0;0
2020-10-04 22:00:00;23;12;28;11;17;17;7;4;11;10;0;0;0;0
2020-10-04 22:15:00;19;11;30;9;12;24;8;1;9;16;0;0;0;0
2020-10-04 22:30:00;6;9;17;2;12;21;8;2;9;10;0;0;0;0
2020-10-04 22:45:00;6;6;21;3;6;15;7;2;5;6;0;0;0;0
2020-10-04 23:00:00;9;5;11;3;4;6;5;0;6;9;0;0;0;0
2020-10-04 23:15:00;4;5;9;1;9;9;2;1;3;5;0;0;0;0
2020-10-04 23:30:00;7;6;9;1;4;5;6;2;10;5;0;0;0;0
2020-10-04 23:45:00;7;3;8;3;6;9;2;1;8;4;0;0;0;0
