DATUM;1(DA1);2(DAL1);3(DAL2);4(DBL1);5(DBL2);6(DBR1);7(DBL3);8(DBL4);9(DCR1);10(DC1);11(TAFGC)
2020-11-12 00:00:00;0;1;0;0;0;0;0;0;0;0;5
2020-11-12 00:15:00;8;0;0;0;0;0;0;0;0;0;6
2020-11-12 00:30:00;3;0;0;0;0;0;0;0;0;0;7
2020-11-12 00:45:00;7;4;0;0;0;0;0;0;0;0;3
2020-11-12 01:00:00;8;1;0;0;0;0;0;0;1;0;3
2020-11-12 01:15:00;4;1;0;0;0;0;0;0;0;0;0
2020-11-12 01:30:00;5;4;0;0;0;0;0;0;0;0;3
2020-11-12 01:45:00;4;1;0;0;0;0;0;0;0;0;1
2020-11-12 02:00:00;3;0;0;0;0;0;0;0;0;0;5
2020-11-12 02:15:00;4;2;0;0;0;0;0;0;0;0;4
2020-11-12 02:30:00;5;2;0;0;0;0;0;0;0;0;4
2020-11-12 02:45:00;3;0;0;0;0;0;0;0;0;0;5
2020-11-12 03:00:00;3;1;0;0;0;0;0;0;0;0;5
2020-11-12 03:15:00;5;1;0;0;0;0;0;0;0;0;8
2020-11-12 03:30:00;5;0;0;0;0;0;0;0;0;0;4
2020-11-12 03:45:00;6;2;0;0;0;0;0;0;0;0;3
2020-11-12 04:00:00;4;0;0;0;0;0;0;0;0;0;4
2020-11-12 04:15:00;11;3;1;1;0;1;0;0;0;0;10
2020-11-12 04:30:00;3;2;0;0;0;0;0;0;0;1;15
2020-11-12 04:45:00;13;5;6;6;0;0;0;0;0;1;31
2020-11-12 05:00:00;28;23;11;11;0;1;0;1;0;1;40
2020-11-12 05:15:00;58;42;36;37;4;0;4;0;1;27;88
2020-11-12 05:30:00;87;43;38;37;3;2;4;2;3;42;68
2020-11-12 05:45:00;93;34;71;70;15;7;14;8;29;71;75
2020-11-12 06:00:00;71;34;45;48;15;8;17;8;19;43;65
2020-11-12 06:15:00;49;21;35;35;4;0;4;0;7;15;49
