DATUM;1(DA1);2(DB1);3(DC1);4(DC2);5(DRES1);6(DRES2);7(TAFGA);8(TAFBA)
2020-08-17 00:00:00;3;5;3;2;0;0;0;0
2020-08-17 00:15:00;13;6;1;0;0;0;0;0
2020-08-17 00:30:00;1;6;0;0;0;0;0;0
2020-08-17 00:45:00;5;5;0;0;0;0;0;0
2020-08-17 01:00:00;2;1;0;0;0;0;0;0
2020-08-17 01:15:00;5;5;0;0;0;0;0;0
2020-08-17 01:30:00;4;0;1;0;0;0;0;0
2020-08-17 01:45:00;0;2;0;1;0;0;0;0
2020-08-17 02:00:00;2;0;1;0;0;0;0;0
2020-08-17 02:15:00;0;2;0;2;0;0;0;0
2020-08-17 02:30:00;5;4;0;0;0;0;0;0
2020-08-17 02:45:00;1;6;3;1;0;0;0;0
2020-08-17 03:00:00;0;1;0;2;0;0;0;0
2020-08-17 03:15:00;1;1;0;1;0;0;0;0
2020-08-17 03:30:00;4;0;1;2;0;0;0;0
2020-08-17 03:45:00;1;0;2;1;0;0;0;0
2020-08-17 04:00:00;3;0;0;1;0;0;0;0
2020-08-17 04:15:00;6;3;0;0;0;0;0;0
2020-08-17 04:30:00;3;3;4;0;0;0;0;0
2020-08-17 04:45:00;7;0;0;0;0;0;0;0
2020-08-17 05:00:00;4;10;1;2;0;0;0;0
2020-08-17 05:15:00;8;9;1;2;0;0;0;0
2020-08-17 05:30:00;10;19;1;0;0;0;0;0
2020-08-17 05:45:00;16;26;1;0;0;0;0;0
2020-08-17 06:00:00;17;15;1;1;0;0;0;0
2020-08-17 06:15:00;21;22;1;2;0;0;0;0
2020-08-17 06:30:00;36;27;3;1;0;0;2;0
2020-08-17 06:45:00;27;31;5;4;0;0;0;0
2020-08-17 07:00:00;27;13;1;1;0;0;0;0
2020-08-17 07:15:00;46;31;1;2;0;0;0;0
2020-08-17 07:30:00;43;26;2;1;0;0;0;0
2020-08-17 07:45:00;32;33;2;3;0;0;0;0
2020-08-17 08:00:00;34;25;2;2;0;0;0;0
2020-08-17 08:15:00;47;33;1;1;0;0;2;0
2020-08-17 08:30:00;42;29;2;1;0;0;0;0
2020-08-17 08:45:00;34;36;2;4;0;0;0;0
2020-08-17 09:00:00;41;28;1;3;0;0;0;0
2020-08-17 09:15:00;38;44;2;4;0;0;0;0
2020-08-17 09:30:00;51;41;0;0;0;0;0;0
2020-08-17 09:45:00;47;52;1;0;0;0;0;0
2020-08-17 10:00:00;39;24;1;0;0;0;0;0
2020-08-17 10:15:00;27;48;4;4;0;0;0;0
2020-08-17 10:30:00;47;42;2;1;0;0;0;0
2020-08-17 10:45:00;54;53;1;0;0;0;0;0
2020-08-17 11:00:00;49;62;2;3;0;0;0;0
2020-08-17 11:15:00;50;39;1;2;0;0;0;0
2020-08-17 11:30:00;70;40;3;2;0;0;0;0
2020-08-17 11:45:00;53;45;2;3;0;0;0;0
2020-08-17 12:00:00;57;45;2;1;0;0;0;0
2020-08-17 12:15:00;59;46;2;3;0;0;0;0
2020-08-17 12:30:00;54;41;0;0;0;0;2;5
2020-08-17 12:45:00;33;51;1;1;0;0;0;0
2020-08-17 13:00:00;54;44;1;0;0;0;0;0
2020-08-17 13:15:00;54;34;0;0;0;0;0;0
2020-08-17 13:30:00;56;62;2;1;0;0;1;0
2020-08-17 13:45:00;53;47;1;2;0;0;0;0
2020-08-17 14:00:00;45;40;1;1;0;0;0;0
2020-08-17 14:15:00;59;48;2;0;0;0;2;0
2020-08-17 14:30:00;69;95;2;0;0;0;3;0
2020-08-17 14:45:00;69;79;2;1;0;0;0;0
2020-08-17 15:00:00;39;48;3;3;0;0;1;0
2020-08-17 15:15:00;28;40;0;1;0;0;3;1
2020-08-17 15:30:00;80;74;2;0;0;0;0;0
2020-08-17 15:45:00;50;48;3;4;0;0;1;0
2020-08-17 16:00:00;57;44;4;6;0;0;0;0
2020-08-17 16:15:00;59;55;1;1;0;0;0;0
2020-08-17 16:30:00;58;38;5;4;0;0;0;0
2020-08-17 16:45:00;47;65;1;2;0;0;0;0
2020-08-17 17:00:00;61;50;3;1;0;0;0;0
2020-08-17 17:15:00;69;43;0;2;0;0;0;0
2020-08-17 17:30:00;64;53;2;3;0;0;0;0
2020-08-17 17:45:00;59;48;2;2;0;0;0;0
2020-08-17 18:00:00;55;39;3;1;0;0;0;0
2020-08-17 18:15:00;36;48;4;6;0;0;0;0
2020-08-17 18:30:00;43;38;4;6;0;0;1;6
2020-08-17 18:45:00;31;37;0;1;0;0;0;0
2020-08-17 19:00:00;45;36;1;1;0;0;2;0
2020-08-17 19:15:00;29;39;1;5;0;0;2;0
2020-08-17 19:30:00;30;30;1;0;0;0;0;0
2020-08-17 19:45:00;26;30;3;0;0;0;0;0
2020-08-17 20:00:00;29;18;0;0;0;0;0;0
2020-08-17 20:15:00;23;20;0;0;0;0;0;0
2020-08-17 20:30:00;38;27;2;1;0;0;0;0
2020-08-17 20:45:00;20;21;0;1;0;0;0;0
2020-08-17 21:00:00;16;11;2;2;0;0;0;0
2020-08-17 21:15:00;18;17;2;1;0;0;0;0
2020-08-17 21:30:00;16;11;3;1;0;0;0;0
2020-08-17 21:45:00;15;14;1;2;0;0;0;0
2020-08-17 22:00:00;18;16;3;1;0;0;2;0
2020-08-17 22:15:00;9;10;1;0;0;0;0;0
2020-08-17 22:30:00;2;8;0;0;0;0;0;0
2020-08-17 22:45:00;8;8;1;0;0;0;1;2
2020-08-17 23:00:00;12;10;0;0;0;0;0;0
2020-08-17 23:15:00;4;10;0;0;0;0;0;0
2020-08-17 23:30:00;7;8;1;2;0;0;0;0
2020-08-17 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
