DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2A);7(TA1C);8(TA2C)
2020-06-04 00:00:00;9;21;4;0;0;0;0;0
2020-06-04 00:15:00;9;8;8;0;0;0;0;0
2020-06-04 00:30:00;12;8;6;0;0;0;0;0
2020-06-04 00:45:00;1;10;5;0;0;0;0;0
2020-06-04 01:00:00;5;6;4;0;0;0;0;0
2020-06-04 01:15:00;5;8;5;0;0;0;0;0
2020-06-04 01:30:00;2;8;12;0;0;0;0;0
2020-06-04 01:45:00;4;13;4;0;0;0;0;0
2020-06-04 02:00:00;2;6;5;0;0;0;0;0
2020-06-04 02:15:00;5;6;1;0;0;0;0;0
2020-06-04 02:30:00;1;8;6;0;0;0;0;0
2020-06-04 02:45:00;6;4;2;0;0;0;0;0
2020-06-04 03:00:00;5;3;5;0;0;0;0;0
2020-06-04 03:15:00;2;1;3;0;0;0;0;0
2020-06-04 03:30:00;3;4;2;0;0;0;0;0
2020-06-04 03:45:00;5;9;4;0;0;0;0;0
2020-06-04 04:00:00;5;2;3;0;0;0;0;0
2020-06-04 04:15:00;7;12;2;0;0;0;0;0
2020-06-04 04:30:00;8;9;12;0;0;0;0;0
2020-06-04 04:45:00;10;26;30;0;0;0;0;0
2020-06-04 05:00:00;18;36;61;0;0;0;0;0
2020-06-04 05:15:00;17;52;121;0;2;0;0;0
2020-06-04 05:30:00;40;73;95;0;0;0;0;0
2020-06-04 05:45:00;90;111;66;0;0;0;0;0
2020-06-04 06:00:00;58;58;18;0;0;0;0;0
2020-06-04 06:15:00;8;19;9;0;0;0;0;0
2020-06-04 06:30:00;67;145;64;0;0;0;0;3
2020-06-04 06:45:00;57;113;74;0;3;4;5;3
2020-06-04 07:00:00;47;111;54;0;6;3;4;0
2020-06-04 07:15:00;45;109;57;0;8;2;0;8
2020-06-04 07:30:00;50;112;63;0;0;2;9;0
2020-06-04 07:45:00;61;113;83;0;2;2;12;2
2020-06-04 08:00:00;54;138;55;0;10;1;3;0
2020-06-04 08:30:00;58;101;41;0;1;0;2;1
2020-06-04 08:45:00;50;114;60;0;3;1;9;1
2020-06-04 09:00:00;59;109;44;0;9;4;10;1
2020-06-04 09:15:00;57;131;58;0;1;17;4;0
2020-06-04 09:30:00;59;125;75;0;2;0;2;0
2020-06-04 09:45:00;53;136;68;0;12;0;1;4
2020-06-04 10:00:00;72;146;50;0;5;0;2;6
2020-06-04 10:15:00;67;136;75;0;0;8;0;0
2020-06-04 10:30:00;62;145;71;0;17;2;5;5
2020-06-04 10:45:00;59;161;71;0;17;1;10;1
2020-06-04 11:00:00;71;151;58;0;1;0;4;1
2020-06-04 11:15:00;73;160;65;0;5;1;7;2
2020-06-04 11:30:00;55;140;67;0;4;7;12;1
2020-06-04 11:45:00;93;148;63;0;1;2;0;0
2020-06-04 12:00:00;83;162;80;0;3;6;6;2
2020-06-04 12:15:00;76;162;61;0;6;13;2;4
2020-06-04 12:30:00;68;171;79;0;13;2;1;10
2020-06-04 12:45:00;74;164;63;0;22;1;3;14
2020-06-04 13:00:00;73;176;64;0;12;5;10;7
2020-06-04 13:15:00;69;166;85;0;10;5;6;5
2020-06-04 13:30:00;82;191;108;0;17;2;11;15
2020-06-04 13:45:00;80;168;94;0;2;0;13;3
2020-06-04 14:00:00;124;167;87;0;10;5;12;8
2020-06-04 14:15:00;153;184;95;0;7;5;17;2
2020-06-04 14:30:00;162;194;75;0;12;6;16;9
2020-06-04 14:45:00;181;232;85;0;9;2;1;4
2020-06-04 15:00:00;161;232;62;0;19;1;4;5
2020-06-04 15:15:00;132;230;86;0;38;9;7;58
2020-06-04 15:30:00;118;244;86;0;33;4;15;32
2020-06-04 15:45:00;106;235;97;0;6;7;14;5
2020-06-04 16:00:00;130;216;105;0;2;7;59;0
2020-06-04 16:15:00;133;237;80;0;24;0;2;35
2020-06-04 16:30:00;121;223;80;0;4;0;0;16
2020-06-04 16:45:00;102;234;90;0;16;0;0;10
2020-06-04 17:00:00;119;244;105;0;4;1;9;6
2020-06-04 17:15:00;104;259;81;0;10;0;32;3
2020-06-04 17:30:00;88;204;93;0;11;1;7;3
2020-06-04 17:45:00;99;185;73;0;17;8;4;14
2020-06-04 18:00:00;87;170;66;0;11;2;1;2
2020-06-04 18:15:00;84;204;78;0;23;8;11;9
2020-06-04 18:30:00;71;160;68;0;20;1;2;10
2020-06-04 18:45:00;63;145;52;0;3;13;21;17
2020-06-04 19:00:00;59;156;69;0;8;0;0;6
2020-06-04 19:15:00;55;149;62;0;7;3;1;0
2020-06-04 19:30:00;50;110;54;0;7;2;0;0
2020-06-04 19:45:00;46;109;33;0;5;0;0;0
2020-06-04 20:00:00;44;98;42;0;4;2;4;4
2020-06-04 20:15:00;29;102;42;0;0;0;0;0
2020-06-04 20:30:00;30;61;37;0;5;0;0;1
2020-06-04 20:45:00;30;63;54;0;0;0;0;0
2020-06-04 21:00:00;37;48;66;0;0;0;0;0
2020-06-04 21:15:00;26;56;73;0;0;0;0;0
2020-06-04 21:30:00;34;57;65;0;0;0;0;0
2020-06-04 21:45:00;47;76;41;0;0;0;0;0
2020-06-04 22:00:00;71;85;29;0;0;0;0;0
2020-06-04 22:15:00;36;60;18;0;0;0;0;0
2020-06-04 22:30:00;22;41;19;0;0;0;0;0
2020-06-04 22:45:00;10;41;15;0;0;0;0;0
2020-06-04 23:00:00;16;30;20;0;0;0;0;0
2020-06-04 23:15:00;8;34;24;0;0;0;0;0
2020-06-04 23:30:00;10;17;11;0;0;0;0;0
2020-06-04 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
