DATUM;1(DA1);2(DA2);3(DA3);4(DC4);5(DC1);6(DC2);7(DD1);8(DD2);9(DE1);10(DE2);11(DF1);12(DH1);13(DB1)
2020-04-21 00:00:00;2;0;0;0;0;2;1;1;0;0;1267;0;0
2020-04-21 00:15:00;1;2;0;0;4;5;4;2;0;0;724;0;0
2020-04-21 00:30:00;1;1;0;0;7;6;2;1;0;0;1576;0;0
2020-04-21 00:45:00;2;0;0;0;0;2;2;0;0;0;719;0;0
2020-04-21 01:00:00;1;1;0;1;4;2;1;0;0;0;1345;0;0
2020-04-21 01:15:00;1;0;0;0;1;1;1;1;0;0;2557;0;0
2020-04-21 01:30:00;1;0;0;0;1;2;1;2;0;0;1256;0;0
2020-04-21 01:45:00;0;0;0;0;2;1;0;1;1;0;987;0;0
2020-04-21 02:00:00;3;0;0;0;1;1;0;1;2;1;612;0;0
2020-04-21 02:15:00;2;2;0;0;2;3;0;0;1;0;2390;0;0
2020-04-21 02:30:00;4;1;0;0;1;1;1;0;0;0;1861;0;0
2020-04-21 02:45:00;1;2;0;0;1;0;1;1;0;1;227;0;0
2020-04-21 03:00:00;3;2;0;0;4;4;1;1;0;0;942;0;0
2020-04-21 03:15:00;2;1;0;0;0;0;0;0;1;0;1356;0;0
2020-04-21 03:30:00;4;2;1;0;1;1;1;2;2;0;587;0;0
2020-04-21 03:45:00;1;0;0;0;1;1;2;0;0;0;1369;0;0
2020-04-21 04:00:00;1;0;0;0;2;2;2;4;1;2;2533;0;0
2020-04-21 04:15:00;0;0;0;0;1;0;0;1;1;0;934;0;0
2020-04-21 04:30:00;1;1;0;0;0;1;3;2;2;0;1222;0;0
2020-04-21 04:45:00;0;0;0;0;3;3;5;3;1;0;839;0;0
2020-04-21 05:00:00;1;1;1;1;10;7;11;6;0;2;1010;0;0
2020-04-21 05:15:00;2;0;0;1;16;14;14;11;5;4;1396;1;0
2020-04-21 05:30:00;9;4;0;0;16;14;28;25;10;5;325;1;0
2020-04-21 05:45:00;4;5;0;1;12;14;36;26;29;8;1443;0;1
2020-04-21 06:00:00;8;6;1;3;22;23;22;26;30;12;3;0;1
2020-04-21 06:15:00;12;9;0;1;29;22;41;21;31;11;7;2;3
2020-04-21 06:30:00;12;9;1;2;31;35;55;51;35;16;9;1;1
