DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2);10(DE1);11(DF1);12(TAFGA)
2019-11-26 00:00:00;1;2;3;2;2;0;4;0;1;0;0;0
2019-11-26 00:15:00;1;9;10;3;4;3;5;1;2;0;0;0
2019-11-26 00:30:00;0;4;4;0;1;1;5;0;0;0;0;0
2019-11-26 00:45:00;0;1;2;0;0;3;8;0;0;0;0;0
2019-11-26 01:00:00;0;0;0;0;0;1;1;0;0;0;0;0
2019-11-26 01:15:00;0;0;0;0;0;0;5;0;0;0;0;0
2019-11-26 01:30:00;0;0;0;0;1;0;1;0;0;0;0;0
2019-11-26 01:45:00;1;1;1;1;1;0;1;0;0;0;0;0
2019-11-26 02:00:00;0;0;0;0;1;0;2;0;0;0;0;0
2019-11-26 02:15:00;0;0;0;0;0;1;1;0;0;0;0;0
2019-11-26 02:30:00;1;1;1;0;0;0;1;0;0;0;0;0
2019-11-26 02:45:00;2;2;1;1;0;0;3;0;1;0;0;0
2019-11-26 03:00:00;0;2;2;0;2;0;1;2;2;0;0;0
2019-11-26 03:15:00;2;1;2;0;0;0;0;0;0;0;0;0
2019-11-26 03:30:00;0;0;1;0;0;1;2;1;1;0;0;0
2019-11-26 03:45:00;2;2;3;1;1;0;0;0;0;0;0;0
2019-11-26 04:00:00;1;2;2;0;0;0;2;0;0;0;0;0
2019-11-26 04:15:00;1;0;1;0;0;0;2;0;0;0;0;0
2019-11-26 04:30:00;3;2;5;0;0;0;4;0;0;0;0;0
2019-11-26 04:45:00;1;2;3;0;0;2;10;0;0;1;0;0
2019-11-26 05:00:00;3;3;3;0;0;4;17;0;1;1;0;0
2019-11-26 05:15:00;4;7;8;0;1;6;28;0;0;2;0;0
2019-11-26 05:30:00;16;12;18;1;2;7;46;0;1;0;254;0
2019-11-26 05:45:00;53;44;58;0;1;6;26;0;0;1;0;0
2019-11-26 06:00:00;35;33;42;0;1;4;30;0;1;2;0;0
2019-11-26 06:15:00;24;11;20;1;1;6;38;0;0;0;0;0
2019-11-26 06:30:00;17;18;22;1;2;12;58;0;2;1;0;0
2019-11-26 06:45:00;28;36;41;2;3;15;58;0;2;2;0;0
2019-11-26 07:00:00;27;19;26;0;0;9;56;1;4;2;0;0
2019-11-26 07:15:00;41;33;45;2;3;13;60;0;2;2;0;0
2019-11-26 07:30:00;61;25;49;1;3;11;59;0;0;4;0;0
2019-11-26 07:45:00;49;43;58;1;3;18;76;0;1;7;0;4
2019-11-26 08:00:00;54;45;62;3;1;20;69;0;5;1;0;0
2019-11-26 08:15:00;45;50;64;1;4;12;47;1;4;2;0;0
2019-11-26 08:30:00;67;58;79;4;9;12;50;0;10;0;0;2
2019-11-26 08:45:00;65;74;84;7;11;14;45;0;7;1;0;0
2019-11-26 11:45:00;31;28;28;10;14;15;30;8;11;0;0;0
2019-11-26 12:00:00;58;71;66;28;21;41;88;26;25;0;0;6
2019-11-26 12:15:00;53;59;61;34;30;40;81;12;23;1;0;1
2019-11-26 12:30:00;58;52;57;39;17;54;98;42;26;1;0;3
2019-11-26 12:45:00;47;64;67;34;26;35;88;18;23;0;0;3
2019-11-26 13:00:00;50;55;61;23;22;31;90;20;23;0;0;3
2019-11-26 13:15:00;44;60;69;35;23;37;89;21;26;0;0;3
2019-11-26 13:30:00;51;53;67;30;24;34;70;25;19;6;0;1
2019-11-26 13:45:00;64;66;59;17;21;42;78;9;12;2;0;2
2019-11-26 14:00:00;72;72;77;17;32;37;71;17;14;4;0;2
2019-11-26 14:15:00;82;73;77;24;19;35;72;12;19;0;0;0
2019-11-26 14:30:00;75;84;114;20;19;28;63;15;20;4;0;0
2019-11-26 14:45:00;77;66;73;20;20;24;63;22;25;1;0;0
2019-11-26 15:00:00;89;81;82;27;19;37;74;15;22;2;0;0
2019-11-26 15:15:00;110;92;99;28;26;34;79;31;62;1;0;1
2019-11-26 15:30:00;96;79;84;20;20;27;70;21;25;3;0;3
2019-11-26 15:45:00;96;95;129;24;25;29;77;17;21;1;0;5
2019-11-26 16:00:00;104;97;128;17;18;40;88;21;22;2;0;5
2019-11-26 16:15:00;105;110;111;20;19;30;74;15;22;1;0;2
2019-11-26 16:30:00;93;103;98;16;23;39;93;14;16;1;0;0
2019-11-26 16:45:00;83;96;88;25;34;33;65;28;35;3;0;0
2019-11-26 17:00:00;104;98;88;21;33;46;94;28;51;1;0;9
2019-11-26 17:15:00;99;109;107;16;31;39;79;32;35;2;0;4
2019-11-26 17:30:00;105;90;104;27;15;40;97;19;29;2;0;3
2019-11-26 17:45:00;103;109;96;26;29;35;71;23;23;3;0;7
2019-11-26 18:00:00;73;84;102;31;20;31;90;27;20;4;0;3
2019-11-26 18:15:00;71;76;97;32;22;36;95;16;27;1;0;0
2019-11-26 18:30:00;50;75;72;36;25;35;96;20;27;2;0;3
2019-11-26 18:45:00;52;67;72;29;27;43;91;19;20;0;0;10
2019-11-26 19:00:00;41;57;64;33;14;26;85;18;20;1;0;4
2019-11-26 19:15:00;58;60;70;20;15;38;73;11;13;0;0;0
2019-11-26 19:30:00;45;44;87;28;11;41;92;18;16;2;0;0
2019-11-26 19:45:00;27;31;46;27;22;24;73;22;16;0;0;0
2019-11-26 20:00:00;18;38;50;45;28;46;127;13;9;0;0;10
2019-11-26 20:15:00;13;27;120;24;11;23;68;8;4;0;0;0
2019-11-26 20:30:00;14;28;40;10;8;9;51;511;2;0;0;0
2019-11-26 20:45:00;14;19;28;7;10;16;53;258;1;0;0;2
