DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2);10(DE1);11(DF1);12(TAFGA)
2020-02-10 00:00:00;0;1;1;0;2;1;6;0;0;0;0;0
2020-02-10 00:15:00;1;1;1;1;1;0;0;0;0;0;0;0
2020-02-10 00:30:00;0;3;3;0;3;1;6;0;0;0;0;0
2020-02-10 00:45:00;1;1;1;0;0;1;2;1;1;0;0;0
2020-02-10 01:00:00;0;0;0;2;1;1;2;0;0;0;0;0
2020-02-10 01:15:00;0;2;2;0;0;0;2;1;1;0;0;0
2020-02-10 01:30:00;2;3;5;0;0;1;4;0;0;0;0;0
2020-02-10 01:45:00;0;0;0;0;0;0;1;0;0;0;0;0
2020-02-10 02:00:00;0;0;0;0;0;1;2;0;0;0;0;0
2020-02-10 02:15:00;1;0;1;0;0;0;1;0;0;0;0;0
2020-02-10 02:30:00;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-10 02:45:00;0;0;0;0;0;1;1;0;0;0;0;0
2020-02-10 03:00:00;0;0;0;1;0;0;0;0;0;0;0;0
2020-02-10 03:15:00;0;1;1;0;0;2;3;0;0;0;0;0
2020-02-10 03:30:00;0;0;0;0;0;0;1;0;0;0;0;0
2020-02-10 03:45:00;0;0;0;1;1;0;0;0;0;0;0;0
2020-02-10 04:00:00;0;0;0;0;0;0;1;0;0;0;0;0
2020-02-10 04:15:00;0;0;0;0;0;0;2;0;0;0;0;0
2020-02-10 04:30:00;1;1;1;0;0;0;3;0;0;0;0;0
2020-02-10 04:45:00;3;5;5;0;0;2;9;0;0;0;0;0
2020-02-10 05:00:00;1;3;8;0;0;2;28;1;1;0;0;0
2020-02-10 05:15:00;3;11;11;0;2;5;36;0;0;0;0;0
2020-02-10 05:30:00;12;4;13;1;1;10;49;255;1;0;254;0
2020-02-10 05:45:00;16;16;23;1;1;2;26;4;2;0;0;0
2020-02-10 06:00:00;14;11;14;0;1;10;27;0;1;0;0;0
2020-02-10 06:15:00;16;10;15;0;1;6;30;0;0;0;0;0
2020-02-10 06:30:00;15;13;17;1;1;7;37;255;1;0;0;0
2020-02-10 06:45:00;12;16;22;2;1;14;56;0;2;0;0;0
2020-02-10 07:00:00;29;21;31;6;4;17;54;1;1;1;0;0
2020-02-10 07:15:00;22;31;46;2;3;15;74;0;2;1;0;0
2020-02-10 07:30:00;27;24;28;1;4;15;56;0;4;1;0;0
2020-02-10 07:45:00;29;33;37;1;3;17;65;0;1;1;0;0
2020-02-10 08:00:00;62;42;62;5;12;19;41;1;3;0;0;0
2020-02-10 08:15:00;34;33;39;5;5;10;47;262;8;2;0;0
2020-02-10 08:30:00;29;38;41;0;4;10;35;256;2;0;0;0
2020-02-10 08:45:00;46;41;51;8;12;14;43;6;6;0;0;0
2020-02-10 09:00:00;33;46;57;67;9;14;39;258;7;2;0;0
2020-02-10 09:15:00;40;37;50;3;6;7;31;266;15;0;0;0
2020-02-10 09:30:00;54;41;47;11;4;10;34;18;24;0;0;0
2020-02-10 09:45:00;52;41;51;5;10;19;31;261;11;0;0;0
2020-02-10 10:00:00;45;45;45;7;13;25;39;15;13;0;0;0
2020-02-10 10:15:00;44;40;42;12;13;13;51;16;14;1;0;0
2020-02-10 10:30:00;56;48;62;11;19;19;41;17;23;0;0;2
2020-02-10 10:45:00;39;36;41;14;16;23;57;11;19;0;0;0
2020-02-10 11:00:00;60;50;61;5;9;19;43;14;15;0;0;2
2020-02-10 11:15:00;46;48;57;9;20;29;56;19;17;0;0;1
2020-02-10 11:30:00;47;54;57;14;12;21;64;14;20;0;0;1
2020-02-10 11:45:00;61;61;69;19;19;31;59;12;22;0;0;0
2020-02-10 12:00:00;49;59;53;14;18;34;61;15;18;0;0;0
2020-02-10 12:15:00;51;56;69;16;11;43;91;15;18;0;0;1
2020-02-10 12:30:00;33;53;55;15;14;28;65;17;19;0;0;4
2020-02-10 12:45:00;48;57;86;18;15;28;76;17;23;0;0;0
2020-02-10 13:00:00;37;51;53;21;14;26;64;16;12;1;0;0
2020-02-10 13:15:00;33;46;49;10;18;36;77;17;18;0;0;0
2020-02-10 13:30:00;55;45;55;21;16;28;73;9;14;1;0;0
2020-02-10 13:45:00;54;51;55;11;13;32;60;266;17;0;0;0
2020-02-10 14:00:00;72;62;68;14;12;30;67;14;13;0;0;0
2020-02-10 14:15:00;99;77;91;20;17;28;54;7;21;1;0;0
2020-02-10 14:30:00;80;81;88;15;12;23;65;18;23;0;0;0
2020-02-10 14:45:00;81;78;116;11;17;21;65;22;26;0;0;1
2020-02-10 15:00:00;91;77;92;11;13;30;65;17;26;0;0;0
2020-02-10 15:15:00;105;83;84;22;18;21;52;17;22;2;0;0
2020-02-10 15:30:00;96;92;96;17;21;33;85;25;21;0;0;1
2020-02-10 15:45:00;95;76;87;20;16;36;76;16;22;1;0;0
2020-02-10 16:00:00;95;84;93;15;21;40;83;19;18;2;0;0
2020-02-10 16:15:00;99;77;87;27;22;38;87;40;26;1;0;1
2020-02-10 16:30:00;100;64;75;10;16;25;67;23;26;2;0;2
2020-02-10 16:45:00;
2020-02-10 17:00:00;
2020-02-10 17:15:00;8;8;10;3;2;2;6;0;1;0;0;0
2020-02-10 17:30:00;114;98;106;25;21;30;78;17;31;3;0;0
2020-02-10 17:45:00;106;79;90;24;17;35;90;22;27;0;0;2
