DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(DF1);10(DF2);11(D11RES);12(D12RES);13(D13RES);14(D14RES)
2019-12-05 00:00:00;6;5;8;1;7;5;3;1;3;4;0;0;0;0
2019-12-05 00:15:00;10;8;14;4;4;5;4;2;4;6;0;0;0;0
2019-12-05 00:30:00;2;5;16;3;6;1;4;0;2;3;0;0;0;0
2019-12-05 00:45:00;4;4;6;1;3;4;3;3;3;1;0;0;0;0
2019-12-05 01:00:00;2;2;4;1;5;3;1;0;1;2;0;0;0;0
2019-12-05 01:15:00;0;3;6;1;5;4;1;0;2;0;0;0;0;0
2019-12-05 01:30:00;0;2;3;1;2;6;0;0;1;0;0;0;0;0
2019-12-05 01:45:00;0;3;7;0;5;1;2;0;0;1;0;0;0;0
2019-12-05 02:00:00;1;0;3;1;6;2;1;0;5;4;0;0;0;0
2019-12-05 02:15:00;1;1;0;0;3;0;0;0;1;2;0;0;0;0
2019-12-05 02:30:00;2;3;8;0;3;2;2;0;0;2;0;0;0;0
2019-12-05 02:45:00;2;4;1;1;3;5;0;0;0;5;0;0;0;0
2019-12-05 03:00:00;1;1;3;0;5;2;0;0;0;0;0;0;0;0
2019-12-05 03:15:00;2;3;7;1;0;1;1;0;1;0;0;0;0;0
2019-12-05 03:30:00;4;0;2;0;2;3;1;1;3;2;0;0;0;0
2019-12-05 03:45:00;3;4;2;1;6;4;1;0;0;4;0;0;0;0
2019-12-05 04:00:00;6;3;7;1;6;3;2;0;1;4;0;0;0;0
2019-12-05 04:15:00;6;1;6;2;8;7;3;1;4;3;0;0;0;0
2019-12-05 04:30:00;12;8;11;1;5;6;0;0;2;5;0;0;0;0
2019-12-05 04:45:00;16;14;8;3;14;9;2;0;4;10;0;0;0;0
2019-12-05 05:00:00;34;42;24;6;7;12;6;0;11;20;0;0;0;0
2019-12-05 05:15:00;99;78;34;11;13;15;5;4;9;23;0;0;0;0
2019-12-05 05:30:00;98;82;44;29;19;22;15;6;14;22;0;0;0;0
2019-12-05 05:45:00;89;76;54;35;22;21;24;8;41;51;0;0;0;0
2019-12-05 06:00:00;71;48;48;43;40;37;18;7;52;55;0;0;0;0
2019-12-05 06:15:00;112;80;70;47;44;50;26;9;28;50;0;0;0;0
2019-12-05 06:30:00;135;73;77;65;47;53;23;9;31;35;0;0;0;0
2019-12-05 06:45:00;125;90;90;67;45;50;25;17;29;31;0;0;0;0
2019-12-05 07:00:00;142;90;93;76;57;59;45;23;37;26;0;0;0;0
2019-12-05 07:15:00;149;106;108;81;51;54;59;26;39;42;0;0;0;0
2019-12-05 07:30:00;142;100;81;62;88;56;67;53;58;64;0;0;0;0
2019-12-05 07:45:00;153;102;88;76;74;69;67;45;53;51;0;0;0;0
2019-12-05 08:00:00;137;91;87;71;56;62;44;21;43;45;0;0;0;0
2019-12-05 08:15:00;129;77;80;73;64;61;50;26;43;49;0;0;0;0
2019-12-05 08:30:00;122;84;109;86;67;92;41;24;47;63;0;0;0;0
2019-12-05 08:45:00;103;64;96;57;50;62;32;23;43;40;0;0;0;0
2019-12-05 09:00:00;72;40;82;63;37;33;33;20;25;34;0;0;0;0
2019-12-05 09:15:00;84;52;89;60;53;67;37;18;42;38;0;0;0;0
2019-12-05 09:30:00;82;46;108;69;67;76;58;25;45;43;0;0;0;0
2019-12-05 09:45:00;43;28;83;44;64;56;35;26;28;43;0;0;0;0
2019-12-05 10:00:00;61;41;84;53;59;69;46;20;46;48;0;0;0;0
2019-12-05 10:15:00;57;44;91;57;75;63;41;13;32;43;0;0;0;0
2019-12-05 10:30:00;44;40;97;49;68;62;40;17;41;44;0;0;0;0
2019-12-05 10:45:00;54;37;88;51;71;79;34;16;34;49;0;0;0;0
2019-12-05 11:00:00;60;50;114;61;77;59;35;19;38;48;0;0;0;0
2019-12-05 11:15:00;59;52;101;60;94;78;39;22;36;48;0;0;0;0
2019-12-05 11:30:00;66;38;92;62;81;72;30;16;64;63;0;0;0;0
2019-12-05 11:45:00;67;34;85;56;80;65;35;16;46;51;0;0;0;0
