DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DB4);8(DB5);9(DB6);10(DB7);11(DC1);12(DC2);13(DD1);14(DD2);15(RES1);16(RES2);17(RES3)
2020-12-24 00:00:00;2;1;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-12-24 00:15:00;0;0;2;1;1;3;1;0;4;0;1;2;0;0;0;0;0
2020-12-24 00:30:00;3;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2020-12-24 00:45:00;0;4;2;0;0;3;0;0;2;0;0;0;0;0;0;0;0
2020-12-24 01:00:00;0;0;1;0;0;3;0;0;2;1;0;0;0;0;0;0;0
2020-12-24 01:15:00;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0
2020-12-24 01:30:00;0;0;1;0;0;2;0;0;2;0;0;0;0;0;0;0;0
2020-12-24 01:45:00;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 02:00:00;0;1;0;2;0;1;2;0;2;1;0;0;0;0;0;0;0
2020-12-24 02:15:00;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-12-24 02:30:00;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
2020-12-24 02:45:00;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-12-24 03:00:00;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 03:15:00;0;1;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0
2020-12-24 03:30:00;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-24 03:45:00;2;3;0;1;1;1;1;0;2;0;0;0;0;0;0;0;0
2020-12-24 04:00:00;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-12-24 04:15:00;0;3;2;0;0;2;0;0;2;1;0;0;0;0;0;0;0
2020-12-24 04:30:00;2;6;1;0;0;2;0;0;1;0;0;2;0;0;0;0;0
2020-12-24 04:45:00;3;3;2;0;0;3;0;0;3;0;0;1;0;0;0;0;0
2020-12-24 05:00:00;0;2;5;0;0;1;0;0;1;0;1;2;0;0;0;0;0
2020-12-24 05:15:00;2;5;0;1;1;4;1;1;7;0;0;1;0;0;0;0;0
2020-12-24 05:30:00;6;18;5;0;0;6;0;0;5;0;0;2;0;0;0;0;0
2020-12-24 05:45:00;0;3;1;0;0;5;0;0;4;1;0;1;0;0;0;0;0
2020-12-24 06:00:00;1;5;1;0;0;4;0;0;4;0;4;3;0;0;0;0;0
2020-12-24 06:15:00;0;10;4;0;0;8;0;0;9;1;1;0;0;0;0;0;0
2020-12-24 06:30:00;0;11;4;2;2;9;0;1;9;1;2;1;0;0;0;0;0
2020-12-24 06:45:00;0;6;1;0;0;5;0;0;5;0;1;1;0;0;0;0;0
2020-12-24 07:00:00;3;10;6;0;0;14;0;0;14;1;0;4;0;0;0;0;0
2020-12-24 07:15:00;0;9;2;0;1;7;0;1;6;1;0;0;0;0;0;0;0
2020-12-24 07:30:00;3;7;4;0;0;11;0;0;11;0;0;0;0;0;0;0;0
2020-12-24 07:45:00;1;8;7;0;0;13;0;0;13;0;2;2;0;0;0;0;0
2020-12-24 08:00:00;2;20;9;0;0;5;1;0;6;0;1;0;0;0;0;0;0
2020-12-24 08:15:00;1;20;3;0;0;15;0;0;16;1;1;0;0;0;0;0;0
2020-12-24 08:30:00;2;16;7;2;0;19;3;0;19;4;2;3;1;0;0;0;0
2020-12-24 08:45:00;1;25;10;1;1;17;2;0;19;1;0;3;2;0;0;0;0
2020-12-24 09:00:00;5;28;9;1;0;17;2;0;19;1;2;5;0;0;0;0;0
2020-12-24 09:15:00;3;29;9;2;0;11;2;0;15;0;3;11;0;0;0;0;0
2020-12-24 09:30:00;5;29;20;5;4;17;5;0;22;2;1;6;0;0;0;0;0
2020-12-24 09:45:00;2;33;25;1;1;21;2;1;21;1;0;1;0;0;0;0;0
2020-12-24 10:00:00;6;35;24;2;0;16;3;0;15;2;5;5;0;0;0;0;0
2020-12-24 10:15:00;1;41;24;0;1;17;0;1;19;1;0;6;0;0;0;0;0
2020-12-24 10:30:00;1;42;31;1;0;31;1;0;32;0;4;2;0;0;0;0;0
2020-12-24 10:45:00;4;44;24;0;0;36;0;0;37;0;2;4;0;0;0;0;0
2020-12-24 11:00:00;6;47;32;6;0;29;7;0;30;4;5;6;0;0;0;0;0
2020-12-24 11:15:00;10;42;29;3;1;49;2;0;52;2;5;6;0;0;0;0;0
2020-12-24 11:30:00;3;51;26;1;0;30;1;0;29;1;3;8;0;0;0;0;0
2020-12-24 11:45:00;7;43;31;2;1;40;5;1;42;2;2;11;0;0;0;0;0
2020-12-24 12:00:00;6;44;44;1;0;41;1;0;40;1;2;4;0;0;0;0;0
2020-12-24 12:15:00;2;43;24;1;1;39;1;0;35;1;3;5;1;0;0;0;0
2020-12-24 12:30:00;5;44;13;0;0;35;0;0;36;0;3;5;0;0;0;0;0
2020-12-24 12:45:00;13;48;30;4;1;30;2;1;31;3;4;3;0;0;0;0;0
2020-12-24 13:00:00;5;53;22;1;0;42;1;0;38;1;5;4;0;0;0;0;0
2020-12-24 13:15:00;6;43;31;1;0;30;1;0;30;0;2;7;0;0;0;0;0
2020-12-24 13:30:00;7;47;22;2;0;32;2;0;33;2;2;5;0;0;0;0;0
2020-12-24 13:45:00;3;44;28;0;0;38;0;0;37;0;4;5;0;0;0;0;0
2020-12-24 14:00:00;13;18;24;2;0;28;3;0;30;2;6;6;0;0;0;0;0
2020-12-24 14:15:00;7;40;28;6;0;41;6;0;43;2;1;9;0;0;0;0;0
2020-12-24 14:30:00;10;46;22;0;0;32;0;0;35;0;4;5;0;0;0;0;0
2020-12-24 14:45:00;8;33;31;5;2;48;6;1;49;3;3;9;0;0;0;0;0
2020-12-24 15:00:00;6;28;16;0;2;43;1;2;38;1;3;8;0;0;0;0;0
2020-12-24 15:15:00;7;42;33;4;3;30;4;2;31;3;1;3;1;0;0;0;0
2020-12-24 15:30:00;4;28;20;0;2;32;1;1;36;0;7;11;0;0;0;0;0
2020-12-24 15:45:00;1;51;23;0;0;33;0;0;31;1;3;3;0;0;0;0;0
2020-12-24 16:00:00;4;38;19;3;0;27;4;0;32;3;1;5;0;0;0;0;0
2020-12-24 16:15:00;1;37;20;0;0;28;0;0;24;0;0;3;0;0;0;0;0
2020-12-24 16:30:00;4;40;19;1;1;18;1;1;20;2;2;6;1;0;0;0;0
2020-12-24 16:45:00;8;33;10;1;0;22;1;0;24;1;4;6;0;0;0;0;0
2020-12-24 17:00:00;1;14;11;0;0;16;0;0;16;0;3;5;0;0;0;0;0
2020-12-24 17:15:00;2;12;14;0;0;23;1;0;21;0;5;7;0;0;0;0;0
2020-12-24 17:30:00;6;19;12;2;4;17;1;2;18;3;0;2;0;0;0;0;0
2020-12-24 17:45:00;2;13;16;1;1;9;1;1;9;2;2;3;0;0;0;0;0
2020-12-24 18:00:00;4;15;7;3;1;10;3;0;11;3;1;6;0;0;0;0;0
2020-12-24 18:15:00;3;10;8;0;0;14;0;0;14;0;1;5;0;0;0;0;0
2020-12-24 18:30:00;2;9;6;1;0;13;1;0;12;1;0;3;0;0;0;0;0
2020-12-24 18:45:00;1;3;10;0;0;11;0;0;9;0;0;0;0;0;0;0;0
