DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DD1);8(TAFBAC2);9(TAFBA2C);10(TAFBBD2);11(TAFBB2D)
2020-11-22 00:00:00;10;8;2;4;0;8;2;0;0;0;0
2020-11-22 00:15:00;13;17;1;2;0;9;5;0;0;0;0
2020-11-22 00:30:00;16;9;4;1;0;5;3;0;0;0;0
2020-11-22 00:45:00;6;4;3;6;0;7;1;0;0;0;0
2020-11-22 01:00:00;12;5;0;2;0;9;2;0;0;0;0
2020-11-22 01:15:00;11;5;2;1;0;7;1;0;0;0;0
2020-11-22 01:30:00;6;4;1;7;0;4;0;0;0;0;0
2020-11-22 01:45:00;11;7;4;3;0;3;1;2;0;0;0
2020-11-22 02:00:00;4;5;0;1;0;2;1;0;0;0;0
2020-11-22 02:15:00;5;3;0;4;0;5;0;0;0;0;0
2020-11-22 02:30:00;1;5;1;1;0;1;0;0;0;0;0
2020-11-22 02:45:00;6;3;1;1;0;3;2;0;0;0;0
2020-11-22 03:00:00;4;1;0;0;0;4;0;0;0;0;0
2020-11-22 03:15:00;6;2;1;2;0;4;1;0;0;0;0
2020-11-22 03:30:00;5;3;0;0;0;1;1;0;0;0;0
2020-11-22 03:45:00;2;2;0;1;0;1;0;0;0;0;0
2020-11-22 04:00:00;4;2;1;0;0;5;0;0;0;0;0
2020-11-22 04:15:00;8;5;1;0;0;2;1;0;0;0;0
2020-11-22 04:30:00;2;0;0;2;0;4;1;0;0;0;0
2020-11-22 04:45:00;3;0;0;2;0;2;1;0;0;0;0
2020-11-22 05:00:00;5;2;0;1;0;4;0;0;0;0;0
2020-11-22 05:15:00;6;3;0;1;0;3;2;0;0;0;0
2020-11-22 05:30:00;7;9;0;2;0;10;1;0;0;0;0
2020-11-22 05:45:00;7;2;0;3;0;7;2;0;0;0;0
2020-11-22 06:00:00;10;6;0;1;0;8;0;0;0;0;0
2020-11-22 06:15:00;6;4;2;2;0;5;5;0;0;0;0
2020-11-22 06:30:00;3;1;2;1;0;5;3;0;0;0;0
