DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DD1);10(DD2);11(DRES1);12(DRES2);13(DRES3);14(DRES4);15(TARDB);16(TAFGA);17(TAFBA);18(TAFBB);19(TAFBD)
2019-10-21 00:00:00;15;20;9;0;8;8;6;6;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 00:15:00;11;17;6;0;20;19;3;7;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 00:30:00;22;27;11;1;11;11;9;11;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 00:45:00;23;24;7;0;7;6;4;6;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 01:00:00;23;37;8;0;5;6;5;8;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 01:15:00;23;27;8;0;5;5;5;8;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 01:30:00;13;21;6;0;3;4;5;8;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 01:45:00;35;44;19;0;7;7;9;19;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 02:00:00;15;30;11;1;6;7;9;16;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 02:15:00;39;47;9;0;4;5;6;8;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 02:30:00;20;24;6;0;5;7;3;6;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 02:45:00;13;17;5;0;5;5;2;4;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 03:00:00;10;12;4;0;6;7;2;3;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 03:15:00;15;19;4;0;6;9;2;4;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 03:30:00;9;10;2;0;9;8;2;3;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 03:45:00;12;17;4;1;9;6;3;4;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 04:00:00;16;17;4;1;7;9;3;3;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 04:15:00;18;21;3;1;16;15;1;3;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 04:30:00;44;40;8;1;12;14;8;9;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 04:45:00;39;54;28;3;19;23;17;24;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 05:00:00;54;67;35;9;37;32;22;38;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 05:15:00;94;138;73;5;45;38;43;71;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 05:30:00;69;111;60;8;43;32;41;71;0;0;0;0;0;0;0;4;0;0;0
2019-10-21 05:45:00;73;93;63;6;47;39;25;64;0;0;0;0;0;0;0;0;0;0;0
2019-10-21 06:00:00;73;110;79;11;59;55;47;81;2;0;0;0;0;0;0;5;0;0;0
2019-10-21 06:15:00;91;122;76;15;68;60;40;76;6;2;0;0;0;0;0;2;0;0;0
2019-10-21 06:30:00;92;142;89;26;82;55;51;97;4;3;0;0;0;0;1;8;0;0;0
2019-10-21 06:45:00;106;139;83;19;85;81;41;85;4;2;0;0;0;0;0;20;2;0;0
2019-10-21 07:00:00;102;137;92;16;71;71;43;102;3;2;0;0;0;0;0;2;0;0;0
2019-10-21 07:15:00;102;148;80;27;74;75;44;90;0;2;0;0;0;0;0;34;0;0;0
2019-10-21 07:30:00;103;127;81;31;94;95;37;87;2;2;0;0;0;0;1;47;0;0;0
2019-10-21 07:45:00;103;152;97;39;111;115;58;102;5;6;0;0;0;0;0;2;0;0;0
2019-10-21 08:00:00;104;129;96;22;86;93;55;102;6;3;0;0;0;0;0;12;0;0;0
2019-10-21 08:15:00;107;131;80;23;91;74;41;76;9;5;0;0;0;0;0;14;0;0;0
2019-10-21 08:30:00;113;138;87;15;85;90;43;85;5;3;0;0;0;0;1;11;0;0;0
2019-10-21 08:45:00;116;144;86;24;89;123;57;94;11;7;0;0;0;0;0;8;0;3;0
2019-10-21 09:00:00;117;137;80;14;89;102;44;64;15;7;0;0;0;0;0;8;0;0;0
2019-10-21 09:15:00;113;126;77;26;94;95;47;90;12;13;0;0;0;0;0;13;3;0;0
2019-10-21 09:30:00;128;143;82;21;96;89;51;63;14;7;0;0;0;0;0;13;0;0;0
2019-10-21 09:45:00;104;127;82;21;107;110;52;82;19;12;0;0;0;0;0;20;0;0;0
2019-10-21 10:00:00;115;151;101;19;100;96;48;98;20;10;0;0;0;0;0;16;0;0;2
2019-10-21 10:15:00;112;124;79;22;103;117;48;67;17;15;0;0;0;0;0;21;1;0;4
2019-10-21 10:30:00;127;129;89;20;113;125;50;76;13;15;0;0;0;0;0;52;7;0;1
2019-10-21 10:45:00;125;148;92;21;110;110;49;76;14;18;0;0;0;0;0;19;0;0;3
2019-10-21 11:00:00;124;133;80;23;105;116;50;58;21;19;0;0;0;0;0;18;0;2;0
2019-10-21 11:15:00;107;141;72;15;108;117;48;65;23;21;0;0;0;0;0;22;0;0;15
2019-10-21 11:30:00;107;133;97;16;107;126;57;107;19;13;0;0;0;0;1;15;0;0;0
2019-10-21 11:45:00;100;112;81;18;128;144;58;103;22;14;0;0;0;0;2;21;0;0;0
2019-10-21 12:00:00;114;123;72;19;124;129;51;77;20;17;0;0;0;0;0;17;7;0;0
2019-10-21 12:15:00;101;93;62;17;124;126;49;67;27;21;0;0;0;0;0;13;0;0;1
