DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DC1);7(DC2);8(DD1);9(DD2);10(DD3);11(TAFBA);12(TAFBA2);13(TAFBB);14(TAFBC);15(TAFBC2);16(TAFBD);17(TAFBE)
2020-09-04 00:00:00;6;4;4;3;0;2;2;1;5;3;0;0;0;0;0;0;0
2020-09-04 00:15:00;2;3;7;4;1;1;3;5;7;3;0;0;0;0;0;1;0
2020-09-04 00:30:00;7;3;4;11;3;1;2;2;2;7;0;0;0;0;0;0;0
2020-09-04 00:45:00;7;2;5;2;3;1;3;2;7;6;0;0;0;0;0;0;0
2020-09-04 01:00:00;5;2;3;2;1;0;2;4;5;0;0;0;0;0;0;0;0
2020-09-04 01:15:00;2;2;4;2;2;2;1;5;3;3;0;0;0;0;0;0;0
2020-09-04 01:30:00;9;2;0;3;1;1;1;1;1;6;0;0;0;0;0;0;0
2020-09-04 01:45:00;3;1;1;1;2;0;2;3;1;2;0;0;0;0;0;0;0
2020-09-04 02:00:00;6;3;2;2;3;0;0;0;3;3;0;0;0;0;0;0;0
2020-09-04 02:15:00;2;0;2;5;0;1;0;2;4;0;0;0;0;0;0;0;0
2020-09-04 02:30:00;3;1;1;1;0;0;1;0;3;0;0;0;0;0;0;0;0
2020-09-04 02:45:00;5;1;0;0;0;0;2;3;3;3;0;0;0;0;0;0;0
2020-09-04 03:00:00;3;2;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0
2020-09-04 03:15:00;1;1;0;0;0;1;1;4;3;1;0;0;0;0;0;0;0
2020-09-04 03:30:00;3;2;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0
2020-09-04 03:45:00;2;2;0;0;0;0;1;0;3;5;0;0;0;0;0;0;0
2020-09-04 04:00:00;4;3;1;0;0;0;1;1;5;3;0;0;0;0;0;0;0
2020-09-04 04:15:00;2;1;0;3;0;2;0;0;3;1;0;0;2;0;0;0;0
2020-09-04 04:30:00;9;2;1;1;1;2;4;2;4;5;0;0;0;0;0;0;0
2020-09-04 04:45:00;16;1;2;10;0;1;6;6;8;10;0;0;0;0;0;0;0
2020-09-04 05:00:00;41;3;14;22;3;0;4;12;12;5;0;0;0;0;0;0;0
2020-09-04 05:15:00;84;3;41;63;1;0;7;12;8;12;0;0;0;0;0;0;0
2020-09-04 05:30:00;84;3;50;54;2;2;28;17;30;26;0;0;0;0;0;0;0
2020-09-04 05:45:00;43;4;28;34;2;9;15;64;61;73;1;0;0;0;3;0;0
2020-09-04 06:00:00;48;12;23;26;2;9;13;74;65;99;0;0;0;0;1;0;0
2020-09-04 06:15:00;44;2;30;27;7;1;7;42;42;41;0;0;0;0;0;0;0
2020-09-04 06:30:00;62;13;38;52;4;3;23;20;33;26;0;0;0;1;0;0;0
2020-09-04 06:45:00;38;10;46;51;11;6;24;21;25;15;0;0;0;0;0;0;0
2020-09-04 07:00:00;50;9;23;39;6;7;25;21;28;19;0;0;0;0;0;0;0
2020-09-04 07:15:00;38;24;40;48;5;6;30;28;32;22;0;0;0;0;2;0;0
2020-09-04 07:30:00;44;13;45;65;17;9;18;32;34;28;5;0;1;0;10;0;0
2020-09-04 07:45:00;60;23;55;58;12;9;29;30;26;29;0;0;1;0;0;0;0
2020-09-04 08:00:00;44;15;39;47;15;16;36;29;32;38;1;0;0;0;1;0;0
2020-09-04 08:15:00;48;25;36;33;7;14;22;34;26;53;0;0;0;0;1;2;0
2020-09-04 08:30:00;37;25;25;32;11;14;24;29;37;33;0;0;0;0;0;0;0
2020-09-04 08:45:00;41;19;30;23;10;13;23;31;33;33;0;0;0;0;2;0;0
2020-09-04 09:00:00;29;19;35;32;17;18;25;38;43;24;0;0;0;0;0;1;0
2020-09-04 09:15:00;34;24;26;33;14;26;19;28;29;34;0;0;0;0;0;0;0
2020-09-04 09:30:00;37;20;30;37;15;22;14;34;24;27;0;0;0;4;1;0;0
2020-09-04 09:45:00;34;28;34;20;17;18;33;43;36;23;0;0;0;0;2;1;0
2020-09-04 10:00:00;43;27;40;21;8;20;28;25;35;34;0;0;0;0;0;0;0
2020-09-04 10:15:00;41;21;22;18;17;11;25;15;32;32;0;0;5;0;0;0;0
2020-09-04 10:30:00;91;26;25;20;15;12;25;34;33;30;0;0;1;0;0;2;0
2020-09-04 10:45:00;42;27;30;22;10;22;25;26;26;31;0;0;4;0;0;0;0
2020-09-04 11:00:00;31;34;20;15;10;11;24;26;31;40;0;0;3;1;0;0;0
2020-09-04 11:15:00;32;35;29;33;47;15;27;35;41;34;0;0;1;0;0;1;0
2020-09-04 11:30:00;41;38;27;28;17;17;36;39;44;37;0;0;2;0;6;0;0
2020-09-04 11:45:00;34;36;32;27;13;25;29;26;33;32;0;0;0;0;2;0;0
2020-09-04 12:00:00;47;27;34;33;14;21;26;43;53;41;0;0;0;0;1;1;0
2020-09-04 12:15:00;46;29;38;39;10;16;32;49;52;43;1;0;2;0;4;0;0
2020-09-04 12:30:00;49;42;36;39;16;15;32;46;48;43;0;2;0;0;0;1;0
2020-09-04 12:45:00;34;41;24;33;15;13;30;33;29;51;0;0;1;0;0;1;0
2020-09-04 13:00:00;59;38;36;37;8;17;39;34;38;37;0;0;1;0;1;2;0
2020-09-04 13:15:00;85;29;46;61;21;24;31;24;30;44;0;0;0;0;4;0;0
2020-09-04 13:30:00;99;26;56;65;20;25;36;40;49;50;0;4;1;0;0;0;0
2020-09-04 13:45:00;94;34;60;65;25;26;38;52;52;79;1;0;2;8;8;43;1
2020-09-04 14:00:00;86;41;39;45;17;22;45;69;86;86;1;0;1;0;1;2;0
2020-09-04 14:15:00;55;25;26;22;20;20;28;86;125;96;0;0;0;0;0;2;0
2020-09-04 14:30:00;52;33;34;28;20;30;23;82;80;106;2;4;3;4;0;6;11
2020-09-04 14:45:00;52;31;22;25;25;29;37;71;56;73;7;0;0;0;2;0;0
2020-09-04 15:00:00;48;37;68;30;20;26;32;45;40;65;0;0;35;0;1;1;0
2020-09-04 15:15:00;65;44;27;19;22;27;42;62;73;85;0;0;20;1;6;25;0
2020-09-04 15:30:00;43;44;23;26;19;22;38;60;71;52;5;0;1;0;4;2;1
2020-09-04 15:45:00;45;30;24;34;16;18;34;39;38;39;0;0;1;0;0;4;0
2020-09-04 16:00:00;41;46;27;75;18;14;29;42;45;44;0;1;1;0;13;0;0
2020-09-04 16:15:00;51;36;31;23;24;26;26;45;105;51;0;0;2;0;0;0;0
2020-09-04 16:30:00;46;29;28;21;11;64;28;40;42;37;0;0;0;0;0;0;0
2020-09-04 16:45:00;58;51;29;31;11;21;40;39;60;51;0;0;1;1;0;0;0
2020-09-04 17:00:00;35;29;25;56;19;28;30;42;42;38;3;1;0;1;0;1;4
2020-09-04 17:15:00;27;44;29;24;12;20;34;25;49;36;0;0;0;0;11;5;0
2020-09-04 17:30:00;47;32;33;29;19;21;27;37;50;47;0;0;0;1;2;0;0
2020-09-04 17:45:00;46;34;27;45;13;13;30;40;47;37;0;9;0;0;2;0;0
2020-09-04 18:00:00;46;34;21;18;9;15;28;29;32;28;7;0;0;0;2;0;1
2020-09-04 18:15:00;51;24;29;23;16;19;29;32;45;45;0;0;0;0;0;5;0
2020-09-04 18:30:00;56;35;20;25;5;22;40;40;41;38;0;0;0;0;0;0;0
2020-09-04 18:45:00;34;37;30;29;17;14;16;21;35;17;1;1;7;0;3;0;0
2020-09-04 19:00:00;37;19;20;17;24;19;25;23;32;26;0;0;0;0;0;2;0
2020-09-04 19:15:00;35;15;18;17;13;16;28;26;39;17;0;0;0;0;0;0;0
2020-09-04 19:30:00;35;22;21;23;9;23;21;21;29;22;0;0;3;1;9;3;0
2020-09-04 19:45:00;28;18;13;23;15;17;30;29;28;27;1;0;0;0;2;4;0
2020-09-04 20:00:00;25;21;9;18;11;15;26;20;25;25;0;0;0;0;0;0;0
2020-09-04 20:15:00;37;24;18;24;12;25;21;21;24;17;0;0;2;1;0;0;0
2020-09-04 20:30:00;36;21;15;28;13;15;16;13;22;18;0;0;0;0;0;0;0
2020-09-04 20:45:00;58;9;20;25;13;13;20;18;27;24;0;0;0;1;0;0;0
2020-09-04 21:00:00;69;12;27;43;9;16;18;13;17;12;0;0;3;0;0;0;0
2020-09-04 21:15:00;68;17;28;50;8;13;22;12;16;10;1;0;0;0;0;0;0
2020-09-04 21:30:00;54;9;23;23;14;6;13;19;29;29;0;0;1;0;0;0;0
2020-09-04 21:45:00;34;9;11;11;8;7;8;66;67;61;0;0;1;0;0;0;0
2020-09-04 22:00:00;30;12;13;21;10;11;10;91;98;124;0;0;1;10;0;0;0
2020-09-04 22:15:00;22;13;13;15;7;7;8;42;53;65;0;0;8;0;0;0;0
2020-09-04 22:30:00;20;14;12;15;13;10;9;17;25;18;0;0;4;0;1;0;0
2020-09-04 22:45:00;11;7;9;11;12;11;7;9;20;12;0;0;0;0;1;0;0
2020-09-04 23:00:00;13;11;11;14;11;8;7;10;13;15;0;1;0;1;0;0;0
2020-09-04 23:15:00;15;4;9;11;5;7;6;13;9;9;0;0;0;0;0;0;0
2020-09-04 23:30:00;7;7;6;6;7;8;5;6;12;9;0;0;0;0;0;5;0
2020-09-04 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
