DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(DA4);11(DA5);12(DC4);13(DC5);14(DA6);15(DC6);16(TA1FBA);17(TA2FBA);18(TA1FBB);19(TA2FBB);20(TA1FBC);21(TA2FBC);22(TA1FBD);23(TA2FBD)
2020-08-06 00:00:00;21;8;4;1;14;9;0;1;4;0;1;0;0;24;17;0;0;0;0;0;0;0;0
2020-08-06 00:15:00;12;7;2;1;18;11;3;3;3;3;3;2;2;16;22;0;0;0;0;0;0;0;0
2020-08-06 00:30:00;9;15;1;0;15;8;1;1;0;1;1;1;1;16;18;0;0;0;0;0;0;0;0
2020-08-06 00:45:00;16;11;0;0;8;5;1;0;0;1;1;0;0;19;9;0;0;0;0;0;0;0;0
2020-08-06 01:00:00;5;6;1;0;9;2;1;0;1;0;0;0;0;7;10;0;0;0;0;0;0;0;0
2020-08-06 01:15:00;11;7;0;0;11;5;0;2;2;1;1;0;0;13;13;0;0;0;0;0;0;0;0
2020-08-06 01:30:00;8;8;2;0;7;8;1;3;2;0;0;2;1;8;11;0;0;0;0;0;0;0;0
2020-08-06 01:45:00;11;5;0;0;6;7;2;2;1;2;1;0;0;12;10;0;0;0;0;0;0;0;0
2020-08-06 02:00:00;6;7;0;0;10;6;0;0;0;0;0;0;0;8;11;0;0;0;0;0;0;0;0
2020-08-06 02:15:00;5;3;0;0;6;13;0;1;1;0;0;0;0;6;9;0;0;0;0;0;0;0;0
2020-08-06 02:30:00;3;4;0;0;5;4;0;0;1;0;0;0;0;4;6;0;0;0;0;0;0;0;0
2020-08-06 02:45:00;7;4;2;1;2;0;0;1;4;1;1;0;0;8;2;0;0;0;0;0;0;0;0
2020-08-06 03:00:00;6;4;0;0;5;5;0;0;0;1;1;0;0;6;8;0;0;0;0;0;0;0;0
2020-08-06 03:15:00;5;5;1;0;6;4;1;1;1;0;0;0;0;8;8;0;0;0;0;0;0;0;0
2020-08-06 03:30:00;3;1;0;0;5;3;0;2;2;0;0;0;0;3;6;0;0;0;0;0;0;0;0
2020-08-06 03:45:00;2;2;1;2;6;2;0;2;2;0;0;0;0;2;7;0;0;0;0;0;0;0;0
2020-08-06 04:00:00;6;1;0;1;14;8;0;2;0;0;0;1;1;6;16;0;0;0;0;0;0;0;0
2020-08-06 04:15:00;11;6;0;1;13;9;0;0;1;1;1;0;0;13;14;0;0;0;0;0;0;0;0
2020-08-06 04:30:00;6;8;1;1;5;6;1;1;4;0;0;1;1;9;7;0;0;0;0;0;0;0;0
2020-08-06 04:45:00;18;13;1;3;15;13;3;2;2;2;2;4;4;21;19;0;0;0;0;0;0;0;0
2020-08-06 05:00:00;14;12;2;5;16;14;1;3;6;1;1;2;3;19;22;0;0;0;0;0;0;0;0
2020-08-06 05:15:00;42;31;0;4;22;23;1;3;2;1;1;0;0;54;31;0;0;0;0;0;0;0;0
2020-08-06 05:30:00;58;47;1;6;26;23;9;8;10;3;4;3;2;74;34;0;1;0;0;0;0;0;0
2020-08-06 05:45:00;47;52;0;7;30;25;3;5;9;6;8;4;3;55;41;0;7;0;0;0;0;0;0
2020-08-06 06:00:00;38;53;3;7;38;33;4;7;7;5;5;4;6;57;54;0;0;0;0;0;0;0;0
2020-08-06 06:15:00;75;70;3;10;48;29;2;12;11;8;9;15;9;94;54;0;0;0;0;0;0;0;0
2020-08-06 06:30:00;94;97;4;16;46;42;8;17;9;10;11;8;7;127;59;0;0;0;0;0;0;0;0
2020-08-06 06:45:00;85;96;5;23;56;45;6;21;14;16;13;4;4;122;72;1;0;0;0;0;0;0;0
2020-08-06 07:00:00;85;97;3;26;58;54;9;23;14;5;6;12;9;122;81;0;0;0;0;0;0;0;0
2020-08-06 07:15:00;106;110;4;15;65;51;10;24;14;15;16;9;14;126;88;0;2;0;0;0;0;0;0
2020-08-06 07:30:00;107;122;4;30;78;72;10;30;23;10;10;15;12;135;92;0;0;0;0;0;0;0;0
2020-08-06 07:45:00;105;105;7;35;73;66;10;26;26;10;12;10;8;133;96;0;0;0;0;0;0;0;0
2020-08-06 08:00:00;89;93;5;36;61;51;1;34;22;8;10;7;7;124;78;0;0;0;1;0;0;0;0
2020-08-06 08:15:00;121;115;5;32;81;76;9;34;22;13;20;13;10;155;100;0;0;0;0;0;0;0;0
2020-08-06 08:30:00;105;117;6;28;84;86;5;32;21;11;8;12;16;145;118;0;0;0;0;0;0;0;0
2020-08-06 08:45:00;107;112;9;29;82;79;17;23;35;10;15;7;8;134;109;0;0;0;0;0;0;0;0
2020-08-06 09:00:00;120;114;13;34;55;74;14;25;22;15;14;11;9;164;96;0;0;0;0;0;0;0;0
2020-08-06 09:15:00;98;108;10;29;80;56;9;22;18;15;38;4;5;139;110;0;0;2;0;0;0;0;0
2020-08-06 09:30:00;122;97;8;26;89;66;8;27;19;13;14;8;10;145;100;0;0;0;0;0;0;0;0
2020-08-06 09:45:00;121;107;17;39;104;97;11;19;24;15;18;10;9;151;130;1;0;0;0;0;0;0;0
2020-08-06 10:00:00;116;104;7;36;103;86;11;25;28;10;9;10;9;148;121;0;0;0;0;0;0;0;0
2020-08-06 10:15:00;110;105;8;25;96;100;10;30;25;33;14;8;9;128;132;0;0;0;0;0;0;1;0
2020-08-06 10:30:00;116;112;3;20;101;105;9;32;18;28;11;13;14;144;135;0;0;0;0;0;0;0;0
2020-08-06 10:45:00;114;94;12;34;85;94;6;30;23;8;11;8;9;125;116;0;0;0;0;0;0;0;8
2020-08-06 11:00:00;103;98;6;44;88;92;9;19;30;6;12;13;16;137;126;0;0;0;0;0;0;0;2
2020-08-06 11:15:00;104;114;8;30;109;106;14;30;29;11;11;10;11;131;135;0;0;0;0;0;0;0;0
2020-08-06 11:30:00;117;121;8;28;118;108;9;24;26;19;30;16;14;139;139;3;0;0;0;0;0;0;0
2020-08-06 11:45:00;109;105;13;21;99;84;10;30;31;12;23;13;10;123;126;0;23;0;0;1;1;0;0
2020-08-06 12:00:00;124;105;9;28;116;108;13;18;24;13;13;10;12;145;141;0;0;0;0;0;0;0;0
2020-08-06 12:15:00;108;113;14;29;100;118;13;20;29;12;10;9;10;132;149;0;0;0;0;0;0;0;0
2020-08-06 12:30:00;116;117;8;30;87;89;13;37;36;15;14;13;15;147;106;0;0;0;0;0;0;0;0
2020-08-06 12:45:00;108;100;4;30;111;107;10;26;23;12;15;13;12;128;146;0;0;0;0;2;0;0;0
2020-08-06 13:00:00;108;90;9;31;98;92;9;37;16;12;11;12;9;126;128;0;0;0;0;0;0;0;0
2020-08-06 13:15:00;119;99;8;32;93;108;13;24;25;8;8;13;10;134;126;0;0;0;0;0;0;0;0
