DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DI1);6(DC1);7(DD1);8(DD2);9(DE1);10(DF1);11(DF2)
2019-10-20 00:00:00;2;7;15;4;6;4;10;4;6;11;2
2019-10-20 00:15:00;1;2;13;2;4;12;12;8;6;13;7
2019-10-20 00:30:00;0;0;7;3;3;9;10;4;6;14;9
2019-10-20 00:45:00;2;2;12;1;2;8;7;7;2;10;5
2019-10-20 01:00:00;1;3;10;3;3;7;11;9;4;9;11
2019-10-20 01:15:00;3;6;12;1;4;4;13;6;4;6;5
2019-10-20 01:30:00;2;1;14;4;6;4;19;4;2;6;3
2019-10-20 01:45:00;0;3;8;3;4;6;4;3;1;10;5
2019-10-20 02:00:00;1;4;8;2;3;8;6;6;1;9;0
2019-10-20 02:15:00;0;1;5;1;1;6;8;3;0;7;5
2019-10-20 02:30:00;2;0;3;2;2;5;3;3;0;3;0
2019-10-20 02:45:00;2;0;2;2;5;7;11;1;4;6;2
2019-10-20 03:00:00;0;1;9;2;3;6;4;3;2;7;1
2019-10-20 03:15:00;0;0;11;1;2;8;9;3;3;5;4
2019-10-20 03:30:00;0;2;6;3;3;5;2;3;0;2;1
2019-10-20 03:45:00;0;1;3;0;0;2;8;3;2;5;4
2019-10-20 04:00:00;0;0;6;3;4;5;5;1;0;4;2
2019-10-20 04:15:00;1;0;1;0;1;2;3;0;0;3;4
2019-10-20 04:30:00;0;0;2;0;1;4;4;1;0;2;1
2019-10-20 04:45:00;1;1;1;2;3;3;1;3;3;5;2
2019-10-20 05:00:00;2;0;9;3;6;5;4;2;3;4;4
2019-10-20 05:15:00;0;0;5;1;2;1;5;4;2;6;1
2019-10-20 05:30:00;3;7;8;3;6;7;5;2;1;12;3
2019-10-20 05:45:00;1;5;7;0;1;3;5;1;2;4;2
2019-10-20 06:00:00;0;1;5;1;1;1;3;2;2;3;1
2019-10-20 06:15:00;0;3;5;1;1;0;3;3;0;2;0
2019-10-20 06:30:00;0;1;6;1;1;4;2;0;2;3;2
2019-10-20 06:45:00;1;3;5;2;3;2;4;0;1;7;4
2019-10-20 07:00:00;2;3;4;1;3;1;5;4;2;4;0
2019-10-20 07:15:00;2;1;5;3;5;1;2;0;1;5;3
2019-10-20 07:30:00;0;2;2;2;2;0;3;2;4;11;3
2019-10-20 07:45:00;0;3;4;1;1;3;3;1;7;5;5
2019-10-20 08:00:00;2;2;7;1;3;0;7;0;1;5;3
2019-10-20 08:15:00;0;3;2;0;0;3;3;0;3;7;7
2019-10-20 08:30:00;0;6;8;5;5;1;3;2;3;4;5
2019-10-20 08:45:00;3;6;17;2;2;3;7;2;7;6;5
2019-10-20 09:00:00;3;5;6;3;5;1;8;3;4;4;10
2019-10-20 09:15:00;1;4;16;0;1;2;3;3;11;9;8
2019-10-20 09:30:00;0;4;36;2;4;2;10;1;12;8;11
2019-10-20 09:45:00;3;6;23;5;7;4;16;6;10;10;13
2019-10-20 10:00:00;2;5;27;6;8;0;9;2;9;8;17
2019-10-20 10:15:00;1;7;41;4;4;5;6;5;11;11;13
2019-10-20 10:30:00;5;5;33;6;9;4;7;7;11;5;22
2019-10-20 10:45:00;14;13;16;9;14;6;6;7;17;15;15
2019-10-20 11:00:00;6;19;22;7;10;5;16;4;7;8;11
2019-10-20 11:15:00;10;23;27;5;8;5;12;8;18;10;14
2019-10-20 11:30:00;4;22;31;15;19;3;13;2;13;17;16
2019-10-20 11:45:00;3;14;19;9;12;11;10;8;21;23;17
2019-10-20 12:00:00;6;18;18;5;8;6;16;8;9;8;12
2019-10-20 12:15:00;5;19;23;10;12;11;15;6;9;9;20
