DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DC4);10(DD1);11(DD2);12(DD3);13(DD4)
2020-02-15 19:45:00;28;19;14;14;16;39;42;21;23;68;57;22;12
2020-02-15 20:00:00;32;11;14;18;20;46;43;22;16;51;41;23;14
2020-02-15 20:15:00;25;10;12;14;19;35;34;20;18;37;32;12;9
2020-02-15 20:30:00;24;14;9;19;14;40;26;12;9;18;14;2;9
2020-02-15 20:45:00;27;13;8;16;16;30;24;13;14;26;20;10;8
2020-02-15 21:00:00;34;18;6;18;10;23;24;16;18;34;24;9;6
2020-02-15 21:15:00;25;12;6;15;12;28;27;22;17;25;17;6;5
2020-02-15 21:30:00;21;13;4;8;10;37;35;20;20;19;14;5;4
2020-02-15 21:45:00;25;10;6;10;18;28;21;16;11;17;12;5;6
2020-02-15 22:00:00;21;19;5;7;11;33;25;12;10;10;9;4;6
2020-02-15 22:15:00;21;8;6;8;14;34;30;16;14;15;14;5;6
2020-02-15 22:30:00;22;8;3;16;9;40;37;19;16;23;15;3;3
2020-02-15 22:45:00;24;8;4;4;6;22;24;14;9;18;14;3;3
2020-02-15 23:00:00;22;12;7;7;9;21;29;19;9;7;14;7;7
2020-02-15 23:15:00;24;9;11;11;10;34;35;11;11;21;17;8;12
2020-02-15 23:30:00;12;3;2;6;11;22;17;10;9;12;12;3;2
2020-02-15 23:45:00;12;2;2;2;5;21;20;13;12;14;8;4;2
