DATUM;1(DA1);2(DB1);3(DC1);4(DC11);5(TAFGB);23(TAFBB);24(TAFBC)
2020-09-04 00:00:00;17;16;0;0;0;0;0
2020-09-04 00:15:00;19;17;0;0;0;0;0
2020-09-04 00:30:00;21;4;1;1;0;0;0
2020-09-04 00:45:00;12;11;0;0;0;0;0
2020-09-04 01:00:00;12;11;1;1;0;0;0
2020-09-04 01:15:00;12;3;0;0;0;0;0
2020-09-04 01:30:00;7;13;1;1;0;0;0
2020-09-04 01:45:00;4;8;0;0;0;0;0
2020-09-04 02:00:00;8;12;0;0;0;0;0
2020-09-04 02:15:00;6;4;0;0;0;0;0
2020-09-04 02:30:00;7;7;0;0;0;0;0
2020-09-04 02:45:00;6;4;0;0;0;0;0
2020-09-04 03:00:00;12;5;0;0;0;0;0
2020-09-04 03:15:00;6;8;0;0;0;0;0
2020-09-04 03:30:00;2;7;0;0;0;0;0
2020-09-04 03:45:00;8;7;0;0;0;0;0
2020-09-04 04:00:00;9;5;0;0;0;0;0
2020-09-04 04:15:00;9;8;1;1;0;0;0
2020-09-04 04:30:00;10;13;0;0;0;0;0
2020-09-04 04:45:00;10;12;1;1;0;0;0
2020-09-04 05:00:00;28;21;0;0;0;0;0
2020-09-04 05:15:00;40;27;2;2;0;0;0
2020-09-04 05:30:00;96;52;3;3;0;0;0
2020-09-04 05:45:00;99;47;0;0;0;0;0
2020-09-04 06:00:00;76;65;2;2;0;0;0
2020-09-04 06:15:00;67;79;2;2;0;0;0
2020-09-04 06:30:00;119;114;3;3;6;0;0
2020-09-04 06:45:00;145;107;6;6;0;0;0
2020-09-04 07:00:00;145;115;8;8;1;0;0
2020-09-04 07:15:00;151;126;5;5;13;0;0
2020-09-04 07:30:00;153;162;13;13;0;0;0
2020-09-04 07:45:00;154;125;10;10;5;0;0
2020-09-04 08:00:00;144;116;9;9;2;0;0
2020-09-04 08:15:00;152;150;3;3;6;0;0
2020-09-04 08:30:00;162;125;9;9;3;0;0
2020-09-04 08:45:00;168;145;5;5;0;0;0
2020-09-04 09:00:00;160;118;6;6;1;0;0
2020-09-04 09:15:00;162;129;12;12;1;0;0
2020-09-04 09:30:00;161;150;11;11;1;0;0
2020-09-04 09:45:00;221;150;6;6;1;0;0
2020-09-04 10:00:00;192;152;8;8;0;0;0
2020-09-04 10:15:00;179;178;7;7;11;0;0
2020-09-04 10:30:00;194;151;6;6;34;0;0
2020-09-04 10:45:00;185;192;6;6;4;0;0
2020-09-04 11:00:00;185;189;8;8;0;0;0
2020-09-04 11:15:00;219;180;10;10;11;0;0
2020-09-04 11:30:00;175;191;10;10;9;0;0
2020-09-04 11:45:00;222;186;9;9;0;0;0
2020-09-04 12:00:00;196;192;7;7;8;0;0
2020-09-04 12:15:00;201;181;7;7;15;0;0
2020-09-04 12:30:00;190;202;7;7;3;0;0
2020-09-04 12:45:00;253;206;7;7;8;0;0
2020-09-04 13:00:00;214;173;13;13;19;0;0
2020-09-04 13:15:00;198;210;14;14;24;0;0
2020-09-04 13:30:00;195;142;8;8;0;0;0
2020-09-04 13:45:00;213;184;8;8;15;0;0
2020-09-04 14:00:00;226;181;10;10;4;0;0
2020-09-04 14:15:00;211;191;14;14;12;0;0
2020-09-04 14:30:00;213;217;7;7;13;0;0
2020-09-04 14:45:00;218;206;11;11;1;0;0
2020-09-04 15:00:00;206;176;8;8;2;0;0
2020-09-04 15:15:00;193;208;8;8;0;0;0
2020-09-04 15:30:00;197;186;9;9;9;0;0
2020-09-04 15:45:00;210;190;12;12;6;0;0
2020-09-04 16:00:00;229;194;11;11;11;0;0
2020-09-04 16:15:00;186;222;11;11;5;0;0
2020-09-04 16:30:00;221;189;11;11;2;0;0
2020-09-04 16:45:00;184;199;9;9;5;0;0
2020-09-04 17:00:00;186;190;9;9;1;0;0
2020-09-04 17:15:00;220;198;5;5;1;0;0
2020-09-04 17:30:00;185;198;5;5;30;0;0
2020-09-04 17:45:00;213;216;13;13;8;0;0
2020-09-04 18:00:00;191;204;9;9;35;0;0
2020-09-04 18:15:00;191;184;12;12;7;0;0
2020-09-04 18:30:00;177;164;6;6;21;0;0
2020-09-04 18:45:00;173;178;10;10;1;0;0
2020-09-04 19:00:00;167;177;5;5;1;0;0
2020-09-04 19:15:00;147;125;6;6;33;0;0
2020-09-04 19:30:00;133;162;8;8;3;0;0
2020-09-04 19:45:00;112;163;9;9;54;0;0
2020-09-04 20:00:00;157;169;10;10;14;0;0
2020-09-04 20:15:00;119;141;10;10;2;0;0
2020-09-04 20:30:00;107;131;8;8;0;0;0
2020-09-04 20:45:00;92;97;10;10;4;0;0
2020-09-04 21:00:00;92;104;7;7;0;0;0
2020-09-04 21:15:00;85;69;5;5;0;0;0
2020-09-04 21:30:00;101;78;3;3;0;0;0
2020-09-04 21:45:00;82;86;8;8;0;0;0
2020-09-04 22:00:00;88;99;5;5;0;0;0
2020-09-04 22:15:00;84;81;3;3;0;0;0
2020-09-04 22:30:00;101;82;2;2;0;0;0
2020-09-04 22:45:00;78;67;7;7;0;0;0
2020-09-04 23:00:00;73;57;0;0;0;0;0
2020-09-04 23:15:00;61;44;0;0;0;0;0
2020-09-04 23:30:00;64;50;2;2;0;0;0
2020-09-04 23:45:00;41;46;0;0;0;0;0
