DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2A);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC)
2019-08-31 20:45:00;46;30;59;47;0;0;0;0;0;0;0;0
2019-08-31 21:00:00;42;25;36;36;0;0;0;0;0;0;0;0
2019-08-31 21:15:00;48;29;42;36;0;0;0;0;0;0;0;0
2019-08-31 21:30:00;30;12;41;33;0;0;0;0;0;0;0;0
2019-08-31 21:45:00;36;26;38;32;2;0;0;0;2;0;0;0
2019-08-31 22:00:00;28;19;30;28;0;0;0;0;0;0;0;0
2019-08-31 22:15:00;30;20;44;29;0;0;0;0;0;0;0;0
2019-08-31 22:30:00;22;12;20;27;0;0;0;0;0;0;0;0
2019-08-31 22:45:00;27;17;28;21;0;0;0;0;0;0;0;0
2019-08-31 23:00:00;27;12;28;26;0;0;0;0;0;0;0;0
2019-08-31 23:15:00;26;12;23;22;0;0;0;0;0;0;0;0
2019-08-31 23:30:00;22;13;22;12;0;0;0;0;0;0;0;0
2019-08-31 23:45:00;24;8;29;19;0;0;0;0;0;0;0;0
