DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DC1);6(DD1);7(DD2);8(DD3);9(TAFGA);10(TAFGC);11(TAFBA);12(TAFBB);13(TAFBC);14(TAFBD)
2020-11-12 00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-12 00:15:00;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-11-12 00:30:00;2;0;0;0;4;2;0;0;0;0;0;0;0;0
2020-11-12 00:45:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-12 01:00:00;2;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-11-12 01:15:00;1;0;0;0;1;2;0;0;0;0;0;0;0;0
2020-11-12 01:30:00;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-11-12 01:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-12 02:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-12 02:15:00;1;0;0;0;3;0;0;0;0;0;0;0;0;0
2020-11-12 02:30:00;2;0;0;0;3;2;0;0;0;0;0;0;0;0
2020-11-12 02:45:00;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-11-12 03:00:00;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-11-12 03:15:00;1;0;0;0;3;0;0;0;0;0;0;0;0;0
2020-11-12 03:30:00;4;0;0;0;6;0;0;0;0;0;0;0;0;0
2020-11-12 03:45:00;0;0;0;0;1;2;0;0;0;0;0;0;0;0
2020-11-12 04:00:00;2;0;0;0;0;1;0;0;0;0;0;0;0;0
2020-11-12 04:15:00;4;0;0;0;2;2;0;0;0;0;0;0;0;0
2020-11-12 04:30:00;2;0;0;0;4;2;0;0;0;0;0;0;0;0
2020-11-12 04:45:00;1;0;0;0;3;4;0;0;0;0;0;0;0;0
2020-11-12 05:00:00;6;0;0;0;11;8;0;0;0;0;0;0;0;0
2020-11-12 05:15:00;8;0;0;0;12;6;0;0;0;0;0;0;0;0
2020-11-12 05:30:00;7;0;0;0;31;15;0;0;0;0;0;0;0;0
2020-11-12 05:45:00;11;0;0;0;22;6;0;0;0;0;0;0;0;0
2020-11-12 06:00:00;10;0;0;0;27;23;0;0;0;0;0;0;0;0
2020-11-12 06:15:00;18;0;0;0;26;17;0;0;0;0;0;0;0;0
2020-11-12 06:30:00;24;0;0;0;73;27;0;0;0;0;0;0;0;0
2020-11-12 06:45:00;23;0;0;0;41;27;0;0;0;0;0;0;0;0
2020-11-12 07:00:00;26;254;254;254;67;31;254;254;0;0;0;0;0;0
2020-11-12 07:15:00;39;0;0;0;88;42;0;0;1;1;0;0;0;0
2020-11-12 07:30:00;51;0;0;0;110;28;0;0;1;7;0;0;1;6
2020-11-12 07:45:00;40;0;0;0;82;27;0;0;1;4;0;0;0;0
2020-11-12 08:00:00;42;0;0;0;72;33;0;0;5;3;1;0;0;0
2020-11-12 08:15:00;40;0;0;0;72;31;0;0;0;2;0;0;1;0
2020-11-12 08:30:00;34;0;0;0;56;39;0;0;0;0;0;0;0;0
2020-11-12 08:45:00;27;0;0;0;53;23;0;0;2;0;0;0;0;0
2020-11-12 09:00:00;23;0;0;0;46;22;0;0;0;1;0;0;0;0
2020-11-12 09:15:00;37;0;0;0;52;43;0;0;0;0;0;0;0;0
2020-11-12 09:30:00;26;0;0;0;45;21;0;0;0;0;0;0;0;0
2020-11-12 09:45:00;23;0;0;0;53;23;0;0;0;0;0;0;0;0
2020-11-12 10:00:00;47;0;0;0;42;21;0;0;0;0;0;0;0;1
2020-11-12 10:15:00;46;0;0;0;60;30;0;0;1;1;0;0;1;0
2020-11-12 10:30:00;39;0;0;0;68;33;0;0;0;1;0;0;0;0
2020-11-12 10:45:00;28;0;0;0;56;25;0;0;1;2;0;0;0;0
2020-11-12 11:00:00;32;0;0;0;46;28;0;0;1;1;0;0;0;0
2020-11-12 11:15:00;43;0;0;0;60;27;0;0;2;3;0;0;0;0
2020-11-12 11:30:00;32;0;0;0;57;35;0;0;0;0;0;0;0;0
2020-11-12 11:45:00;28;0;0;0;46;30;0;0;9;0;4;0;0;0
2020-11-12 12:00:00;37;0;0;0;62;20;0;0;0;0;0;0;0;0
2020-11-12 12:15:00;33;0;0;0;42;20;0;0;0;0;0;0;0;0
2020-11-12 12:30:00;35;0;0;0;59;19;0;0;0;0;0;0;0;0
2020-11-12 12:45:00;32;0;0;0;54;28;0;0;2;3;0;0;0;0
2020-11-12 13:00:00;39;0;0;0;62;27;0;0;0;1;0;0;0;21
2020-11-12 13:15:00;31;0;0;0;45;30;0;0;2;1;0;0;0;1
2020-11-12 13:30:00;31;0;0;0;67;36;0;0;1;3;1;0;0;0
2020-11-12 13:45:00;39;0;0;0;74;24;0;0;4;0;0;0;0;0
2020-11-12 14:00:00;37;0;0;0;74;42;0;0;1;2;2;0;0;1
