DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DA3);8(TA1);9(TA2);10(TA3);11(TAFBAC1);12(TAFBAC2);13(TAFBAC3);14(TAFBB)
2019-12-06 00:00:00;9;0;2;2;12;17;20;0;0;0;0;0;0;0
2019-12-06 00:15:00;10;0;3;0;4;14;15;0;0;0;0;0;0;0
2019-12-06 00:30:00;21;1;4;2;3;15;26;0;0;0;0;0;0;0
2019-12-06 00:45:00;9;1;0;0;5;8;15;0;0;0;0;0;0;0
2019-12-06 01:00:00;5;0;1;1;1;14;11;0;0;0;0;0;0;0
2019-12-06 01:15:00;5;1;0;1;7;14;6;0;0;0;0;0;0;0
2019-12-06 01:30:00;7;1;2;2;2;10;9;0;0;0;0;0;0;0
2019-12-06 01:45:00;3;1;0;1;6;13;6;0;0;0;0;0;0;0
2019-12-06 02:00:00;9;1;0;0;8;14;8;0;0;0;0;0;0;0
2019-12-06 02:15:00;2;0;0;0;1;11;7;0;0;0;0;0;0;0
2019-12-06 02:30:00;4;2;0;0;6;11;4;0;0;0;0;0;0;0
2019-12-06 02:45:00;3;2;0;0;3;12;4;0;0;0;0;0;0;0
2019-12-06 03:00:00;2;0;1;0;3;8;7;0;0;0;0;0;0;0
2019-12-06 03:15:00;5;0;1;1;3;5;3;0;0;0;0;0;0;0
2019-12-06 03:30:00;1;0;1;1;3;8;7;1;1;1;0;0;0;0
2019-12-06 03:45:00;6;0;0;0;5;9;9;0;0;0;0;0;0;0
2019-12-06 04:00:00;11;1;0;1;2;10;11;0;0;0;0;0;0;0
2019-12-06 04:15:00;7;0;1;1;9;11;5;0;0;0;0;0;0;0
2019-12-06 04:30:00;17;1;1;2;4;19;15;0;0;0;0;0;0;0
2019-12-06 04:45:00;25;1;0;0;6;20;21;0;0;0;0;0;0;0
2019-12-06 05:00:00;53;6;2;1;10;39;66;0;0;0;0;0;0;0
2019-12-06 05:15:00;94;9;6;5;13;49;124;0;0;0;0;0;0;0
2019-12-06 05:30:00;113;7;22;3;20;64;130;0;0;0;0;0;0;0
2019-12-06 05:45:00;110;6;16;3;53;92;138;0;0;0;0;0;0;0
2019-12-06 06:00:00;82;8;27;6;50;106;94;3;0;0;0;0;0;0
2019-12-06 06:15:00;107;11;26;7;55;128;128;0;0;0;0;0;0;0
2019-12-06 06:30:00;178;26;23;11;61;109;183;0;0;0;0;0;0;0
2019-12-06 06:45:00;154;29;35;18;55;117;179;0;0;0;0;0;0;0
2019-12-06 07:00:00;158;38;44;11;42;92;180;2;0;3;0;0;0;0
2019-12-06 07:15:00;159;35;44;19;77;135;169;7;0;6;0;0;0;0
2019-12-06 07:30:00;141;48;56;33;81;116;146;14;0;4;0;0;0;0
2019-12-06 07:45:00;138;51;36;37;94;118;152;10;0;0;0;0;0;0
2019-12-06 08:00:00;155;49;42;24;62;116;173;0;0;2;0;0;0;0
2019-12-06 08:15:00;114;23;28;13;87;124;143;5;0;0;0;0;0;0
2019-12-06 08:30:00;112;18;31;26;67;118;143;1;0;2;0;0;0;0
2019-12-06 08:45:00;134;23;30;22;62;110;148;2;0;0;0;0;0;0
2019-12-06 09:00:00;104;19;22;9;62;96;152;0;0;0;0;0;0;0
2019-12-06 09:15:00;108;25;22;10;59;108;139;4;0;1;0;0;0;0
2019-12-06 09:30:00;110;31;22;16;61;100;138;1;0;0;3;3;3;0
2019-12-06 09:45:00;100;24;33;24;63;118;141;20;0;1;0;0;0;0
2019-12-06 10:00:00;103;28;34;9;77;122;151;1;0;3;0;0;0;0
2019-12-06 10:15:00;97;13;30;14;72;124;150;27;0;0;3;3;3;0
2019-12-06 10:30:00;104;16;33;13;81;132;150;2;0;1;0;0;0;0
2019-12-06 10:45:00;121;24;20;24;82;139;155;1;0;2;2;2;2;0
2019-12-06 11:00:00;117;20;30;17;53;116;138;7;0;1;0;0;0;0
2019-12-06 11:15:00;108;34;30;22;80;137;148;6;0;2;3;3;3;0
2019-12-06 11:30:00;117;24;27;19;85;132;141;3;1;8;0;0;0;0
2019-12-06 11:45:00;115;26;29;19;70;139;148;0;0;2;0;0;0;0
2019-12-06 12:00:00;107;38;54;20;94;133;154;0;0;0;0;0;0;0
2019-12-06 12:15:00;108;25;38;18;123;136;145;8;0;3;0;0;0;0
2019-12-06 12:30:00;115;38;48;20;107;91;136;20;0;6;0;0;0;0
2019-12-06 12:45:00;156;33;44;17;161;116;161;1;0;13;0;0;0;5
2019-12-06 13:00:00;154;45;43;15;106;104;150;0;0;7;0;0;0;0
2019-12-06 13:15:00;158;57;55;21;113;95;157;0;0;92;5;5;5;0
2019-12-06 13:30:00;165;70;55;40;111;99;154;4;0;1;0;0;0;0
2019-12-06 13:45:00;159;49;49;25;123;126;165;3;0;7;0;0;0;0
2019-12-06 14:00:00;126;35;61;31;97;123;168;2;0;7;0;0;0;0
2019-12-06 14:15:00;129;39;66;23;89;82;155;0;0;4;0;0;0;0
2019-12-06 14:30:00;128;40;77;38;111;100;152;0;0;2;0;0;0;0
2019-12-06 14:45:00;123;36;51;19;116;111;152;3;0;14;0;0;0;0
2019-12-06 15:00:00;118;35;69;28;107;102;158;6;0;8;0;0;0;0
2019-12-06 15:15:00;113;31;72;28;98;91;148;3;0;1;0;0;0;0
2019-12-06 15:30:00;127;27;63;26;121;114;156;0;0;4;1;1;1;0
2019-12-06 15:45:00;127;41;59;22;92;84;150;4;0;11;8;8;8;5
2019-12-06 16:00:00;126;38;81;36;98;95;150;0;0;40;0;0;0;0
2019-12-06 16:15:00;124;38;54;20;109;100;152;20;0;3;0;0;0;0
2019-12-06 16:30:00;116;26;65;26;111;90;149;3;0;0;0;0;0;0
2019-12-06 16:45:00;111;28;56;31;104;93;162;1;0;1;0;0;0;0
2019-12-06 17:00:00;126;33;46;38;88;127;137;0;0;2;0;0;0;0
2019-12-06 17:15:00;128;37;48;18;95;128;184;0;0;0;0;0;0;0
2019-12-06 17:30:00;121;29;48;21;111;129;155;6;0;0;0;0;0;0
2019-12-06 17:45:00;117;31;50;20;106;138;156;4;0;0;0;0;0;0
2019-12-06 18:00:00;112;21;42;18;75;110;154;0;0;3;0;0;0;0
2019-12-06 18:15:00;102;19;49;15;82;124;166;5;0;2;0;0;0;0
2019-12-06 18:30:00;117;26;27;10;75;124;160;2;0;1;0;0;0;0
2019-12-06 18:45:00;101;22;20;15;83;140;146;0;0;0;0;0;0;0
2019-12-06 19:00:00;91;12;22;8;93;152;121;2;0;0;0;0;0;0
2019-12-06 19:15:00;81;18;20;10;82;131;111;0;0;0;0;0;0;0
2019-12-06 19:30:00;63;16;9;10;70;108;103;0;0;0;0;0;0;0
2019-12-06 19:45:00;76;16;16;12;78;123;99;3;3;0;3;3;3;0
2019-12-06 20:00:00;61;10;28;15;81;120;91;0;0;0;0;0;0;0
2019-12-06 20:15:00;66;8;15;9;70;104;101;0;0;0;0;0;0;0
2019-12-06 20:30:00;67;12;10;4;44;89;85;0;0;2;0;0;0;0
2019-12-06 20:45:00;68;11;9;7;47;89;102;3;0;0;0;0;0;0
2019-12-06 21:00:00;88;10;14;7;48;75;121;2;0;0;0;0;0;0
2019-12-06 21:15:00;87;7;9;5;39;72;124;0;0;0;0;0;0;0
2019-12-06 21:30:00;68;5;11;7;40;77;76;4;0;0;1;1;1;0
2019-12-06 21:45:00;50;7;15;8;49;93;72;0;0;4;0;0;0;0
2019-12-06 22:00:00;39;7;17;3;89;121;66;0;0;0;0;0;0;0
2019-12-06 22:15:00;40;4;17;5;74;112;55;0;0;0;1;1;1;0
2019-12-06 22:30:00;47;7;8;2;43;70;78;0;0;1;0;0;0;0
2019-12-06 22:45:00;49;5;7;7;36;62;75;0;0;0;0;0;0;0
2019-12-06 23:00:00;34;4;5;4;29;61;59;1;0;0;0;0;0;0
