DATUM;1(DA1);2(DA2);3(DC);4(DB);5(TAFGA);6(TAFGC)
2019-09-18 00:00:00;3;0;2;0;0;0
2019-09-18 00:15:00;5;0;6;1;0;0
2019-09-18 00:30:00;4;0;6;0;0;0
2019-09-18 00:45:00;8;0;1;0;0;0
2019-09-18 01:00:00;4;0;3;0;0;0
2019-09-18 01:15:00;3;0;5;0;0;0
2019-09-18 01:30:00;3;0;2;0;0;0
2019-09-18 01:45:00;4;0;0;0;0;0
2019-09-18 02:00:00;6;0;4;1;0;0
2019-09-18 02:15:00;0;0;5;0;0;0
2019-09-18 02:30:00;3;0;2;0;0;0
2019-09-18 02:45:00;3;1;2;0;0;0
2019-09-18 03:00:00;5;0;6;0;0;0
2019-09-18 03:15:00;3;0;6;0;0;0
2019-09-18 03:30:00;0;0;8;0;0;0
2019-09-18 03:45:00;4;0;7;0;0;0
2019-09-18 04:00:00;3;0;5;0;0;0
2019-09-18 04:15:00;6;3;11;0;0;0
2019-09-18 04:30:00;5;2;11;0;0;0
2019-09-18 04:45:00;9;7;26;2;0;0
2019-09-18 05:00:00;22;21;92;0;10;3
2019-09-18 05:15:00;47;44;193;4;6;7
2019-09-18 05:30:00;63;49;181;12;14;6
2019-09-18 05:45:00;109;24;110;83;8;11
2019-09-18 06:00:00;90;9;100;69;6;5
2019-09-18 06:15:00;76;17;110;15;5;3
2019-09-18 06:30:00;98;21;144;10;9;5
2019-09-18 06:45:00;79;15;147;1;17;9
2019-09-18 07:00:00;119;12;118;2;4;5
2019-09-18 07:15:00;84;19;124;1;20;14
2019-09-18 07:30:00;106;10;127;1;9;10
2019-09-18 07:45:00;105;8;114;1;11;2
2019-09-18 08:00:00;83;7;145;0;9;10
2019-09-18 08:15:00;103;9;117;5;4;6
2019-09-18 08:30:00;81;1;91;2;0;3
2019-09-18 08:45:00;68;8;79;2;0;7
2019-09-18 09:00:00;58;2;64;1;3;2
2019-09-18 09:15:00;64;4;76;4;0;8
2019-09-18 09:30:00;69;4;72;3;0;2
2019-09-18 09:45:00;44;5;60;4;3;5
2019-09-18 10:00:00;40;1;49;1;0;0
2019-09-18 10:15:00;60;2;66;3;0;0
2019-09-18 10:30:00;55;0;64;1;0;2
2019-09-18 10:45:00;58;0;48;1;0;0
2019-09-18 11:00:00;48;2;52;2;1;1
2019-09-18 11:15:00;68;4;50;5;1;2
2019-09-18 11:30:00;78;1;58;2;0;1
2019-09-18 11:45:00;68;0;59;3;0;5
2019-09-18 12:00:00;54;2;61;8;3;0
2019-09-18 12:15:00;61;2;54;6;1;4
2019-09-18 12:30:00;71;3;60;4;0;0
2019-09-18 12:45:00;68;7;72;3;5;11
2019-09-18 13:00:00;78;15;97;8;7;20
2019-09-18 13:15:00;87;33;119;5;3;12
2019-09-18 13:30:00;97;41;176;6;14;22
2019-09-18 13:45:00;98;45;137;18;11;15
2019-09-18 14:00:00;115;24;68;71;56;61
2019-09-18 14:15:00;126;3;74;121;12;22
2019-09-18 14:30:00;116;1;76;45;10;16
2019-09-18 14:45:00;113;2;68;27;15;121
2019-09-18 15:00:00;122;2;64;41;24;5
2019-09-18 15:15:00;167;1;73;37;13;8
2019-09-18 15:30:00;111;0;63;30;12;6
2019-09-18 15:45:00;124;1;78;18;9;1
2019-09-18 16:00:00;125;2;62;16;5;11
2019-09-18 16:15:00;129;1;70;9;12;4
2019-09-18 16:30:00;127;2;81;23;20;7
2019-09-18 16:45:00;95;0;76;10;3;6
2019-09-18 17:00:00;121;0;75;10;7;8
2019-09-18 17:15:00;101;5;62;20;21;5
2019-09-18 17:30:00;106;1;73;13;2;1
2019-09-18 17:45:00;82;0;69;6;0;2
2019-09-18 18:00:00;75;1;82;7;7;0
2019-09-18 18:15:00;66;1;58;5;1;0
2019-09-18 18:30:00;58;0;52;9;0;1
2019-09-18 18:45:00;55;1;56;3;0;0
2019-09-18 19:00:00;40;1;44;5;1;3
2019-09-18 19:15:00;37;0;36;6;0;4
2019-09-18 19:30:00;34;0;32;3;2;0
2019-09-18 19:45:00;41;0;44;1;2;0
2019-09-18 20:00:00;24;1;30;1;2;0
2019-09-18 20:15:00;38;0;29;1;0;0
2019-09-18 20:30:00;31;2;36;0;0;0
2019-09-18 20:45:00;37;5;52;5;0;0
2019-09-18 21:00:00;37;10;105;2;7;1
2019-09-18 21:15:00;37;29;149;2;15;4
2019-09-18 21:30:00;38;11;103;29;14;16
2019-09-18 21:45:00;76;0;62;112;4;15
2019-09-18 22:00:00;92;1;37;129;2;11
2019-09-18 22:15:00;29;1;6;27;1;2
2019-09-18 22:30:00;15;0;8;8;0;0
2019-09-18 22:45:00;15;0;15;2;0;0
2019-09-18 23:00:00;14;0;6;0;0;0
2019-09-18 23:15:00;8;0;12;0;0;0
2019-09-18 23:30:00;10;1;7;0;0;0
2019-09-18 23:45:00;12;0;10;1;0;0
