DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DB4);7(DC1);8(DC2);9(DC3);10(DD1);11(DD2);12(TAFGA);13(TAFBA);14(TAFBB);15(TAFGC);16(TAFBC);17(TAFBDRES)
2020-03-22 00:00:00;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0
2020-03-22 00:15:00;0;1;0;0;0;0;3;1;3;0;0;0;0;0;0;0;0
2020-03-22 00:30:00;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-22 00:45:00;1;2;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0
2020-03-22 01:00:00;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-22 01:15:00;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
2020-03-22 01:30:00;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-22 01:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-22 02:00:00;2;1;2;0;1;0;2;1;1;0;0;0;0;0;0;0;0
2020-03-22 02:15:00;1;0;1;0;1;0;3;4;4;0;0;0;0;0;0;0;0
2020-03-22 02:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-22 02:45:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-22 03:00:00;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
2020-03-22 03:15:00;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
2020-03-22 03:30:00;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-22 03:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-22 04:00:00;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
2020-03-22 04:15:00;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
2020-03-22 04:30:00;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-22 04:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-22 05:00:00;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
2020-03-22 05:15:00;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0
2020-03-22 05:30:00;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-22 05:45:00;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-22 06:00:00;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0
2020-03-22 06:15:00;1;0;0;0;0;1;2;2;3;0;0;0;0;0;0;0;0
2020-03-22 06:30:00;1;1;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0
2020-03-22 06:45:00;1;0;0;0;0;0;1;4;4;0;0;0;0;0;0;0;0
2020-03-22 07:00:00;2;0;1;0;2;0;1;2;2;0;0;0;0;0;0;0;0
2020-03-22 07:15:00;0;0;1;1;2;2;1;2;2;0;0;0;0;0;0;0;0
2020-03-22 07:30:00;0;1;1;1;0;0;2;1;2;0;0;0;0;0;0;0;0
2020-03-22 07:45:00;2;1;1;1;0;0;1;1;2;0;0;0;0;0;0;0;0
2020-03-22 08:00:00;1;1;1;1;2;2;1;0;1;0;0;0;0;0;0;0;0
2020-03-22 08:15:00;3;1;2;3;2;2;4;3;3;0;0;0;0;0;0;0;0
2020-03-22 08:30:00;4;3;1;1;1;1;4;1;3;0;0;0;0;0;0;0;0
2020-03-22 08:45:00;3;4;1;2;1;0;4;4;4;0;0;0;0;0;0;0;0
2020-03-22 09:00:00;2;4;5;4;3;1;3;2;3;1;1;0;0;0;0;0;0
2020-03-22 09:15:00;1;6;1;0;1;6;2;2;3;0;0;0;0;0;0;0;0
2020-03-22 09:30:00;1;3;5;5;5;2;2;3;2;0;0;0;0;0;0;0;0
2020-03-22 09:45:00;2;3;1;3;2;2;4;5;6;0;0;0;0;0;0;0;0
2020-03-22 10:00:00;2;4;5;4;3;1;4;4;5;0;0;0;0;0;0;0;0
2020-03-22 10:15:00;3;5;2;2;2;3;3;3;3;0;0;0;0;0;0;0;0
2020-03-22 10:30:00;5;5;2;3;3;3;3;2;2;1;0;0;0;0;1;0;0
2020-03-22 10:45:00;6;6;4;3;4;2;2;5;5;0;0;0;0;0;0;0;0
2020-03-22 11:00:00;3;2;1;3;3;2;5;5;6;0;0;0;0;0;0;0;0
2020-03-22 11:15:00;4;8;4;3;3;5;4;7;8;0;0;1;0;0;0;0;0
2020-03-22 11:30:00;3;3;5;4;1;5;2;5;5;0;0;0;0;0;0;0;0
2020-03-22 11:45:00;5;7;6;8;4;5;5;6;8;0;0;0;0;0;0;0;0
