DATUM;1(RES1);2(DE1);3(DE2);4(DH1);5(DH2);6(DDL1);7(DDL2);8(DAL1);9(RES2);10(DBR1);11(DBR2)
2020-01-06 00:00:00;18;23;11;28;11;2;2;5;0;0;0
2020-01-06 00:15:00;22;25;17;19;14;3;3;7;0;5;3
2020-01-06 00:30:00;18;26;13;17;11;1;2;6;0;3;1
2020-01-06 00:45:00;15;20;12;16;6;4;1;3;0;0;0
2020-01-06 01:00:00;17;22;15;12;6;2;4;5;0;7;5
2020-01-06 01:15:00;10;14;7;19;8;1;1;8;0;4;1
2020-01-06 01:30:00;11;14;13;12;6;2;1;5;0;1;1
2020-01-06 01:45:00;8;11;6;9;5;3;1;5;0;1;1
2020-01-06 02:00:00;10;15;7;8;3;4;3;5;0;2;3
2020-01-06 02:15:00;7;10;8;8;5;1;2;3;0;2;0
2020-01-06 02:30:00;5;8;6;8;3;0;0;6;0;2;3
2020-01-06 02:45:00;11;15;11;8;6;2;1;1;0;0;0
2020-01-06 03:00:00;7;9;3;6;4;1;1;2;0;3;0
2020-01-06 03:15:00;6;8;3;9;7;2;0;2;0;1;2
2020-01-06 03:30:00;5;5;8;6;7;0;0;1;0;0;1
2020-01-06 03:45:00;3;4;0;5;5;1;0;0;0;1;0
2020-01-06 04:00:00;6;8;5;2;4;8;1;2;0;2;2
2020-01-06 04:15:00;5;7;4;6;3;0;0;1;0;0;0
2020-01-06 04:30:00;8;9;3;6;3;0;0;4;0;2;2
2020-01-06 04:45:00;4;8;5;2;6;2;2;2;0;4;2
2020-01-06 05:00:00;11;11;12;8;8;2;16;4;0;2;0
2020-01-06 05:15:00;16;18;14;17;6;3;0;1;0;5;6
2020-01-06 05:30:00;10;13;12;13;6;4;6;5;0;2;7
2020-01-06 05:45:00;21;22;13;9;6;2;0;1;0;2;1
2020-01-06 06:00:00;15;17;7;14;14;2;0;4;0;1;2
2020-01-06 06:15:00;15;18;7;5;10;1;0;6;0;1;2
2020-01-06 06:30:00;9;11;11;10;10;4;1;3;0;1;1
2020-01-06 06:45:00;13;20;7;14;4;2;10;5;0;2;3
2020-01-06 07:00:00;21;23;16;10;5;4;2;3;0;0;1
2020-01-06 07:15:00;18;22;16;7;9;3;2;4;0;1;1
2020-01-06 07:30:00;14;17;9;10;11;6;2;2;0;5;3
2020-01-06 07:45:00;20;20;15;16;23;4;0;6;0;6;9
2020-01-06 08:00:00;19;22;11;17;7;4;2;6;0;5;7
