DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFBA);12(TAFBB);13(TAFBC);14(TAFBD)
2020-10-15 00:00:00;0;0;0;0;2;3;4;1;0;0;0;0;0;0
2020-10-15 00:15:00;0;0;0;0;2;7;7;6;0;0;0;0;0;0
2020-10-15 00:30:00;0;0;0;0;1;7;8;5;0;0;0;0;0;0
2020-10-15 00:45:00;0;0;0;0;1;7;8;3;0;0;0;0;0;0
2020-10-15 01:00:00;0;0;0;0;0;3;7;1;0;0;0;0;0;0
2020-10-15 01:15:00;0;0;0;0;3;3;4;2;0;0;0;0;0;0
2020-10-15 01:30:00;0;0;0;0;3;7;5;3;0;0;0;0;0;0
2020-10-15 01:45:00;0;0;0;0;1;3;6;1;0;0;0;0;0;0
2020-10-15 02:00:00;0;0;0;0;1;5;7;0;0;0;0;0;0;0
2020-10-15 02:15:00;0;0;0;0;0;5;8;0;0;0;0;0;0;0
2020-10-15 02:30:00;0;0;0;0;0;1;2;2;0;0;0;0;0;0
2020-10-15 02:45:00;0;0;0;0;1;4;3;3;0;0;0;0;0;0
2020-10-15 03:00:00;0;0;0;0;1;4;5;0;0;0;0;0;0;0
2020-10-15 03:15:00;0;0;0;0;3;5;6;2;0;0;0;0;0;0
2020-10-15 03:30:00;0;0;0;0;0;9;6;0;0;0;0;0;0;0
2020-10-15 03:45:00;0;0;0;0;0;3;5;3;0;0;0;0;0;0
2020-10-15 04:00:00;0;0;0;0;4;5;5;5;0;0;0;0;0;0
2020-10-15 04:15:00;0;0;0;0;3;6;12;3;0;0;0;0;0;0
2020-10-15 04:30:00;0;0;0;0;1;11;16;6;0;0;0;0;0;0
2020-10-15 04:45:00;0;0;0;0;8;15;15;4;0;0;0;0;0;0
2020-10-15 05:00:00;0;0;0;0;7;18;18;11;0;0;0;0;0;0
2020-10-15 05:15:00;0;0;0;0;21;29;31;20;0;0;0;0;0;0
2020-10-15 05:30:00;0;0;0;0;20;27;30;15;0;0;0;0;0;0
2020-10-15 05:45:00;0;0;0;0;17;36;49;20;0;0;0;0;0;0
2020-10-15 06:00:00;0;0;0;0;14;52;58;27;0;0;0;0;0;0
2020-10-15 06:15:00;0;0;0;0;24;53;62;22;0;0;2;0;0;0
2020-10-15 06:30:00;0;0;0;0;35;43;42;16;0;0;0;0;0;0
2020-10-15 06:45:00;0;0;0;0;43;58;62;48;0;0;0;0;0;0
2020-10-15 07:00:00;0;0;0;0;63;59;64;25;0;0;0;0;0;0
2020-10-15 07:15:00;0;0;0;0;93;63;72;32;0;0;0;0;0;0
2020-10-15 07:30:00;0;0;0;0;90;85;86;33;0;0;1;0;5;0
2020-10-15 07:45:00;0;0;0;0;78;91;104;48;0;0;0;0;0;0
2020-10-15 08:00:00;0;0;0;0;62;93;102;35;0;0;0;0;0;0
2020-10-15 08:15:00;0;0;0;0;52;74;83;27;0;0;0;0;0;0
2020-10-15 08:30:00;0;0;0;0;48;68;95;33;0;0;0;0;1;0
2020-10-15 08:45:00;0;0;0;0;32;87;91;44;0;0;0;0;2;3
2020-10-15 09:00:00;0;0;0;0;43;81;76;27;0;0;0;0;0;0
2020-10-15 09:15:00;0;0;0;0;32;81;79;34;0;0;3;0;1;0
2020-10-15 09:30:00;0;0;0;0;43;80;87;35;0;0;0;1;1;4
2020-10-15 09:45:00;0;0;0;0;42;85;87;40;0;0;0;0;0;0
2020-10-15 10:00:00;0;0;0;0;31;79;100;33;0;0;0;2;0;0
