DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(DF1);10(DF2);11(D11RES);12(D12RES);13(D13RES);14(D14RES)
2020-02-24 00:00:00;3;0;9;0;7;6;3;1;4;1;0;0;0;0
2020-02-24 00:15:00;0;3;17;2;6;3;1;1;2;4;0;0;0;0
2020-02-24 00:30:00;3;6;10;2;5;2;3;1;3;5;0;0;0;0
2020-02-24 00:45:00;3;1;9;1;2;1;4;1;4;6;0;0;0;0
2020-02-24 01:00:00;2;1;8;1;4;1;2;0;1;2;0;0;0;0
2020-02-24 01:15:00;1;1;5;1;1;4;1;0;1;3;0;0;0;0
2020-02-24 01:30:00;4;2;4;0;3;6;4;1;4;3;0;0;0;0
2020-02-24 01:45:00;2;1;4;1;8;1;2;0;1;0;0;0;0;0
2020-02-24 02:00:00;1;2;4;0;2;2;1;0;1;2;0;0;0;0
2020-02-24 02:15:00;3;1;3;0;4;2;5;0;1;2;0;0;0;0
2020-02-24 02:30:00;0;1;3;0;3;1;0;2;3;3;0;0;0;0
2020-02-24 02:45:00;2;3;3;0;6;8;2;0;1;0;0;0;0;0
2020-02-24 03:00:00;1;3;6;0;5;2;0;0;1;0;0;0;0;0
2020-02-24 03:15:00;3;2;5;0;1;0;1;1;2;1;0;0;0;0
2020-02-24 03:30:00;3;1;6;1;4;5;0;1;3;2;0;0;0;0
2020-02-24 03:45:00;3;2;5;0;4;1;1;0;1;0;0;0;0;0
2020-02-24 04:00:00;3;2;7;1;3;7;3;1;2;4;0;0;0;0
2020-02-24 04:15:00;9;7;10;0;4;6;1;0;6;6;0;0;0;0
2020-02-24 04:30:00;4;5;11;0;11;9;1;0;5;5;0;0;0;0
2020-02-24 04:45:00;9;9;10;0;10;8;2;0;3;8;0;0;0;0
2020-02-24 05:00:00;27;29;23;4;16;12;3;1;7;14;0;0;0;0
2020-02-24 05:15:00;66;51;28;12;8;14;12;1;11;15;0;0;0;0
2020-02-24 05:30:00;97;72;50;27;23;20;11;7;11;22;0;0;0;0
2020-02-24 05:45:00;95;53;58;35;19;25;21;7;9;9;0;0;0;0
2020-02-24 06:00:00;74;45;37;29;31;21;16;3;13;13;0;0;0;0
2020-02-24 06:15:00;97;58;51;34;39;31;24;8;14;21;0;0;0;0
2020-02-24 06:30:00;125;83;75;54;41;38;28;10;15;21;0;0;0;0
2020-02-24 06:45:00;108;77;84;59;44;44;29;14;27;23;0;0;0;0
2020-02-24 07:00:00;117;76;83;58;55;48;32;14;30;18;0;0;0;0
2020-02-24 07:15:00;119;77;89;64;58;57;28;18;31;26;0;0;0;0
2020-02-24 07:30:00;115;83;94;75;55;45;29;12;43;39;0;0;0;0
2020-02-24 07:45:00;80;58;84;57;50;41;40;18;34;31;0;0;0;0
2020-02-24 08:00:00;98;75;71;55;47;49;35;16;35;46;0;0;0;0
2020-02-24 08:15:00;96;49;75;56;41;63;31;16;32;46;0;0;0;0
2020-02-24 08:30:00;84;49;85;55;65;54;35;19;35;39;0;0;0;0
2020-02-24 08:45:00;95;70;99;74;49;51;29;10;40;41;0;0;0;0
2020-02-24 09:00:00;55;36;90;44;48;45;26;10;36;35;0;0;0;0
2020-02-24 09:15:00;61;43;98;54;54;58;39;17;42;34;0;0;0;0
2020-02-24 09:30:00;57;26;109;70;59;66;30;16;37;36;0;0;0;0
2020-02-24 09:45:00;47;35;104;61;52;57;39;19;32;39;0;0;0;0
2020-02-24 10:00:00;48;40;95;41;67;50;32;9;32;34;0;0;0;0
2020-02-24 10:15:00;46;35;107;52;68;46;38;13;40;49;0;0;0;0
2020-02-24 10:30:00;52;35;92;46;67;60;37;14;44;37;0;0;0;0
2020-02-24 10:45:00;49;42;121;48;71;67;45;23;32;42;0;0;0;0
2020-02-24 11:00:00;49;34;108;56;71;53;33;17;33;38;0;0;0;0
2020-02-24 11:15:00;47;48;82;48;76;48;37;18;38;34;0;0;0;0
2020-02-24 11:30:00;48;29;83;53;66;56;33;15;46;35;0;0;0;0
2020-02-24 11:45:00;59;47;93;61;74;63;27;18;44;52;0;0;0;0
2020-02-24 12:00:00;71;42;86;59;81;50;43;15;41;42;0;0;0;0
2020-02-24 12:15:00;52;30;80;47;68;45;37;22;47;48;0;0;0;0
2020-02-24 12:30:00;58;36;93;59;73;60;35;15;36;45;0;0;0;0
2020-02-24 12:45:00;59;39;78;48;60;61;30;18;47;55;0;0;0;0
2020-02-24 13:00:00;77;58;89;51;80;63;31;16;43;45;0;0;0;0
2020-02-24 13:15:00;64;51;107;52;81;61;34;17;30;48;0;0;0;0
2020-02-24 13:30:00;79;61;91;50;92;82;35;16;50;52;0;0;0;0
2020-02-24 13:45:00;68;48;92;40;66;59;39;21;44;42;0;0;0;0
2020-02-24 14:00:00;61;43;91;53;76;74;34;12;55;70;0;0;0;0
2020-02-24 14:15:00;62;52;96;54;83;69;30;14;70;64;0;0;0;0
2020-02-24 14:30:00;65;43;94;61;80;68;36;15;64;74;0;0;0;0
2020-02-24 14:45:00;50;39;93;53;66;81;38;17;65;76;0;0;0;0
2020-02-24 15:00:00;53;38;98;67;86;75;34;18;49;66;0;0;0;0
2020-02-24 15:15:00;61;41;101;64;73;54;39;22;77;72;0;0;0;0
2020-02-24 15:30:00;53;34;82;59;79;61;31;15;65;60;0;0;0;0
2020-02-24 15:45:00;60;31;92;58;77;77;38;20;63;67;0;0;0;0
2020-02-24 16:00:00;40;37;80;51;84;76;42;21;72;72;0;0;0;0
2020-02-24 16:15:00;58;39;93;66;91;71;34;23;71;67;0;0;0;0
2020-02-24 16:30:00;57;30;95;66;99;84;30;15;75;59;0;0;0;0
2020-02-24 16:45:00;56;42;92;63;83;68;49;22;49;45;0;0;0;0
2020-02-24 17:00:00;65;51;107;75;93;69;49;28;61;69;0;0;0;0
2020-02-24 17:15:00;55;37;83;65;90;83;41;21;75;72;0;0;0;0
2020-02-24 17:30:00;52;35;88;54;87;72;37;22;62;61;0;0;0;0
2020-02-24 17:45:00;58;46;92;64;79;62;37;16;53;71;0;0;0;0
2020-02-24 18:00:00;51;36;90;56;96;66;38;23;51;47;0;0;0;0
2020-02-24 18:15:00;54;33;73;46;84;71;32;20;55;47;0;0;0;0
2020-02-24 18:30:00;38;30;71;44;84;58;33;21;50;66;0;0;0;0
2020-02-24 18:45:00;36;33;71;50;87;62;34;21;48;47;0;0;0;0
2020-02-24 19:00:00;31;32;67;43;89;63;26;10;38;39;0;0;0;0
2020-02-24 19:15:00;33;32;62;33;73;63;35;19;32;32;0;0;0;0
2020-02-24 19:30:00;25;14;58;29;66;55;22;10;26;19;0;0;0;0
2020-02-24 19:45:00;29;19;45;18;55;43;25;10;28;33;0;0;0;0
2020-02-24 20:00:00;30;21;39;23;73;72;29;16;21;33;0;0;0;0
