DATUM;1(DB1);2(DB2);3(DB3);4(DC1);5(DC2);6(DC3);7(DE1);8(DE2);9(DE3);10(DR2);11(DR3);12(TA1);13(TA2);14(TA3)
2020-12-01 00:00:00;6;6;0;3;9;0;0;0;0;0;0;0;0;0
2020-12-01 00:15:00;4;4;0;3;5;1;0;1;1;0;0;0;0;0
2020-12-01 00:30:00;5;6;0;5;3;0;0;0;0;0;0;0;0;0
2020-12-01 00:45:00;9;13;0;3;3;1;1;1;0;0;0;0;0;0
2020-12-01 01:00:00;8;4;0;4;5;0;0;0;0;0;0;0;0;0
2020-12-01 01:15:00;5;6;0;3;10;0;1;0;0;0;0;0;0;0
2020-12-01 01:30:00;2;5;0;4;9;1;1;1;0;0;0;0;0;0
2020-12-01 01:45:00;2;7;0;7;4;0;0;0;0;0;0;0;0;0
2020-12-01 02:00:00;4;5;0;4;5;0;0;0;0;0;0;0;0;0
2020-12-01 02:15:00;2;6;0;6;4;0;0;0;0;0;0;0;0;0
2020-12-01 02:30:00;2;1;0;6;3;0;0;0;0;0;0;0;0;0
2020-12-01 02:45:00;1;9;0;7;8;1;1;1;0;0;0;0;0;0
2020-12-01 03:00:00;5;4;0;4;1;2;0;0;0;0;0;0;0;0
2020-12-01 03:15:00;7;4;0;6;3;2;1;1;0;0;0;0;0;0
2020-12-01 03:30:00;2;5;0;0;8;0;0;0;0;0;0;0;0;0
2020-12-01 03:45:00;7;9;0;3;12;1;0;0;1;1;0;0;0;0
2020-12-01 04:00:00;8;9;0;8;7;1;0;0;0;0;0;0;0;0
2020-12-01 04:15:00;7;7;0;11;15;0;0;0;0;0;0;0;0;0
2020-12-01 04:30:00;15;19;0;6;11;1;1;1;0;0;0;0;0;0
2020-12-01 04:45:00;25;28;0;18;26;3;1;3;1;0;0;0;0;0
2020-12-01 05:00:00;67;58;0;18;38;5;1;1;1;0;0;0;0;0
2020-12-01 05:15:00;141;165;0;23;58;6;2;5;0;0;0;0;0;0
2020-12-01 05:30:00;106;124;0;34;57;5;1;1;2;0;0;0;0;0
2020-12-01 05:45:00;111;126;1;56;76;9;1;3;3;2;0;0;0;0
2020-12-01 06:00:00;72;100;0;65;103;14;0;1;2;1;0;0;0;0
2020-12-01 06:15:00;87;127;1;85;120;19;3;13;3;3;1;0;0;0
2020-12-01 06:30:00;122;169;1;91;116;48;4;12;5;3;0;0;0;0
2020-12-01 06:45:00;128;166;1;70;89;39;1;16;9;1;1;0;0;0
2020-12-01 07:00:00;136;158;0;83;94;52;6;14;6;6;1;0;0;0
2020-12-01 07:15:00;135;143;0;93;91;81;15;34;18;9;0;9;0;0
2020-12-01 07:30:00;133;118;0;122;80;83;42;35;11;22;0;3;7;0
2020-12-01 07:45:00;126;123;0;113;81;90;46;55;22;19;1;12;7;0
2020-12-01 08:00:00;125;141;0;109;79;76;37;50;16;9;5;0;6;0
2020-12-01 08:15:00;121;125;0;105;89;84;29;30;19;7;0;18;5;0
