DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(TAA);9(TAC);10(TAFBA);11(TAFBB);12(TAFBC);13(TAFBD)
2019-12-20 00:00:00;7;0;0;0;25;0;0;0;0;0;0;0;0
2019-12-20 00:15:00;11;0;1;1;31;0;0;0;0;0;0;0;0
2019-12-20 00:30:00;13;0;0;0;25;0;0;0;0;0;0;0;0
2019-12-20 00:45:00;12;0;0;1;20;0;0;0;0;0;0;0;0
2019-12-20 01:00:00;10;0;0;0;19;0;0;0;0;0;0;0;0
2019-12-20 01:15:00;8;0;0;0;24;0;0;0;0;0;0;0;0
2019-12-20 01:30:00;11;0;0;0;8;0;0;0;0;0;0;0;0
2019-12-20 01:45:00;12;0;0;1;24;0;0;0;0;0;0;0;0
2019-12-20 02:00:00;8;0;0;1;14;1;0;0;0;0;0;0;0
2019-12-20 02:15:00;11;1;0;0;16;0;0;0;0;0;0;0;0
2019-12-20 02:30:00;8;1;0;0;13;0;0;0;0;0;0;0;0
2019-12-20 02:45:00;10;1;1;0;12;0;0;0;0;0;0;0;0
2019-12-20 03:00:00;7;0;0;0;8;0;0;0;0;0;0;0;0
2019-12-20 03:15:00;11;2;0;0;14;1;0;0;0;0;0;0;0
2019-12-20 03:30:00;10;0;0;0;7;0;0;0;0;0;0;0;0
2019-12-20 03:45:00;8;0;1;0;11;0;0;0;0;0;0;0;0
2019-12-20 04:00:00;10;0;0;0;8;0;0;0;0;0;0;0;0
2019-12-20 04:15:00;11;0;0;0;5;0;0;0;0;0;0;0;0
2019-12-20 04:30:00;15;1;0;0;14;0;0;0;0;0;0;0;0
2019-12-20 04:45:00;8;1;0;1;9;0;0;0;0;0;0;0;0
2019-12-20 05:00:00;22;0;0;0;20;0;0;0;0;0;0;0;0
2019-12-20 05:15:00;32;0;0;2;21;1;0;0;0;0;0;0;0
2019-12-20 05:30:00;55;0;2;2;48;2;0;0;0;0;0;0;0
2019-12-20 05:45:00;65;1;1;1;53;1;0;0;0;0;0;0;0
2019-12-20 06:00:00;77;2;4;1;63;0;0;0;0;0;0;0;0
2019-12-20 06:15:00;87;2;2;6;69;0;0;0;0;0;0;0;0
2019-12-20 06:30:00;81;5;3;4;96;1;0;0;6;0;0;0;0
2019-12-20 06:45:00;95;6;4;2;126;1;0;5;3;0;0;0;0
2019-12-20 07:00:00;143;9;11;7;102;0;0;0;4;0;0;0;0
2019-12-20 07:15:00;155;7;10;6;100;0;0;23;5;0;0;0;0
2019-12-20 07:30:00;152;2;10;10;122;0;0;5;19;0;0;7;0
2019-12-20 07:45:00;154;11;11;9;103;0;0;0;21;0;0;0;0
2019-12-20 08:00:00;128;9;5;8;96;2;1;0;1;0;0;0;0
2019-12-20 08:15:00;132;13;13;15;99;0;0;4;0;0;0;0;0
2019-12-20 08:30:00;114;15;5;15;111;1;0;1;6;0;0;0;0
2019-12-20 08:45:00;153;5;12;11;121;0;0;4;12;0;0;0;0
2019-12-20 09:00:00;156;13;6;6;119;2;1;3;2;0;0;0;0
2019-12-20 09:15:00;196;15;10;8;159;4;3;2;17;0;0;0;0
2019-12-20 09:30:00;173;5;8;5;150;5;4;1;21;0;3;0;0
2019-12-20 09:45:00;174;7;12;12;156;3;6;0;29;0;0;0;0
2019-12-20 10:00:00;159;13;26;16;154;7;12;3;13;0;0;0;0
2019-12-20 10:15:00;174;10;28;18;162;8;4;0;15;0;0;0;0
2019-12-20 10:30:00;161;5;12;11;182;7;8;0;12;0;0;0;0
2019-12-20 10:45:00;138;9;36;24;182;4;11;2;4;0;0;0;0
2019-12-20 11:00:00;159;13;20;12;189;8;16;4;16;0;0;0;0
2019-12-20 11:15:00;156;17;55;16;187;8;13;9;10;0;0;0;0
2019-12-20 11:30:00;151;14;17;18;190;8;9;0;14;0;0;0;0
2019-12-20 11:45:00;158;12;49;21;204;8;9;0;5;0;0;0;3
2019-12-20 12:00:00;168;7;19;12;200;6;12;1;41;0;0;0;0
2019-12-20 12:15:00;172;13;70;13;211;10;9;11;38;0;0;0;0
2019-12-20 12:30:00;161;17;21;17;205;9;9;9;38;0;1;0;0
2019-12-20 12:45:00;156;10;30;20;223;10;5;0;31;0;0;0;0
2019-12-20 13:00:00;157;9;25;22;240;5;4;66;15;0;1;1;0
