DATUM;1(DA1);2(DA2);3(DA3);4(DC4);5(DC1);6(DC2);7(DD1);8(DD2);9(DE1);10(DE2);11(DF1);12(DH1);13(DB1)
2020-11-20 00:00:00;2;3;0;0;5;5;3;1;0;0;1;0;0
2020-11-20 00:15:00;1;1;0;0;4;4;5;4;0;0;991;0;0
2020-11-20 00:30:00;0;1;0;0;2;1;2;1;1;0;1181;0;0
2020-11-20 00:45:00;1;1;0;0;4;6;5;2;2;0;447;0;0
2020-11-20 01:00:00;1;1;0;0;3;4;2;0;0;0;611;0;0
2020-11-20 01:15:00;1;3;0;0;0;0;2;0;1;0;730;0;0
2020-11-20 01:30:00;6;8;0;0;1;2;4;0;0;0;1378;0;0
2020-11-20 01:45:00;1;3;0;0;1;0;2;1;0;0;12;0;0
2020-11-20 02:00:00;3;2;0;0;2;2;0;0;1;1;75;0;0
2020-11-20 02:15:00;1;1;0;0;0;0;0;0;2;1;0;0;0
2020-11-20 02:30:00;1;2;0;0;4;1;1;0;4;2;0;0;0
2020-11-20 02:45:00;2;1;1;0;4;1;1;1;0;0;0;0;0
2020-11-20 03:00:00;1;2;0;0;0;0;2;0;2;0;0;0;0
2020-11-20 03:15:00;2;0;0;0;1;0;1;3;6;1;0;0;0
2020-11-20 03:30:00;3;1;0;0;1;4;0;0;1;0;0;0;1
2020-11-20 03:45:00;2;0;0;0;1;1;0;1;3;1;8;0;0
2020-11-20 04:00:00;4;1;0;0;2;0;6;4;2;0;0;0;0
2020-11-20 04:15:00;2;0;0;0;3;3;1;1;2;0;0;0;0
2020-11-20 04:30:00;2;0;0;1;4;5;6;2;6;2;0;0;0
2020-11-20 04:45:00;2;0;0;0;4;3;6;2;5;0;0;0;0
2020-11-20 05:00:00;5;6;2;0;10;15;35;19;1;5;316;0;0
2020-11-20 05:15:00;4;1;1;0;10;16;46;31;4;2;778;0;0
2020-11-20 05:30:00;5;2;0;0;23;26;59;49;12;10;422;2;0
2020-11-20 05:45:00;7;4;0;0;30;30;43;49;26;8;321;0;1
2020-11-20 06:00:00;15;10;0;2;38;33;30;28;18;6;67;1;5
2020-11-20 06:15:00;14;8;1;1;36;28;44;51;25;11;533;0;1
2020-11-20 06:30:00;11;7;1;0;36;40;58;65;26;9;2025;5;1
2020-11-20 06:45:00;11;6;0;6;47;44;57;61;39;26;595;10;1
2020-11-20 07:00:00;21;20;1;3;32;33;61;45;53;27;189;5;2
2020-11-20 07:15:00;19;18;2;1;43;47;78;66;112;57;322;0;1
2020-11-20 07:30:00;34;25;0;3;62;57;90;59;103;80;5;2;3
2020-11-20 07:45:00;40;30;1;8;88;79;55;50;73;43;8;0;1
2020-11-20 08:00:00;28;11;0;5;66;51;66;40;54;27;6;0;1
2020-11-20 08:15:00;18;17;1;5;61;47;57;35;62;84;5;0;0
2020-11-20 08:30:00;26;17;1;3;54;55;63;41;45;24;6;0;1
2020-11-20 08:45:00;29;22;1;6;61;53;46;13;53;30;9;1;1
2020-11-20 09:00:00;28;20;2;4;53;49;44;21;52;18;9;1;1
2020-11-20 09:15:00;27;25;2;3;43;46;60;31;58;25;4;2;1
2020-11-20 09:30:00;26;14;2;3;49;49;60;21;66;21;4;2;1
2020-11-20 09:45:00;20;16;1;4;43;47;46;15;51;22;10;28;1
2020-11-20 10:00:00;32;24;2;5;57;57;44;24;34;18;2;2;1
2020-11-20 10:15:00;35;21;1;1;43;58;58;28;36;18;2;1;2
2020-11-20 10:30:00;44;27;2;4;53;59;59;22;45;20;6;1;2
2020-11-20 10:45:00;42;29;0;2;61;62;65;22;43;18;8;2;1
2020-11-20 11:00:00;41;23;0;7;67;68;58;34;32;14;4;2;1
2020-11-20 11:15:00;35;25;1;2;65;77;68;20;44;24;5;1;2
2020-11-20 11:30:00;40;32;3;2;60;77;66;21;46;17;6;1;1
2020-11-20 11:45:00;44;36;4;2;67;70;58;32;46;21;2;1;2
2020-11-20 12:00:00;54;44;3;5;80;77;65;35;47;22;6;0;3
2020-11-20 12:15:00;55;43;1;3;86;74;53;32;34;12;3;2;2
2020-11-20 12:30:00;68;40;3;3;85;81;80;38;48;19;5;0;1
2020-11-20 12:45:00;58;45;0;8;84;98;72;36;68;26;11;2;3
2020-11-20 13:00:00;65;67;5;5;100;118;72;40;64;23;4;8;2
