DATUM;1(TAFGA);2(TAFBA)
2019-11-26 00:00:00;0;0
2019-11-26 00:15:00;0;0
2019-11-26 00:30:00;0;0
2019-11-26 00:45:00;0;0
2019-11-26 01:00:00;0;0
2019-11-26 01:15:00;0;0
2019-11-26 01:30:00;0;0
2019-11-26 01:45:00;0;0
2019-11-26 02:00:00;0;0
2019-11-26 02:15:00;0;0
2019-11-26 02:30:00;0;0
2019-11-26 02:45:00;0;0
2019-11-26 03:00:00;0;0
2019-11-26 03:15:00;0;0
2019-11-26 03:30:00;0;0
2019-11-26 03:45:00;0;0
2019-11-26 04:00:00;0;0
2019-11-26 04:15:00;0;0
2019-11-26 04:30:00;0;0
2019-11-26 04:45:00;0;0
2019-11-26 05:00:00;0;0
2019-11-26 05:15:00;0;0
2019-11-26 05:30:00;5;0
2019-11-26 05:45:00;6;1
2019-11-26 06:00:00;11;5
2019-11-26 06:15:00;4;0
2019-11-26 06:30:00;0;0
2019-11-26 06:45:00;13;1
2019-11-26 07:00:00;7;1
2019-11-26 07:15:00;5;2
2019-11-26 07:30:00;15;1
2019-11-26 07:45:00;19;7
2019-11-26 08:00:00;9;4
2019-11-26 08:15:00;12;4
2019-11-26 08:30:00;9;6
2019-11-26 08:45:00;9;3
2019-11-26 11:45:00;7;1
2019-11-26 12:00:00;19;10
2019-11-26 12:15:00;19;3
2019-11-26 12:30:00;16;4
2019-11-26 12:45:00;17;2
2019-11-26 13:00:00;15;5
2019-11-26 13:15:00;15;1
2019-11-26 13:30:00;22;49
2019-11-26 13:45:00;20;2
2019-11-26 14:00:00;20;4
2019-11-26 14:15:00;19;9
2019-11-26 14:30:00;13;5
2019-11-26 14:45:00;20;0
2019-11-26 15:00:00;18;2
2019-11-26 15:15:00;17;21
2019-11-26 15:30:00;18;6
2019-11-26 15:45:00;19;0
2019-11-26 16:00:00;17;3
2019-11-26 16:15:00;19;7
2019-11-26 16:30:00;25;14
2019-11-26 16:45:00;30;6
2019-11-26 17:00:00;20;16
2019-11-26 17:15:00;23;2
2019-11-26 17:30:00;14;3
2019-11-26 17:45:00;18;3
2019-11-26 18:00:00;22;6
2019-11-26 18:15:00;22;11
2019-11-26 18:30:00;19;10
2019-11-26 18:45:00;11;9
2019-11-26 19:00:00;15;4
2019-11-26 19:15:00;16;7
2019-11-26 19:30:00;15;0
2019-11-26 19:45:00;12;6
2019-11-26 20:00:00;11;4
2019-11-26 20:15:00;13;3
2019-11-26 20:30:00;4;0
2019-11-26 20:45:00;8;0
2019-11-26 21:00:00;4;1
2019-11-26 21:15:00;4;2
2019-11-26 21:30:00;6;0
2019-11-26 21:45:00;3;0
2019-11-26 22:00:00;6;0
2019-11-26 22:15:00;6;7
2019-11-26 22:30:00;6;4
2019-11-26 22:45:00;0;0
2019-11-26 23:00:00;0;0
2019-11-26 23:15:00;0;0
2019-11-26 23:30:00;0;0
