DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DC3);7(DF1);8(DH1);9(DH2);10(DH3);11(DH4)
2020-05-14 00:00:00;0;0;0;5;1;1;2;5;6;1;1
2020-05-14 00:15:00;0;2;0;5;3;2;1;4;4;2;2
2020-05-14 00:30:00;0;0;0;5;1;1;1;5;7;3;2
2020-05-14 00:45:00;0;1;0;4;1;1;0;2;4;3;3
2020-05-14 01:00:00;1;1;0;6;2;1;0;6;5;2;1
2020-05-14 01:15:00;0;0;0;4;1;1;3;4;5;2;1
2020-05-14 01:30:00;0;1;0;1;1;1;0;0;0;0;0
2020-05-14 01:45:00;0;0;0;1;1;1;2;6;6;1;1
2020-05-14 02:00:00;1;2;0;2;1;1;1;2;2;0;0
2020-05-14 02:15:00;0;0;0;3;0;0;1;3;2;2;1
2020-05-14 02:30:00;0;0;1;3;0;0;0;2;1;0;0
2020-05-14 02:45:00;0;0;0;6;1;0;0;1;2;0;0
2020-05-14 03:00:00;0;0;0;5;4;2;0;0;0;0;0
2020-05-14 03:15:00;0;0;0;1;1;1;5;2;0;0;0
2020-05-14 03:30:00;0;1;0;4;0;0;1;1;0;0;0
2020-05-14 03:45:00;0;3;0;2;3;2;0;0;2;3;3
2020-05-14 04:00:00;0;0;0;6;3;2;0;2;3;1;1
2020-05-14 04:15:00;1;1;0;9;6;1;2;2;2;0;0
2020-05-14 04:30:00;1;2;0;4;2;2;0;5;5;2;2
2020-05-14 04:45:00;0;2;0;8;6;1;0;12;6;0;0
2020-05-14 05:00:00;2;8;3;18;13;5;3;13;14;7;6
2020-05-14 05:15:00;1;12;1;27;18;3;3;30;28;9;6
2020-05-14 05:30:00;5;13;1;22;13;5;7;43;46;18;13
2020-05-14 05:45:00;1;24;3;32;22;10;7;52;64;21;13
2020-05-14 06:00:00;2;17;2;17;21;10;5;31;37;5;4
2020-05-14 06:15:00;9;27;4;47;22;8;13;56;62;14;6
2020-05-14 06:30:00;5;36;3;42;33;12;8;80;85;11;9
2020-05-14 06:45:00;5;23;6;48;31;11;13;82;106;21;18
2020-05-14 07:00:00;4;26;8;53;40;12;21;76;104;21;13
2020-05-14 07:15:00;7;28;14;53;41;6;29;102;140;18;14
2020-05-14 07:30:00;13;33;7;79;45;9;27;90;136;17;14
2020-05-14 07:45:00;17;44;5;93;51;14;33;81;110;13;11
2020-05-14 08:00:00;6;26;8;73;43;10;17;62;81;16;11
2020-05-14 08:15:00;10;32;5;59;36;8;22;82;81;10;8
2020-05-14 08:30:00;9;25;5;72;37;12;25;79;75;19;16
2020-05-14 08:45:00;9;21;1;72;50;7;30;60;74;10;6
2020-05-14 09:00:00;8;15;5;58;37;9;21;49;55;7;7
2020-05-14 09:15:00;5;15;4;56;38;8;16;60;69;8;6
2020-05-14 09:30:00;8;36;4;82;58;11;26;66;75;7;6
2020-05-14 09:45:00;10;30;6;89;55;16;31;73;72;12;9
2020-05-14 10:00:00;39;18;3;72;39;4;24;57;50;12;9
2020-05-14 10:15:00;13;20;3;85;56;10;25;57;72;14;10
2020-05-14 10:30:00;3;21;4;74;52;12;25;60;72;9;8
2020-05-14 10:45:00;12;21;4;82;41;8;39;64;69;14;13
2020-05-14 11:00:00;7;24;3;68;50;5;29;54;42;8;8
2020-05-14 11:15:00;18;33;4;78;51;10;29;63;54;15;12
2020-05-14 11:30:00;15;23;5;106;72;16;25;56;49;10;11
2020-05-14 11:45:00;16;27;3;89;68;19;47;61;51;15;14
2020-05-14 12:00:00;18;33;5;99;82;27;35;64;41;12;7
2020-05-14 12:15:00;10;25;2;99;67;17;34;67;65;13;12
2020-05-14 12:30:00;13;25;4;79;65;14;33;56;53;8;7
2020-05-14 12:45:00;13;29;4;97;63;11;40;55;59;16;9
2020-05-14 13:00:00;13;22;5;102;74;15;30;49;36;3;2
2020-05-14 13:15:00;12;21;0;97;76;13;40;62;52;17;13
2020-05-14 13:30:00;14;29;3;103;83;21;44;69;77;14;10
2020-05-14 13:45:00;11;33;2;110;73;15;39;64;65;13;13
2020-05-14 14:00:00;10;28;4;105;79;18;41;66;84;17;12
2020-05-14 14:15:00;16;20;1;107;81;16;25;63;63;16;12
2020-05-14 14:30:00;19;30;3;118;95;27;43;62;69;9;8
2020-05-14 14:45:00;9;31;4;110;92;20;43;74;73;19;12
2020-05-14 15:00:00;8;26;4;122;104;25;28;63;67;11;8
2020-05-14 15:15:00;10;26;4;131;97;22;28;62;77;15;13
2020-05-14 15:30:00;12;28;2;147;102;14;38;70;61;14;13
2020-05-14 15:45:00;18;32;2;122;91;18;31;73;64;13;9
2020-05-14 16:00:00;16;28;4;140;110;24;41;72;68;17;15
2020-05-14 16:15:00;8;46;8;144;115;16;42;78;76;17;15
2020-05-14 16:30:00;19;36;2;143;98;23;47;66;71;14;11
2020-05-14 16:45:00;15;29;8;150;125;21;44;83;67;13;9
2020-05-14 17:00:00;10;37;6;125;104;33;36;62;70;15;15
2020-05-14 17:15:00;12;29;2;124;98;20;47;75;80;23;15
2020-05-14 17:30:00;14;20;5;116;98;17;37;64;62;13;11
2020-05-14 17:45:00;13;32;3;101;81;19;37;61;58;15;8
2020-05-14 18:00:00;8;17;6;110;84;18;38;68;70;13;10
2020-05-14 18:15:00;11;25;6;100;75;19;40;62;56;10;9
2020-05-14 18:30:00;11;13;4;99;68;18;26;52;42;15;7
2020-05-14 18:45:00;13;12;2;76;64;15;36;50;43;11;6
2020-05-14 19:00:00;7;22;2;65;47;8;17;50;40;9;8
2020-05-14 19:15:00;8;20;5;63;48;10;32;47;39;12;9
2020-05-14 19:30:00;9;125;1;54;39;24;14;46;38;10;9
2020-05-14 19:45:00;7;13;4;53;37;9;16;45;35;3;4
2020-05-14 20:00:00;14;9;1;49;35;14;15;22;32;6;5
2020-05-14 20:15:00;3;13;2;59;38;11;15;28;22;2;1
2020-05-14 20:30:00;2;11;3;39;27;6;28;29;26;4;3
2020-05-14 20:45:00;4;12;3;28;23;8;12;19;15;2;2
2020-05-14 21:00:00;5;5;4;35;23;9;10;26;30;4;2
2020-05-14 21:15:00;3;8;3;29;25;10;7;23;15;2;1
2020-05-14 21:30:00;2;11;1;32;21;6;8;17;23;5;3
2020-05-14 21:45:00;2;7;1;24;17;4;8;20;17;5;5
2020-05-14 22:00:00;1;4;0;24;23;11;7;11;8;2;1
2020-05-14 22:15:00;3;4;9;19;12;5;9;13;17;1;1
2020-05-14 22:30:00;2;1;0;11;18;6;10;12;6;2;1
2020-05-14 22:45:00;1;6;1;14;13;7;6;14;10;3;3
2020-05-14 23:00:00;2;2;0;12;11;5;14;7;3;1;0
2020-05-14 23:15:00;1;3;0;11;8;3;7;12;9;1;0
2020-05-14 23:30:00;1;2;0;10;12;56;6;9;5;0;0
2020-05-14 23:45:00;1;2;2;5;9;11;2;7;9;2;0
