DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DC1);6(DD1);7(DD2);8(DD3);9(TAFGA);10(TAFBA);11(TAFBB);12(TAFGC);13(TAFBC);14(TAFBD)
2020-12-15 00:00:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-15 00:15:00;4;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-12-15 00:30:00;1;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-12-15 00:45:00;3;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-15 01:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-15 01:15:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-15 01:30:00;1;0;1;1;1;0;0;0;0;0;0;0;0;0
2020-12-15 01:45:00;0;0;0;0;3;0;0;0;0;0;0;0;0;0
2020-12-15 02:00:00;3;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-12-15 02:15:00;3;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-15 02:30:00;1;0;1;1;1;0;0;0;0;0;0;0;0;0
2020-12-15 02:45:00;0;0;0;0;0;0;2;2;0;0;0;0;0;0
2020-12-15 03:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-15 03:15:00;1;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-15 03:30:00;1;0;0;0;3;0;0;0;0;0;0;0;0;0
2020-12-15 03:45:00;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-12-15 04:00:00;3;0;2;1;1;0;1;0;0;0;0;0;0;0
2020-12-15 04:15:00;0;0;2;1;4;0;2;2;0;0;0;0;0;0
2020-12-15 04:30:00;1;0;3;3;1;0;3;3;0;0;0;0;0;0
2020-12-15 04:45:00;5;0;0;0;6;0;3;3;0;0;0;0;0;0
2020-12-15 05:00:00;6;0;2;2;10;0;7;7;0;0;0;0;0;0
2020-12-15 05:15:00;23;0;4;4;11;0;12;13;0;0;0;0;0;0
2020-12-15 05:30:00;23;0;3;5;25;0;15;14;0;0;0;0;0;0
2020-12-15 05:45:00;40;0;18;18;34;0;6;5;0;0;0;0;0;0
2020-12-15 06:00:00;24;0;8;6;22;0;8;7;0;0;0;0;0;0
2020-12-15 06:15:00;33;0;14;12;38;0;6;6;0;0;0;0;0;0
2020-12-15 06:30:00;39;0;11;8;37;0;20;18;0;0;0;0;0;0
2020-12-15 06:45:00;44;0;13;10;34;0;13;21;0;0;0;0;0;0
2020-12-15 07:00:00;43;0;23;11;66;0;16;9;0;0;0;3;2;0
