DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DFR)
2019-12-05 00:00:00;0;6;2;2;1;0;1;2;0;0;0;0;0
2019-12-05 00:15:00;2;5;1;1;6;2;3;5;0;0;0;0;0
2019-12-05 00:30:00;1;8;4;2;4;3;2;4;0;0;0;0;0
2019-12-05 00:45:00;0;8;3;2;2;6;0;2;0;0;0;0;0
2019-12-05 01:00:00;0;3;1;1;4;1;3;0;0;0;0;0;0
2019-12-05 01:15:00;1;5;2;2;3;1;2;0;0;0;0;0;0
2019-12-05 01:30:00;1;3;4;5;0;1;0;2;0;0;0;0;0
2019-12-05 01:45:00;0;3;1;3;2;1;1;0;0;0;0;0;0
2019-12-05 02:00:00;1;3;1;2;3;3;2;2;0;0;0;0;0
2019-12-05 02:15:00;1;1;1;1;3;1;3;2;0;0;0;0;0
2019-12-05 02:30:00;1;2;1;1;0;1;0;1;0;0;0;0;0
2019-12-05 02:45:00;1;2;2;2;7;2;3;1;0;0;0;0;0
2019-12-05 03:00:00;0;2;4;3;6;3;3;0;0;0;0;0;0
2019-12-05 03:15:00;0;2;4;3;4;2;3;2;0;0;0;0;0
2019-12-05 03:30:00;0;0;4;4;5;4;3;1;0;0;0;0;0
2019-12-05 03:45:00;2;0;6;6;3;3;3;3;0;0;0;0;0
2019-12-05 04:00:00;0;4;7;8;2;1;0;4;0;0;0;0;0
2019-12-05 04:15:00;0;3;3;4;5;5;3;3;0;0;0;0;0
2019-12-05 04:30:00;4;12;6;6;5;5;4;8;0;0;0;0;0
2019-12-05 04:45:00;0;16;24;25;4;9;2;14;0;0;0;0;0
2019-12-05 05:00:00;4;34;59;58;5;14;4;36;0;0;0;0;0
2019-12-05 05:15:00;17;76;109;113;28;26;29;67;0;0;0;0;0
2019-12-05 05:30:00;23;95;125;124;19;61;19;58;0;0;0;0;0
2019-12-05 05:45:00;9;96;57;58;51;160;58;103;0;0;0;0;0
2019-12-05 06:00:00;3;78;38;42;52;143;47;118;0;0;0;0;0
2019-12-05 06:15:00;5;86;50;51;28;84;30;98;0;0;0;0;0
2019-12-05 06:30:00;14;90;43;44;33;76;32;98;0;0;0;0;0
2019-12-05 06:45:00;7;85;46;51;19;70;20;101;0;0;0;0;0
2019-12-05 07:00:00;1;88;58;82;32;53;32;107;0;0;0;0;0
2019-12-05 07:15:00;11;98;58;61;22;73;21;110;0;0;0;0;0
2019-12-05 07:30:00;8;87;53;57;43;79;42;118;0;0;0;0;0
2019-12-05 07:45:00;10;88;57;64;35;64;34;98;0;0;0;0;0
2019-12-05 08:00:00;8;94;73;75;37;113;40;104;0;0;0;0;0
2019-12-05 08:15:00;13;77;53;57;33;64;30;125;0;0;0;0;0
2019-12-05 08:30:00;10;68;39;42;32;72;32;87;0;0;0;0;0
