DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(TAA);6(TAFBA)
2020-03-31 00:00:00;5;3;4;4;0;0
2020-03-31 00:15:00;4;3;4;3;0;0
2020-03-31 00:30:00;3;0;1;3;0;0
2020-03-31 00:45:00;4;1;0;1;0;0
2020-03-31 01:00:00;3;1;2;3;0;0
2020-03-31 01:15:00;2;3;4;4;0;0
2020-03-31 01:30:00;4;4;3;3;0;0
2020-03-31 01:45:00;3;1;0;0;0;0
2020-03-31 02:00:00;2;4;4;3;0;0
2020-03-31 02:15:00;2;3;3;1;0;0
2020-03-31 02:30:00;4;3;2;4;0;0
2020-03-31 02:45:00;6;3;4;3;0;0
2020-03-31 03:00:00;3;3;2;1;0;0
2020-03-31 03:15:00;5;4;4;2;0;0
2020-03-31 03:30:00;4;1;4;3;0;0
2020-03-31 03:45:00;6;4;7;6;0;0
2020-03-31 04:00:00;6;4;4;3;0;0
2020-03-31 04:15:00;6;4;5;4;0;0
2020-03-31 04:30:00;17;15;9;8;0;0
2020-03-31 04:45:00;17;8;7;5;0;0
2020-03-31 05:00:00;21;14;19;6;0;0
2020-03-31 05:15:00;29;21;28;16;0;0
2020-03-31 05:30:00;45;31;72;68;0;0
2020-03-31 05:45:00;40;32;64;58;0;0
2020-03-31 06:00:00;58;47;63;51;0;0
2020-03-31 06:15:00;48;73;81;70;0;0
2020-03-31 06:30:00;61;58;93;83;0;0
2020-03-31 06:45:00;58;45;78;78;6;0
2020-03-31 07:00:00;58;53;87;89;0;0
2020-03-31 07:15:00;47;41;80;52;0;0
2020-03-31 07:30:00;65;66;107;107;0;0
2020-03-31 07:45:00;72;65;94;73;2;0
2020-03-31 08:00:00;56;45;82;58;0;0
2020-03-31 08:15:00;44;46;75;51;0;0
2020-03-31 08:30:00;57;37;68;42;1;0
2020-03-31 08:45:00;50;42;50;35;0;0
2020-03-31 09:00:00;61;37;55;39;0;0
2020-03-31 09:15:00;3;6;2;4;4;0
2020-03-31 09:30:00;66;48;63;41;6;0
2020-03-31 09:45:00;65;48;61;33;2;0
2020-03-31 10:00:00;53;52;61;30;0;0
2020-03-31 10:15:00;74;47;63;40;4;0
2020-03-31 10:30:00;74;59;71;49;1;0
2020-03-31 10:45:00;64;46;53;40;4;0
2020-03-31 11:00:00;78;51;79;65;8;0
2020-03-31 11:15:00;78;56;59;37;28;0
2020-03-31 11:30:00;67;61;55;54;1;0
2020-03-31 11:45:00;64;56;62;31;12;0
2020-03-31 12:00:00;78;70;79;59;3;0
2020-03-31 12:15:00;75;82;62;45;4;0
2020-03-31 12:30:00;75;73;76;49;6;0
2020-03-31 12:45:00;82;72;64;50;4;0
2020-03-31 13:00:00;88;50;73;52;5;0
2020-03-31 13:15:00;65;50;53;42;17;0
2020-03-31 13:30:00;84;63;74;56;6;0
2020-03-31 13:45:00;89;63;82;51;44;0
2020-03-31 14:00:00;104;94;79;61;11;0
2020-03-31 14:15:00;88;89;74;59;6;0
2020-03-31 14:30:00;105;97;59;55;2;0
2020-03-31 14:45:00;84;98;55;44;9;0
2020-03-31 15:00:00;94;95;63;50;18;4
2020-03-31 15:15:00;86;78;71;58;1;0
2020-03-31 15:30:00;91;89;66;44;3;0
2020-03-31 15:45:00;102;98;70;42;4;0
2020-03-31 16:00:00;107;108;67;49;6;0
2020-03-31 16:15:00;97;123;81;51;61;8
2020-03-31 16:30:00;108;103;75;59;16;0
2020-03-31 16:45:00;96;101;64;49;18;1
2020-03-31 17:00:00;113;96;82;54;0;0
2020-03-31 17:15:00;81;104;79;62;1;0
2020-03-31 17:30:00;75;62;60;57;6;0
2020-03-31 17:45:00;52;53;51;42;1;1
2020-03-31 18:00:00;83;64;45;47;6;0
2020-03-31 18:15:00;64;60;49;41;14;0
2020-03-31 18:30:00;61;51;48;48;5;0
2020-03-31 18:45:00;41;41;47;32;6;1
2020-03-31 19:00:00;36;36;47;34;22;0
2020-03-31 19:15:00;46;48;43;26;6;0
2020-03-31 19:30:00;44;27;37;24;2;0
2020-03-31 19:45:00;33;24;35;20;6;0
2020-03-31 20:00:00;30;29;39;21;0;0
2020-03-31 20:15:00;24;37;27;15;0;0
2020-03-31 20:30:00;21;23;32;21;2;0
2020-03-31 20:45:00;24;20;23;16;0;0
2020-03-31 21:00:00;20;20;37;12;1;0
2020-03-31 21:15:00;22;10;33;16;0;0
2020-03-31 21:30:00;17;10;30;26;0;0
2020-03-31 21:45:00;29;18;20;9;0;0
2020-03-31 22:00:00;45;33;20;19;0;0
2020-03-31 22:15:00;16;18;16;10;0;0
2020-03-31 22:30:00;13;8;10;7;0;0
2020-03-31 22:45:00;6;6;7;7;0;0
2020-03-31 23:00:00;12;8;8;11;0;0
2020-03-31 23:15:00;8;6;8;5;0;0
2020-03-31 23:30:00;1;2;8;4;0;0
